,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,1999-06-13,european,M_01,Ain,0,eligible_voters,323135
1,1999-06-13,european,M_01,Ain,1,issued_ballots,137438
2,1999-06-13,european,M_01,Ain,2,COM,6331
3,1999-06-13,european,M_01,Ain,2,CPNT,9996
4,1999-06-13,european,M_01,Ain,2,DIV,5029
5,1999-06-13,european,M_01,Ain,2,DTE,15435
6,1999-06-13,european,M_01,Ain,2,DVD,19642
7,1999-06-13,european,M_01,Ain,2,ECO,1959
8,1999-06-13,european,M_01,Ain,2,EXG,5855
9,1999-06-13,european,M_01,Ain,2,FRN,7581
10,1999-06-13,european,M_01,Ain,2,GAU,26899
11,1999-06-13,european,M_01,Ain,2,MNA,5349
12,1999-06-13,european,M_01,Ain,2,REG,46
13,1999-06-13,european,M_01,Ain,2,UDF,12383
14,1999-06-13,european,M_01,Ain,2,VEC,12810
15,1999-06-13,european,M_02,Aisne,0,eligible_voters,367488
16,1999-06-13,european,M_02,Aisne,1,issued_ballots,178713
17,1999-06-13,european,M_02,Aisne,2,COM,13264
18,1999-06-13,european,M_02,Aisne,2,CPNT,15118
19,1999-06-13,european,M_02,Aisne,2,DIV,7299
20,1999-06-13,european,M_02,Aisne,2,DTE,19262
21,1999-06-13,european,M_02,Aisne,2,DVD,19713
22,1999-06-13,european,M_02,Aisne,2,ECO,2659
23,1999-06-13,european,M_02,Aisne,2,EXG,11397
24,1999-06-13,european,M_02,Aisne,2,FRN,14184
25,1999-06-13,european,M_02,Aisne,2,GAU,36395
26,1999-06-13,european,M_02,Aisne,2,MNA,5393
27,1999-06-13,european,M_02,Aisne,2,REG,30
28,1999-06-13,european,M_02,Aisne,2,UDF,11187
29,1999-06-13,european,M_02,Aisne,2,VEC,11103
30,1999-06-13,european,M_03,Allier,0,eligible_voters,258481
31,1999-06-13,european,M_03,Allier,1,issued_ballots,122608
32,1999-06-13,european,M_03,Allier,2,COM,17325
33,1999-06-13,european,M_03,Allier,2,CPNT,4192
34,1999-06-13,european,M_03,Allier,2,DIV,4088
35,1999-06-13,european,M_03,Allier,2,DTE,14202
36,1999-06-13,european,M_03,Allier,2,DVD,14635
37,1999-06-13,european,M_03,Allier,2,ECO,1433
38,1999-06-13,european,M_03,Allier,2,EXG,5372
39,1999-06-13,european,M_03,Allier,2,FRN,4920
40,1999-06-13,european,M_03,Allier,2,GAU,25085
41,1999-06-13,european,M_03,Allier,2,MNA,2519
42,1999-06-13,european,M_03,Allier,2,REG,24
43,1999-06-13,european,M_03,Allier,2,UDF,10505
44,1999-06-13,european,M_03,Allier,2,VEC,8198
45,1999-06-13,european,M_04,Alpes De Haute Provence,0,eligible_voters,104846
46,1999-06-13,european,M_04,Alpes De Haute Provence,1,issued_ballots,54348
47,1999-06-13,european,M_04,Alpes De Haute Provence,2,COM,4266
48,1999-06-13,european,M_04,Alpes De Haute Provence,2,CPNT,5427
49,1999-06-13,european,M_04,Alpes De Haute Provence,2,DIV,1928
50,1999-06-13,european,M_04,Alpes De Haute Provence,2,DTE,5268
51,1999-06-13,european,M_04,Alpes De Haute Provence,2,DVD,7453
52,1999-06-13,european,M_04,Alpes De Haute Provence,2,ECO,857
53,1999-06-13,european,M_04,Alpes De Haute Provence,2,EXG,2605
54,1999-06-13,european,M_04,Alpes De Haute Provence,2,FRN,2531
55,1999-06-13,european,M_04,Alpes De Haute Provence,2,GAU,10190
56,1999-06-13,european,M_04,Alpes De Haute Provence,2,MNA,1959
57,1999-06-13,european,M_04,Alpes De Haute Provence,2,REG,0
58,1999-06-13,european,M_04,Alpes De Haute Provence,2,UDF,3295
59,1999-06-13,european,M_04,Alpes De Haute Provence,2,VEC,4965
60,1999-06-13,european,M_05,Hautes Alpes,0,eligible_voters,90287
61,1999-06-13,european,M_05,Hautes Alpes,1,issued_ballots,45501
62,1999-06-13,european,M_05,Hautes Alpes,2,COM,2897
63,1999-06-13,european,M_05,Hautes Alpes,2,CPNT,3437
64,1999-06-13,european,M_05,Hautes Alpes,2,DIV,1481
65,1999-06-13,european,M_05,Hautes Alpes,2,DTE,5141
66,1999-06-13,european,M_05,Hautes Alpes,2,DVD,5816
67,1999-06-13,european,M_05,Hautes Alpes,2,ECO,742
68,1999-06-13,european,M_05,Hautes Alpes,2,EXG,1885
69,1999-06-13,european,M_05,Hautes Alpes,2,FRN,1720
70,1999-06-13,european,M_05,Hautes Alpes,2,GAU,8624
71,1999-06-13,european,M_05,Hautes Alpes,2,MNA,1244
72,1999-06-13,european,M_05,Hautes Alpes,2,REG,0
73,1999-06-13,european,M_05,Hautes Alpes,2,UDF,4485
74,1999-06-13,european,M_05,Hautes Alpes,2,VEC,4922
75,1999-06-13,european,M_06,Alpes Maritimes,0,eligible_voters,668046
76,1999-06-13,european,M_06,Alpes Maritimes,1,issued_ballots,286865
