,election_date,election_type,nuts_1_code,nuts_1_name,type,name,votes
0,1999-06-13,european,FR1,Ile-de-France,0,eligible_voters,5951623
1,1999-06-13,european,FR1,Ile-de-France,1,issued_ballots,2840509
2,1999-06-13,european,FR1,Ile-de-France,2,COM,206390
3,1999-06-13,european,FR1,Ile-de-France,2,CPNT,56019
4,1999-06-13,european,FR1,Ile-de-France,2,DIV,100220
5,1999-06-13,european,FR1,Ile-de-France,2,DTE,382579
6,1999-06-13,european,FR1,Ile-de-France,2,DVD,363385
7,1999-06-13,european,FR1,Ile-de-France,2,ECO,41575
8,1999-06-13,european,FR1,Ile-de-France,2,EXG,148895
9,1999-06-13,european,FR1,Ile-de-France,2,FRN,156693
10,1999-06-13,european,FR1,Ile-de-France,2,GAU,562997
11,1999-06-13,european,FR1,Ile-de-France,2,MNA,101311
12,1999-06-13,european,FR1,Ile-de-France,2,REG,269
13,1999-06-13,european,FR1,Ile-de-France,2,UDF,261424
14,1999-06-13,european,FR1,Ile-de-France,2,VEC,349885
15,1999-06-13,european,FRB,Centre — Val de Loire,0,eligible_voters,1695298
16,1999-06-13,european,FRB,Centre — Val de Loire,1,issued_ballots,824901
17,1999-06-13,european,FRB,Centre — Val de Loire,2,COM,52384
18,1999-06-13,european,FRB,Centre — Val de Loire,2,CPNT,69339
19,1999-06-13,european,FRB,Centre — Val de Loire,2,DIV,31606
20,1999-06-13,european,FRB,Centre — Val de Loire,2,DTE,97483
21,1999-06-13,european,FRB,Centre — Val de Loire,2,DVD,107148
22,1999-06-13,european,FRB,Centre — Val de Loire,2,ECO,10410
23,1999-06-13,european,FRB,Centre — Val de Loire,2,EXG,37288
24,1999-06-13,european,FRB,Centre — Val de Loire,2,FRN,45088
25,1999-06-13,european,FRB,Centre — Val de Loire,2,GAU,162983
26,1999-06-13,european,FRB,Centre — Val de Loire,2,MNA,23486
27,1999-06-13,european,FRB,Centre — Val de Loire,2,REG,135
28,1999-06-13,european,FRB,Centre — Val de Loire,2,UDF,67535
29,1999-06-13,european,FRB,Centre — Val de Loire,2,VEC,64290
30,1999-06-13,european,FRC,Bourgogne-Franche-Comté,0,eligible_voters,1894075
31,1999-06-13,european,FRC,Bourgogne-Franche-Comté,1,issued_ballots,899197
32,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,COM,48929
33,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,CPNT,56613
34,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,DIV,32498
35,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,DTE,116450
36,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,DVD,109910
37,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,ECO,12378
38,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,EXG,41703
39,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,FRN,47188
40,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,GAU,193396
41,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,MNA,27430
42,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,REG,80
43,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,UDF,70916
44,1999-06-13,european,FRC,Bourgogne-Franche-Comté,2,VEC,77157
45,1999-06-13,european,FRD,Normandie,0,eligible_voters,2204667
46,1999-06-13,european,FRD,Normandie,1,issued_ballots,1071833
47,1999-06-13,european,FRD,Normandie,2,COM,63323
48,1999-06-13,european,FRD,Normandie,2,CPNT,100304
49,1999-06-13,european,FRD,Normandie,2,DIV,42751
50,1999-06-13,european,FRD,Normandie,2,DTE,126052
51,1999-06-13,european,FRD,Normandie,2,DVD,126490
52,1999-06-13,european,FRD,Normandie,2,ECO,15416
53,1999-06-13,european,FRD,Normandie,2,EXG,58086
54,1999-06-13,european,FRD,Normandie,2,FRN,58795
55,1999-06-13,european,FRD,Normandie,2,GAU,209489
56,1999-06-13,european,FRD,Normandie,2,MNA,27190
57,1999-06-13,european,FRD,Normandie,2,REG,94
58,1999-06-13,european,FRD,Normandie,2,UDF,89474
59,1999-06-13,european,FRD,Normandie,2,VEC,89666
60,1999-06-13,european,FRE,Hauts-de-France,0,eligible_voters,3987578
61,1999-06-13,european,FRE,Hauts-de-France,1,issued_ballots,1950050
62,1999-06-13,european,FRE,Hauts-de-France,2,COM,158708
63,1999-06-13,european,FRE,Hauts-de-France,2,CPNT,191922
64,1999-06-13,european,FRE,Hauts-de-France,2,DIV,80738
65,1999-06-13,european,FRE,Hauts-de-France,2,DTE,187893
66,1999-06-13,european,FRE,Hauts-de-France,2,DVD,205275
67,1999-06-13,european,FRE,Hauts-de-France,2,ECO,29765
68,1999-06-13,european,FRE,Hauts-de-France,2,EXG,121225
69,1999-06-13,european,FRE,Hauts-de-France,2,FRN,139916
70,1999-06-13,european,FRE,Hauts-de-France,2,GAU,384815
71,1999-06-13,european,FRE,Hauts-de-France,2,MNA,53324
72,1999-06-13,european,FRE,Hauts-de-France,2,REG,456
73,1999-06-13,european,FRE,Hauts-de-France,2,UDF,130710
74,1999-06-13,european,FRE,Hauts-de-France,2,VEC,135907
75,1999-06-13,european,FRF,Grand Est,0,eligible_voters,3623034
76,1999-06-13,european,FRF,Grand Est,1,issued_ballots,1552221
77,1999-06-13,european,FRF,Grand Est,2,COM,62556
78,1999-06-13,european,FRF,Grand Est,2,CPNT,55084
79,1999-06-13,european,FRF,Grand Est,2,DIV,64682
80,1999-06-13,european,FRF,Grand Est,2,DTE,197741
81,1999-06-13,european,FRF,Grand Est,2,DVD,178526
82,1999-06-13,european,FRF,Grand Est,2,ECO,36604
