,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
592,FRC12,Nièvre,FRC12,Nièvre,FRC1,Bourgogne,FRC,Bourgogne-Franche-Comté
593,FRC13,Saône-et-Loire,FRC13,Saône-et-Loire,FRC1,Bourgogne,FRC,Bourgogne-Franche-Comté
594,FRC14,Yonne,FRC14,Yonne,FRC1,Bourgogne,FRC,Bourgogne-Franche-Comté
595,FRC11,Côte-d’Or,FRC11,Côte-d’Or,FRC1,Bourgogne,FRC,Bourgogne-Franche-Comté
596,FRC21,Doubs,FRC21,Doubs,FRC2,Franche-Comté,FRC,Bourgogne-Franche-Comté
597,FRC22,Jura,FRC22,Jura,FRC2,Franche-Comté,FRC,Bourgogne-Franche-Comté
598,FRC23,Haute-Saône,FRC23,Haute-Saône,FRC2,Franche-Comté,FRC,Bourgogne-Franche-Comté
599,FRC24,Territoire de Belfort,FRC24,Territoire de Belfort,FRC2,Franche-Comté,FRC,Bourgogne-Franche-Comté
600,FRK24,Isère,FRK24,Isère,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
601,FRK25,Loire,FRK25,Loire,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
602,FRK26,Rhône,FRK26,Rhône,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
603,FRK27,Savoie,FRK27,Savoie,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
604,FRK28,Haute-Savoie,FRK28,Haute-Savoie,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
605,FRK21,Ain,FRK21,Ain,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
606,FRK22,Ardèche,FRK22,Ardèche,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
607,FRK23,Drôme,FRK23,Drôme,FRK2,Rhône-Alpes,FRK,Auvergne-Rhône-Alpes
608,FRK12,Cantal,FRK12,Cantal,FRK1,Auvergne,FRK,Auvergne-Rhône-Alpes
609,FRK13,Haute-Loire,FRK13,Haute-Loire,FRK1,Auvergne,FRK,Auvergne-Rhône-Alpes
610,FRK14,Puy-de-Dôme,FRK14,Puy-de-Dôme,FRK1,Auvergne,FRK,Auvergne-Rhône-Alpes
611,FRK11,Allier,FRK11,Allier,FRK1,Auvergne,FRK,Auvergne-Rhône-Alpes
612,FRF12,Haut-Rhin,FRF12,Haut-Rhin,FRF1,Alsace,FRF,Grand Est
613,FRF11,Bas-Rhin,FRF11,Bas-Rhin,FRF1,Alsace,FRF,Grand Est
614,FRF21,Ardennes,FRF21,Ardennes,FRF2,Champagne-Ardenne,FRF,Grand Est
615,FRF22,Aube,FRF22,Aube,FRF2,Champagne-Ardenne,FRF,Grand Est
616,FRF23,Marne,FRF23,Marne,FRF2,Champagne-Ardenne,FRF,Grand Est
617,FRF24,Haute-Marne,FRF24,Haute-Marne,FRF2,Champagne-Ardenne,FRF,Grand Est
618,FRF33,Moselle,FRF33,Moselle,FRF3,Lorraine,FRF,Grand Est
619,FRF34,Vosges,FRF34,Vosges,FRF3,Lorraine,FRF,Grand Est
620,FRF31,Meurthe-et-Moselle ,FRF31,Meurthe-et-Moselle ,FRF3,Lorraine,FRF,Grand Est
621,FRF32,Meuse ,FRF32,Meuse ,FRF3,Lorraine,FRF,Grand Est
622,FRH04,Morbihan,FRH04,Morbihan,FRH0,Bretagne,FRH,Bretagne
623,FRH01,Côtes-d’Armor,FRH01,Côtes-d’Armor,FRH0,Bretagne,FRH,Bretagne
624,FRH02,Finistère,FRH02,Finistère,FRH0,Bretagne,FRH,Bretagne
625,FRH03,Ille-et-Vilaine,FRH03,Ille-et-Vilaine,FRH0,Bretagne,FRH,Bretagne
626,FRI11,Dordogne,FRI11,Dordogne,FRI1,Aquitaine,FRI,Nouvelle-Aquitaine
627,FRI12,Gironde,FRI12,Gironde,FRI1,Aquitaine,FRI,Nouvelle-Aquitaine
628,FRI13,Landes,FRI13,Landes,FRI1,Aquitaine,FRI,Nouvelle-Aquitaine
629,FRI14,Lot-et-Garonne,FRI14,Lot-et-Garonne,FRI1,Aquitaine,FRI,Nouvelle-Aquitaine
630,FRI15,Pyrénées-Atlantiques,FRI15,Pyrénées-Atlantiques,FRI1,Aquitaine,FRI,Nouvelle-Aquitaine
631,FRI23,Haute-Vienne,FRI23,Haute-Vienne,FRI2,Limousin,FRI,Nouvelle-Aquitaine
632,FRI21,Corrèze,FRI21,Corrèze,FRI2,Limousin,FRI,Nouvelle-Aquitaine
633,FRI22,Creuse,FRI22,Creuse,FRI2,Limousin,FRI,Nouvelle-Aquitaine
634,FRI33,Deux-Sèvres,FRI33,Deux-Sèvres,FRI3,Poitou-Charentes,FRI,Nouvelle-Aquitaine
635,FRI31,Charente,FRI31,Charente,FRI3,Poitou-Charentes,FRI,Nouvelle-Aquitaine
636,FRI34,Vienne,FRI34,Vienne,FRI3,Poitou-Charentes,FRI,Nouvelle-Aquitaine
637,FRI32,Charente-Maritime,FRI32,Charente-Maritime,FRI3,Poitou-Charentes,FRI,Nouvelle-Aquitaine
