,election_date,election_type,nuts_3_code,nuts_3_name,type,name,votes
0,2002-04-07,parliament,HU110,Budapest,0,eligible_voters,1409931.0
1,2002-04-07,parliament,HU110,Budapest,1,issued_ballots,1102735.0
2,2002-04-07,parliament,HU110,Budapest,2,CENTRUM,62563.0
3,2002-04-07,parliament,HU110,Budapest,2,FIDESZ MDF,345181.0
4,2002-04-07,parliament,HU110,Budapest,2,FÜGGETLEN KISGAZDAPÁRT,2954.0
5,2002-04-07,parliament,HU110,Budapest,2,MIÉP,76063.0
6,2002-04-07,parliament,HU110,Budapest,2,MSZP,482323.0
7,2002-04-07,parliament,HU110,Budapest,2,MUNKÁSPÁRT,19636.0
8,2002-04-07,parliament,HU110,Budapest,2,SZDSZ,104474.0
9,2002-04-07,parliament,HU120,Pest,0,eligible_voters,845729.0
10,2002-04-07,parliament,HU120,Pest,1,issued_ballots,599878.0
11,2002-04-07,parliament,HU120,Pest,2,CENTRUM,23468.0
12,2002-04-07,parliament,HU120,Pest,2,FIDESZ-MDF,243567.0
13,2002-04-07,parliament,HU120,Pest,2,FÜGGETLEN KISGAZDAPÁRT,4102.0
14,2002-04-07,parliament,HU120,Pest,2,MAGYAR SZOCIALISTA PÁRT,239008.0
15,2002-04-07,parliament,HU120,Pest,2,MIÉP,33559.0
16,2002-04-07,parliament,HU120,Pest,2,MUNKÁSPÁRT,9356.0
17,2002-04-07,parliament,HU120,Pest,2,SZDSZ,39468.0
18,2002-04-07,parliament,HU120,Pest,2,ÚJ-BAL,1002.0
19,2002-04-07,parliament,HU211,Fejér,0,eligible_voters,335916.0
20,2002-04-07,parliament,HU211,Fejér,1,issued_ballots,234690.0
21,2002-04-07,parliament,HU211,Fejér,2,CENTRUM,8971.0
22,2002-04-07,parliament,HU211,Fejér,2,FIDESZ-MDF,100835.0
23,2002-04-07,parliament,HU211,Fejér,2,FÜGGETLEN KISGAZDAPÁRT,1145.0
24,2002-04-07,parliament,HU211,Fejér,2,MAGYAR  SZOCIALISTA PÁRT,98050.0
25,2002-04-07,parliament,HU211,Fejér,2,MIÉP,7805.0
26,2002-04-07,parliament,HU211,Fejér,2,MUNKÁSPÁRT,4417.0
27,2002-04-07,parliament,HU211,Fejér,2,SZDSZ,11145.0
28,2002-04-07,parliament,HU212,Komárom-Esztergom,0,eligible_voters,249605.0
29,2002-04-07,parliament,HU212,Komárom-Esztergom,1,issued_ballots,177613.0
30,2002-04-07,parliament,HU212,Komárom-Esztergom,2,CENTRUM,5642.0
31,2002-04-07,parliament,HU212,Komárom-Esztergom,2,FIDESZ-MDF,63889.0
32,2002-04-07,parliament,HU212,Komárom-Esztergom,2,FÜGGETLEN KISGAZDAPÁRT,984.0
33,2002-04-07,parliament,HU212,Komárom-Esztergom,2,MIÉP,5452.0
34,2002-04-07,parliament,HU212,Komárom-Esztergom,2,MSZP,86711.0
35,2002-04-07,parliament,HU212,Komárom-Esztergom,2,MUNKÁSPÁRT,3811.0
36,2002-04-07,parliament,HU212,Komárom-Esztergom,2,REFORM KISGAZDAPÁRT,290.0
37,2002-04-07,parliament,HU212,Komárom-Esztergom,2,SZDSZ,8867.0
38,2002-04-07,parliament,HU212,Komárom-Esztergom,2,ÚJ BALOLDAL,127.0
39,2002-04-07,parliament,HU213,Veszprém,0,eligible_voters,292192.0
40,2002-04-07,parliament,HU213,Veszprém,1,issued_ballots,213412.0
41,2002-04-07,parliament,HU213,Veszprém,2,CENTRUM,7890.0
42,2002-04-07,parliament,HU213,Veszprém,2,FIDESZ-MDF,101635.0
43,2002-04-07,parliament,HU213,Veszprém,2,FÜGGETLEN KISGAZDAPÁRT,1039.0
44,2002-04-07,parliament,HU213,Veszprém,2,KISGAZDAPÁRT,450.0
45,2002-04-07,parliament,HU213,Veszprém,2,MAGYAR SZOCIALISTA PÁRT,77975.0
46,2002-04-07,parliament,HU213,Veszprém,2,MIÉP,7084.0
47,2002-04-07,parliament,HU213,Veszprém,2,MUNKÁSPÁRT,3764.0
48,2002-04-07,parliament,HU213,Veszprém,2,SZDSZ,11068.0
49,2002-04-07,parliament,HU213,Veszprém,2,ÚJ BAL,231.0
50,2002-04-07,parliament,HU221,Győr-Moson-Sopron,0,eligible_voters,347829.0
51,2002-04-07,parliament,HU221,Győr-Moson-Sopron,1,issued_ballots,258178.0
52,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,CENTRUM,8246.0
53,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,FIDESZ-MDF,130618.0
54,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,FÜGGETLEN KISGAZDAPÁRT,1356.0
55,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA,8337.0
56,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,MSZP,92538.0
57,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,MUNKÁSPÁRT,3820.0
58,2002-04-07,parliament,HU221,Győr-Moson-Sopron,2,SZDSZ,10459.0
59,2002-04-07,parliament,HU222,Vas,0,eligible_voters,213610.0
60,2002-04-07,parliament,HU222,Vas,1,issued_ballots,159079.0
61,2002-04-07,parliament,HU222,Vas,2,CENTRUM,5639.0
62,2002-04-07,parliament,HU222,Vas,2,FIDESZ-MDF,84090.0
63,2002-04-07,parliament,HU222,Vas,2,FÜGGETLEN KISGAZDAPÁRT,1153.0
64,2002-04-07,parliament,HU222,Vas,2,MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA,4817.0
65,2002-04-07,parliament,HU222,Vas,2,MAGYAR SZOCIALISTA PÁRT,50919.0
66,2002-04-07,parliament,HU222,Vas,2,MUNKÁSPÁRT,1915.0
67,2002-04-07,parliament,HU222,Vas,2,REFORM KISGAZDAPÁRT,188.0
68,2002-04-07,parliament,HU222,Vas,2,SZDSZ,8503.0
69,2002-04-07,parliament,HU223,Zala,0,eligible_voters,237953.0
70,2002-04-07,parliament,HU223,Zala,1,issued_ballots,169326.0
71,2002-04-07,parliament,HU223,Zala,2,CENTRUM,5436.0
72,2002-04-07,parliament,HU223,Zala,2,FIDESZ-MDF,82925.0
73,2002-04-07,parliament,HU223,Zala,2,FÜGGETLEN KISGAZDAPÁRT,1501.0
74,2002-04-07,parliament,HU223,Zala,2,MIÉP,6295.0
75,2002-04-07,parliament,HU223,Zala,2,MSZP,61104.0
76,2002-04-07,parliament,HU223,Zala,2,MUNKÁSPÁRT,2818.0
77,2002-04-07,parliament,HU223,Zala,2,SZDSZ,7484.0
78,2002-04-07,parliament,HU231,Baranya,0,eligible_voters,322575.0
79,2002-04-07,parliament,HU231,Baranya,1,issued_ballots,232693.0
80,2002-04-07,parliament,HU231,Baranya,2,CENTRUM,7827.0
81,2002-04-07,parliament,HU231,Baranya,2,FIDESZ-MDF,88856.0
82,2002-04-07,parliament,HU231,Baranya,2,FÜGGETLEN KISGAZDAPÁRT,1505.0
83,2002-04-07,parliament,HU231,Baranya,2,MIÉP,7113.0
84,2002-04-07,parliament,HU231,Baranya,2,MSZP,107584.0
85,2002-04-07,parliament,HU231,Baranya,2,MUNKÁSPÁRT,5665.0
86,2002-04-07,parliament,HU231,Baranya,2,SZABAD DEMOKRATÁK SZÖVETSÉGE,11693.0
87,2002-04-07,parliament,HU232,Somogy,0,eligible_voters,266913.0
88,2002-04-07,parliament,HU232,Somogy,1,issued_ballots,182487.0
89,2002-04-07,parliament,HU232,Somogy,2,CENTRUM,8051.0
90,2002-04-07,parliament,HU232,Somogy,2,FIDESZ-MDF,79221.0
91,2002-04-07,parliament,HU232,Somogy,2,FÜGGETLEN KISGAZDAPÁRT,2012.0
92,2002-04-07,parliament,HU232,Somogy,2,KISGAZDAPÁRT,1.0
93,2002-04-07,parliament,HU232,Somogy,2,MAGYAR SZOCIALISTA PÁRT,74936.0
94,2002-04-07,parliament,HU232,Somogy,2,MIÉP,6063.0
95,2002-04-07,parliament,HU232,Somogy,2,MUNKÁSPÁRT,3517.0
96,2002-04-07,parliament,HU232,Somogy,2,SZABAD DEMOKRATÁK SZÖVETSÉGE,6581.0
97,2002-04-07,parliament,HU232,Somogy,2,SZDSZ,49.0
98,2002-04-07,parliament,HU232,Somogy,2,ÚJ BAL,1.0
99,2002-04-07,parliament,HU233,Tolna,0,eligible_voters,198362.0
100,2002-04-07,parliament,HU233,Tolna,1,issued_ballots,136146.0
101,2002-04-07,parliament,HU233,Tolna,2,CENTRUM,3817.0
102,2002-04-07,parliament,HU233,Tolna,2,FIDESZ-MDF,59410.0
103,2002-04-07,parliament,HU233,Tolna,2,FÜGGETLEN KISGAZDAPÁRT,1030.0
104,2002-04-07,parliament,HU233,Tolna,2,MAGYAR SZOCIALISTA PÁRT,55162.0
105,2002-04-07,parliament,HU233,Tolna,2,MIÉP,5280.0
106,2002-04-07,parliament,HU233,Tolna,2,MUNKÁSPÁRT,2998.0
107,2002-04-07,parliament,HU233,Tolna,2,SZABAD DEMOKRATÁK SZÖVETSÉGE,6794.0
108,2002-04-07,parliament,HU311,Borsod-Abaúj-Zemplén,0,eligible_voters,577328.0
109,2002-04-07,parliament,HU311,Borsod-Abaúj-Zemplén,1,issued_ballots,393528.0
