,election_date,election_type,nuts_1_code,nuts_1_name,type,name,votes
0,1996-04-21,parliament,ITC,Nord-Ovest,0,eligible_voters,306174775.0
1,1996-04-21,parliament,ITC,Nord-Ovest,1,issued_ballots,268942175.0
2,1996-04-21,parliament,ITC,Nord-Ovest,2,amb,125.0
3,1996-04-21,parliament,ITC,Nord-Ovest,2,an,27948375.0
4,1996-04-21,parliament,ITC,Nord-Ovest,2,ccd_cdu,11987700.0
5,1996-04-21,parliament,ITC,Nord-Ovest,2,fi,59485050.0
6,1996-04-21,parliament,ITC,Nord-Ovest,2,gil,100.0
7,1996-04-21,parliament,ITC,Nord-Ovest,2,lam,50.0
8,1996-04-21,parliament,ITC,Nord-Ovest,2,lega,57948725.0
9,1996-04-21,parliament,ITC,Nord-Ovest,2,mp,207425.0
10,1996-04-21,parliament,ITC,Nord-Ovest,2,mst,781250.0
11,1996-04-21,parliament,ITC,Nord-Ovest,2,ne,136875.0
12,1996-04-21,parliament,ITC,Nord-Ovest,2,pds,44106600.0
13,1996-04-21,parliament,ITC,Nord-Ovest,2,pf,94025.0
14,1996-04-21,parliament,ITC,Nord-Ovest,2,plm,25.0
15,1996-04-21,parliament,ITC,Nord-Ovest,2,pln,150.0
16,1996-04-21,parliament,ITC,Nord-Ovest,2,pop,16492750.0
17,1996-04-21,parliament,ITC,Nord-Ovest,2,ps,349125.0
18,1996-04-21,parliament,ITC,Nord-Ovest,2,psg,6062250.0
19,1996-04-21,parliament,ITC,Nord-Ovest,2,pu,234175.0
20,1996-04-21,parliament,ITC,Nord-Ovest,2,rc,21380800.0
21,1996-04-21,parliament,ITC,Nord-Ovest,2,rid,10728125.0
22,1996-04-21,parliament,ITC,Nord-Ovest,2,ufst,475.0
23,1996-04-21,parliament,ITC,Nord-Ovest,2,verdi,7009450.0
24,1996-04-21,parliament,ITF,Sud,0,eligible_voters,276523536.0
25,1996-04-21,parliament,ITF,Sud,1,issued_ballots,207064752.0
26,1996-04-21,parliament,ITF,Sud,2,amb,368256.0
27,1996-04-21,parliament,ITF,Sud,2,an,36436584.0
28,1996-04-21,parliament,ITF,Sud,2,ccd_cdu,15322152.0
29,1996-04-21,parliament,ITF,Sud,2,dsoc,191448.0
30,1996-04-21,parliament,ITF,Sud,2,fi,42169584.0
31,1996-04-21,parliament,ITF,Sud,2,gil,407784.0
32,1996-04-21,parliament,ITF,Sud,2,lam,1226904.0
33,1996-04-21,parliament,ITF,Sud,2,lega,6048.0
34,1996-04-21,parliament,ITF,Sud,2,mp,466680.0
35,1996-04-21,parliament,ITF,Sud,2,mri,218208.0
36,1996-04-21,parliament,ITF,Sud,2,mst,3315144.0
37,1996-04-21,parliament,ITF,Sud,2,nsfns,23712.0
38,1996-04-21,parliament,ITF,Sud,2,pds,39642024.0
39,1996-04-21,parliament,ITF,Sud,2,pop,13971288.0
40,1996-04-21,parliament,ITF,Sud,2,ppa,258072.0
41,1996-04-21,parliament,ITF,Sud,2,ps,2167056.0
42,1996-04-21,parliament,ITF,Sud,2,psg,3292032.0
43,1996-04-21,parliament,ITF,Sud,2,rc,17254368.0
