,election_date,election_type,nuts_3_code,nuts_3_name,type,name,votes
0,2000-10-08,president_a,PL213,Miasto Kraków,0,eligible_voters,572723
1,2000-10-08,president_a,PL213,Miasto Kraków,1,issued_ballots,379768
2,2000-10-08,president_a,PL213,Miasto Kraków,2,Grabowski,1742
3,2000-10-08,president_a,PL213,Miasto Kraków,2,Ikonowicz,817
4,2000-10-08,president_a,PL213,Miasto Kraków,2,Kalinowski,5007
5,2000-10-08,president_a,PL213,Miasto Kraków,2,KorwinMikke,10753
6,2000-10-08,president_a,PL213,Miasto Kraków,2,Krzaklewski,76961
7,2000-10-08,president_a,PL213,Miasto Kraków,2,Kwasniewski,147735
8,2000-10-08,president_a,PL213,Miasto Kraków,2,Lepper,3092
9,2000-10-08,president_a,PL213,Miasto Kraków,2,Lopuszanski,3799
10,2000-10-08,president_a,PL213,Miasto Kraków,2,Olechowski,120227
11,2000-10-08,president_a,PL213,Miasto Kraków,2,Pawlowski,308
12,2000-10-08,president_a,PL213,Miasto Kraków,2,Walesa,5053
13,2000-10-08,president_a,PL213,Miasto Kraków,2,Wilecki,536
14,2000-10-08,president_a,PL214,Krakowski,0,eligible_voters,472927
15,2000-10-08,president_a,PL214,Krakowski,1,issued_ballots,277502
16,2000-10-08,president_a,PL214,Krakowski,2,Grabowski,1135
17,2000-10-08,president_a,PL214,Krakowski,2,Ikonowicz,450
18,2000-10-08,president_a,PL214,Krakowski,2,Kalinowski,24735
19,2000-10-08,president_a,PL214,Krakowski,2,KorwinMikke,3940
20,2000-10-08,president_a,PL214,Krakowski,2,Krzaklewski,54463
21,2000-10-08,president_a,PL214,Krakowski,2,Kwasniewski,112271
22,2000-10-08,president_a,PL214,Krakowski,2,Lepper,10086
23,2000-10-08,president_a,PL214,Krakowski,2,Lopuszanski,2415
24,2000-10-08,president_a,PL214,Krakowski,2,Olechowski,59562
25,2000-10-08,president_a,PL214,Krakowski,2,Pawlowski,218
26,2000-10-08,president_a,PL214,Krakowski,2,Walesa,3457
27,2000-10-08,president_a,PL214,Krakowski,2,Wilecki,401
28,2000-10-08,president_a,PL217,Tarnowski,0,eligible_voters,328271
29,2000-10-08,president_a,PL217,Tarnowski,1,issued_ballots,195326
30,2000-10-08,president_a,PL217,Tarnowski,2,Grabowski,716
31,2000-10-08,president_a,PL217,Tarnowski,2,Ikonowicz,278
32,2000-10-08,president_a,PL217,Tarnowski,2,Kalinowski,17083
33,2000-10-08,president_a,PL217,Tarnowski,2,KorwinMikke,2698
34,2000-10-08,president_a,PL217,Tarnowski,2,Krzaklewski,43721
35,2000-10-08,president_a,PL217,Tarnowski,2,Kwasniewski,73943
36,2000-10-08,president_a,PL217,Tarnowski,2,Lepper,6773
37,2000-10-08,president_a,PL217,Tarnowski,2,Lopuszanski,1950
38,2000-10-08,president_a,PL217,Tarnowski,2,Olechowski,42019
39,2000-10-08,president_a,PL217,Tarnowski,2,Pawlowski,139
40,2000-10-08,president_a,PL217,Tarnowski,2,Walesa,2450
41,2000-10-08,president_a,PL217,Tarnowski,2,Wilecki,294
42,2000-10-08,president_a,PL218,Nowosądecki,0,eligible_voters,358844
43,2000-10-08,president_a,PL218,Nowosądecki,1,issued_ballots,219470
44,2000-10-08,president_a,PL218,Nowosądecki,2,Grabowski,1112
45,2000-10-08,president_a,PL218,Nowosądecki,2,Ikonowicz,342
46,2000-10-08,president_a,PL218,Nowosądecki,2,Kalinowski,14759
47,2000-10-08,president_a,PL218,Nowosądecki,2,KorwinMikke,2380
48,2000-10-08,president_a,PL218,Nowosądecki,2,Krzaklewski,62013
49,2000-10-08,president_a,PL218,Nowosądecki,2,Kwasniewski,78936
50,2000-10-08,president_a,PL218,Nowosądecki,2,Lepper,6821
51,2000-10-08,president_a,PL218,Nowosądecki,2,Lopuszanski,2032
52,2000-10-08,president_a,PL218,Nowosądecki,2,Olechowski,43030
53,2000-10-08,president_a,PL218,Nowosądecki,2,Pawlowski,271
54,2000-10-08,president_a,PL218,Nowosądecki,2,Walesa,3789
55,2000-10-08,president_a,PL218,Nowosądecki,2,Wilecki,412
56,2000-10-08,president_a,PL219,Nowotarski,0,eligible_voters,237095
57,2000-10-08,president_a,PL219,Nowotarski,1,issued_ballots,137774
58,2000-10-08,president_a,PL219,Nowotarski,2,Grabowski,525
59,2000-10-08,president_a,PL219,Nowotarski,2,Ikonowicz,167
60,2000-10-08,president_a,PL219,Nowotarski,2,Kalinowski,5051
61,2000-10-08,president_a,PL219,Nowotarski,2,KorwinMikke,1506
62,2000-10-08,president_a,PL219,Nowotarski,2,Krzaklewski,46078
63,2000-10-08,president_a,PL219,Nowotarski,2,Kwasniewski,37188
64,2000-10-08,president_a,PL219,Nowotarski,2,Lepper,3661
65,2000-10-08,president_a,PL219,Nowotarski,2,Lopuszanski,1275
66,2000-10-08,president_a,PL219,Nowotarski,2,Olechowski,36313
67,2000-10-08,president_a,PL219,Nowotarski,2,Pawlowski,113
68,2000-10-08,president_a,PL219,Nowotarski,2,Walesa,2960
69,2000-10-08,president_a,PL219,Nowotarski,2,Wilecki,212
70,2000-10-08,president_a,PL21A,Oświęcimski,0,eligible_voters,425350
71,2000-10-08,president_a,PL21A,Oświęcimski,1,issued_ballots,280419
72,2000-10-08,president_a,PL21A,Oświęcimski,2,Grabowski,1609
73,2000-10-08,president_a,PL21A,Oświęcimski,2,Ikonowicz,611
74,2000-10-08,president_a,PL21A,Oświęcimski,2,Kalinowski,9868
75,2000-10-08,president_a,PL21A,Oświęcimski,2,KorwinMikke,3396
76,2000-10-08,president_a,PL21A,Oświęcimski,2,Krzaklewski,42004
77,2000-10-08,president_a,PL21A,Oświęcimski,2,Kwasniewski,159614
78,2000-10-08,president_a,PL21A,Oświęcimski,2,Lepper,6300
79,2000-10-08,president_a,PL21A,Oświęcimski,2,Lopuszanski,1802
80,2000-10-08,president_a,PL21A,Oświęcimski,2,Olechowski,48683
81,2000-10-08,president_a,PL21A,Oświęcimski,2,Pawlowski,212
82,2000-10-08,president_a,PL21A,Oświęcimski,2,Walesa,2667
83,2000-10-08,president_a,PL21A,Oświęcimski,2,Wilecki,413
84,2000-10-08,president_a,PL224,Częstochowski,0,eligible_voters,421759
85,2000-10-08,president_a,PL224,Częstochowski,1,issued_ballots,270176
86,2000-10-08,president_a,PL224,Częstochowski,2,Grabowski,1302
87,2000-10-08,president_a,PL224,Częstochowski,2,Ikonowicz,705
88,2000-10-08,president_a,PL224,Częstochowski,2,Kalinowski,8349
89,2000-10-08,president_a,PL224,Częstochowski,2,KorwinMikke,3748
90,2000-10-08,president_a,PL224,Częstochowski,2,Krzaklewski,31470
91,2000-10-08,president_a,PL224,Częstochowski,2,Kwasniewski,167215
92,2000-10-08,president_a,PL224,Częstochowski,2,Lepper,7919
93,2000-10-08,president_a,PL224,Częstochowski,2,Lopuszanski,1561
94,2000-10-08,president_a,PL224,Częstochowski,2,Olechowski,41728
95,2000-10-08,president_a,PL224,Częstochowski,2,Pawlowski,269
96,2000-10-08,president_a,PL224,Częstochowski,2,Walesa,2208
97,2000-10-08,president_a,PL224,Częstochowski,2,Wilecki,563
98,2000-10-08,president_a,PL225,Bielski,0,eligible_voters,485972
99,2000-10-08,president_a,PL225,Bielski,1,issued_ballots,320418
100,2000-10-08,president_a,PL225,Bielski,2,Grabowski,2051
101,2000-10-08,president_a,PL225,Bielski,2,Ikonowicz,668
102,2000-10-08,president_a,PL225,Bielski,2,Kalinowski,8329
103,2000-10-08,president_a,PL225,Bielski,2,KorwinMikke,4139
104,2000-10-08,president_a,PL225,Bielski,2,Krzaklewski,58283
105,2000-10-08,president_a,PL225,Bielski,2,Kwasniewski,165623
106,2000-10-08,president_a,PL225,Bielski,2,Lepper,5508
107,2000-10-08,president_a,PL225,Bielski,2,Lopuszanski,2502
108,2000-10-08,president_a,PL225,Bielski,2,Olechowski,64240
109,2000-10-08,president_a,PL225,Bielski,2,Pawlowski,259
110,2000-10-08,president_a,PL225,Bielski,2,Walesa,4611
111,2000-10-08,president_a,PL225,Bielski,2,Wilecki,452
112,2000-10-08,president_a,PL227,Rybnicki,0,eligible_voters,493912
113,2000-10-08,president_a,PL227,Rybnicki,1,issued_ballots,285463
114,2000-10-08,president_a,PL227,Rybnicki,2,Grabowski,1402
115,2000-10-08,president_a,PL227,Rybnicki,2,Ikonowicz,584
116,2000-10-08,president_a,PL227,Rybnicki,2,Kalinowski,4585
117,2000-10-08,president_a,PL227,Rybnicki,2,KorwinMikke,3369
118,2000-10-08,president_a,PL227,Rybnicki,2,Krzaklewski,41507
119,2000-10-08,president_a,PL227,Rybnicki,2,Kwasniewski,164172
120,2000-10-08,president_a,PL227,Rybnicki,2,Lepper,5152
121,2000-10-08,president_a,PL227,Rybnicki,2,Lopuszanski,1462
122,2000-10-08,president_a,PL227,Rybnicki,2,Olechowski,55664
123,2000-10-08,president_a,PL227,Rybnicki,2,Pawlowski,215
124,2000-10-08,president_a,PL227,Rybnicki,2,Walesa,4001
125,2000-10-08,president_a,PL227,Rybnicki,2,Wilecki,351
126,2000-10-08,president_a,PL228,Bytomski,0,eligible_voters,374099
127,2000-10-08,president_a,PL228,Bytomski,1,issued_ballots,201333
128,2000-10-08,president_a,PL228,Bytomski,2,Grabowski,1013
129,2000-10-08,president_a,PL228,Bytomski,2,Ikonowicz,585
130,2000-10-08,president_a,PL228,Bytomski,2,Kalinowski,2678
131,2000-10-08,president_a,PL228,Bytomski,2,KorwinMikke,2749
132,2000-10-08,president_a,PL228,Bytomski,2,Krzaklewski,34203
