,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
0,T_0201,bolesławiecki,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
1,T_0205,jaworski,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
2,T_0206,karkonoski,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
3,T_0207,kamiennogórski,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
4,T_0210,lubański,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
5,T_0212,lwówecki,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
6,T_0225,zgorzelecki,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
7,T_0226,złotoryjski,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
8,T_0261,Jelenia Góra,PL515,Jeleniogórski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
9,T_0202,dzierżoniowski,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
10,T_0208,kłodzki,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
11,T_0219,świdnicki,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
12,T_0221,wałbrzyski,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
13,T_0224,ząbkowicki,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
14,T_0265,Wałbrzych,PL517,Wałbrzyski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
15,T_0203,głogowski,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
16,T_0204,górowski,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
17,T_0209,legnicki,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
18,T_0211,lubiński,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
19,T_0216,polkowicki,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
20,T_0262,Legnica,PL516,Legnicko-głogowski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
21,T_0213,milicki,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
22,T_0214,oleśnicki,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
23,T_0215,oławski,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
24,T_0217,strzeliński,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
25,T_0218,średzki,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
26,T_0220,trzebnicki,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
27,T_0222,wołowski,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
28,T_0223,wrocławski,PL518,Wrocławski,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
29,T_0264,Wrocław,PL514,Miasto Wrocław,PL51,Dolnośląskie,PL5,Makroregion południowo-zachodni
30,T_0401,aleksandrowski,PL619,Włocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
31,T_0408,lipnowski,PL619,Włocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
32,T_0411,radziejowski,PL619,Włocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
33,T_0418,włocławski,PL619,Włocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
34,T_0464,Włocławek,PL619,Włocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
35,T_0402,brodnicki,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
36,T_0404,chełmiński,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
37,T_0405,golubsko-dobrzyński,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
38,T_0406,grudziądzki,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
39,T_0412,rypiński,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
40,T_0417,wąbrzeski,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
41,T_0462,Grudziądz,PL616,Grudziądzki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
42,T_0403,bydgoski,PL613,Bydgosko-toruński,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
43,T_0415,toruński,PL613,Bydgosko-toruński,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
44,T_0461,Bydgoszcz,PL613,Bydgosko-toruński,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
45,T_0463,Toruń,PL613,Bydgosko-toruński,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
46,T_0407,inowrocławski,PL617,Inowrocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
47,T_0409,mogileński,PL617,Inowrocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
48,T_0410,nakielski,PL617,Inowrocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
49,T_0419,żniński,PL617,Inowrocławski,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
50,T_0413,sępoleński,PL618,Świecki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
51,T_0414,świecki,PL618,Świecki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
52,T_0416,tucholski,PL618,Świecki,PL61,Kujawsko-pomorskie,PL6,Makroregion północny
53,T_0601,bialski,PL811,Bialski,PL81,Lubelskie,PL8,Makroregion wschodni
54,T_0613,parczewski,PL811,Bialski,PL81,Lubelskie,PL8,Makroregion wschodni
55,T_0615,radzyński,PL811,Bialski,PL81,Lubelskie,PL8,Makroregion wschodni
56,T_0619,włodawski,PL811,Bialski,PL81,Lubelskie,PL8,Makroregion wschodni
57,T_0661,Biała Podlaska,PL811,Bialski,PL81,Lubelskie,PL8,Makroregion wschodni
58,T_0602,biłgorajski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
59,T_0603,chełmski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
60,T_0604,hrubieszowski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
61,T_0606,krasnostawski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
62,T_0618,tomaszowski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
63,T_0620,zamojski,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
64,T_0662,Chełm,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
65,T_0664,Zamość,PL812,Chełmsko-zamojski,PL81,Lubelskie,PL8,Makroregion wschodni
66,T_0605,janowski,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
67,T_0607,kraśnicki,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
68,T_0611,łukowski,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
69,T_0612,opolski,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
70,T_0614,puławski,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
71,T_0616,rycki,PL815,Puławski,PL81,Lubelskie,PL8,Makroregion wschodni
72,T_0608,lubartowski,PL814,Lubelski,PL81,Lubelskie,PL8,Makroregion wschodni
73,T_0609,lubelski,PL814,Lubelski,PL81,Lubelskie,PL8,Makroregion wschodni
74,T_0610,łęczyński,PL814,Lubelski,PL81,Lubelskie,PL8,Makroregion wschodni
75,T_0617,świdnicki,PL814,Lubelski,PL81,Lubelskie,PL8,Makroregion wschodni
76,T_0663,Lublin,PL814,Lubelski,PL81,Lubelskie,PL8,Makroregion wschodni
77,T_0801,gorzowski,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
78,T_0803,międzyrzecki,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
79,T_0805,słubicki,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
80,T_0806,strzelecko-drezdenecki,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
81,T_0807,sulęciński,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
82,T_0861,Gorzów Wielkopolski,PL431,Gorzowski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
83,T_0802,krośnieński,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
84,T_0804,nowosolski,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
85,T_0808,świebodziński,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
86,T_0809,zielonogórski,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
87,T_0810,żagański,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
88,T_0811,żarski,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
89,T_0812,wschowski,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
90,T_0862,Zielona Góra,PL432,Zielonogórski,PL43,Lubuskie,PL4,Makroregion północno-zachodni
91,T_1001,bełchatowski,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
92,T_1007,opoczyński,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
93,T_1010,piotrkowski,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
94,T_1012,radomszczański,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
95,T_1016,tomaszowski,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
96,T_1062,Piotrków Trybunalski,PL713,Piotrkowski,PL71,Łódzkie,PL7,Makroregion centralny
97,T_1002,kutnowski,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
98,T_1004,łęczycki,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
99,T_1005,łowicki,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
100,T_1013,rawski,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
101,T_1015,skierniewicki,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
102,T_1063,Skierniewice,PL715,Skierniewicki,PL71,Łódzkie,PL7,Makroregion centralny
103,T_1003,łaski,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
104,T_1009,pajęczański,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
105,T_1011,poddębicki,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
106,T_1014,sieradzki,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
107,T_1017,wieluński,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
108,T_1018,wieruszowski,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
109,T_1019,zduńskowolski,PL714,Sieradzki,PL71,Łódzkie,PL7,Makroregion centralny
110,T_1006,łódzki wschodni,PL712,Łódzki,PL71,Łódzkie,PL7,Makroregion centralny
111,T_1008,pabianicki,PL712,Łódzki,PL71,Łódzkie,PL7,Makroregion centralny
112,T_1020,zgierski,PL712,Łódzki,PL71,Łódzkie,PL7,Makroregion centralny
113,T_1021,brzeziński,PL712,Łódzki,PL71,Łódzkie,PL7,Makroregion centralny
114,T_1061,Łódź,PL711,Miasto Łódź,PL71,Łódzkie,PL7,Makroregion centralny
115,T_1201,bocheński,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
116,T_1206,krakowski,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
117,T_1208,miechowski,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
118,T_1209,myślenicki,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
119,T_1214,proszowicki,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
120,T_1219,wielicki,PL214,Krakowski,PL21,Małopolskie,PL2,Makroregion południowy
121,T_1202,brzeski,PL217,Tarnowski,PL21,Małopolskie,PL2,Makroregion południowy
122,T_1204,dąbrowski,PL217,Tarnowski,PL21,Małopolskie,PL2,Makroregion południowy
123,T_1216,tarnowski,PL217,Tarnowski,PL21,Małopolskie,PL2,Makroregion południowy
124,T_1263,Tarnów,PL217,Tarnowski,PL21,Małopolskie,PL2,Makroregion południowy
125,T_1203,chrzanowski,PL21A,Oświęcimski,PL21,Małopolskie,PL2,Makroregion południowy
126,T_1212,olkuski,PL21A,Oświęcimski,PL21,Małopolskie,PL2,Makroregion południowy
127,T_1213,oświęcimski,PL21A,Oświęcimski,PL21,Małopolskie,PL2,Makroregion południowy
128,T_1218,wadowicki,PL21A,Oświęcimski,PL21,Małopolskie,PL2,Makroregion południowy
129,T_1205,gorlicki,PL218,Nowosądecki,PL21,Małopolskie,PL2,Makroregion południowy
130,T_1207,limanowski,PL218,Nowosądecki,PL21,Małopolskie,PL2,Makroregion południowy
131,T_1210,nowosądecki,PL218,Nowosądecki,PL21,Małopolskie,PL2,Makroregion południowy
132,T_1262,Nowy Sącz,PL218,Nowosądecki,PL21,Małopolskie,PL2,Makroregion południowy
133,T_1211,nowotarski,PL219,Nowotarski,PL21,Małopolskie,PL2,Makroregion południowy
134,T_1215,suski,PL219,Nowotarski,PL21,Małopolskie,PL2,Makroregion południowy
135,T_1217,tatrzański,PL219,Nowotarski,PL21,Małopolskie,PL2,Makroregion południowy
136,T_1261,Kraków,PL213,Miasto Kraków,PL21,Małopolskie,PL2,Makroregion południowy
137,T_1401,białobrzeski,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
138,T_1407,kozienicki,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
139,T_1409,lipski,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
140,T_1423,przysuski,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
141,T_1425,radomski,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
142,T_1430,szydłowiecki,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
143,T_1436,zwoleński,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
144,T_1463,Radom,PL921,Radomski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
145,T_1402,ciechanowski,PL922,Ciechanowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
146,T_1413,mławski,PL922,Ciechanowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
147,T_1420,płoński,PL922,Ciechanowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
148,T_1424,pułtuski,PL922,Ciechanowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
149,T_1437,żuromiński,PL922,Ciechanowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
150,T_1403,garwoliński,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
151,T_1410,łosicki,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
152,T_1426,siedlecki,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
153,T_1429,sokołowski,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
154,T_1433,węgrowski,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
155,T_1464,Siedlce,PL925,Siedlecki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
156,T_1404,gostyniński,PL923,Płocki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
157,T_1419,płocki,PL923,Płocki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
158,T_1427,sierpecki,PL923,Płocki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
159,T_1462,Płock,PL923,Płocki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
160,T_1405,grodziski,PL913,Warszawski zachodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
161,T_1414,nowodworski,PL913,Warszawski zachodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
162,T_1418,piaseczyński,PL913,Warszawski zachodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
163,T_1421,pruszkowski,PL913,Warszawski zachodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
164,T_1432,warszawski zachodni,PL913,Warszawski zachodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
165,T_1406,grójecki,PL926,Żyrardowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
166,T_1428,sochaczewski,PL926,Żyrardowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
167,T_1438,żyrardowski,PL926,Żyrardowski,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
168,T_1408,legionowski,PL912,Warszawski wschodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
169,T_1412,miński,PL912,Warszawski wschodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
170,T_1417,otwocki,PL912,Warszawski wschodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
171,T_1434,wołomiński,PL912,Warszawski wschodni,PL91,Warszawski stołeczny,PL9,Makroregion województwo mazowieckie
172,T_1411,makowski,PL924,Ostrołęcki,PL92,Mazowiecki regionalny,PL9,Makroregion województwo mazowieckie
