,election_date,election_type,nuts_1_code,nuts_1_name,type,name,votes
0,1992-09-27,parliament,RO1,Macroregiunea Unu,0,eligible_voters,4044707
1,1992-09-27,parliament,RO1,Macroregiunea Unu,1,issued_ballots,3202484
2,1992-09-27,parliament,RO1,Macroregiunea Unu,2,A.D.N.,2194
3,1992-09-27,parliament,RO1,Macroregiunea Unu,2,C.D.R,480100
4,1992-09-27,parliament,RO1,Macroregiunea Unu,2,C.I.,20300
5,1992-09-27,parliament,RO1,Macroregiunea Unu,2,C.I.R.,1129
6,1992-09-27,parliament,RO1,Macroregiunea Unu,2,C.R.L.R.,483
7,1992-09-27,parliament,RO1,Macroregiunea Unu,2,C.S.S.,6237
8,1992-09-27,parliament,RO1,Macroregiunea Unu,2,F.D.R.16-20.XII.89.T,3854
9,1992-09-27,parliament,RO1,Macroregiunea Unu,2,F.D.S.N.,327992
10,1992-09-27,parliament,RO1,Macroregiunea Unu,2,F.S.N.,200040
11,1992-09-27,parliament,RO1,Macroregiunea Unu,2,FDGR,18580
12,1992-09-27,parliament,RO1,Macroregiunea Unu,2,L.N.E.R.,2317
13,1992-09-27,parliament,RO1,Macroregiunea Unu,2,M.E.R.,59028
14,1992-09-27,parliament,RO1,Macroregiunea Unu,2,N.P.L.,17087
15,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.A.J.N.,1128
16,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.C.E.R.S.N.,5738
17,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.D.A.R.,51528
18,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.D.C.,5619
19,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.D.N.,1759
20,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.D.S.(N.D.)N-V.R.,2775
21,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.L.M.R.,5943
22,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.L.REP.,3146
23,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.L.S.,931
24,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.M.P.L.I.R.,651
25,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.N.P.L.R.,5960
26,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.N.R.,678
27,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.N.T.C.D.I.,1892
28,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.R.,45504
29,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.R.I.R.,4448
30,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.R.N.S.,432
31,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.R.U.R.,7173
32,1992-09-27,parliament,RO1,Macroregiunea Unu,2,"P.S.D.""C.T.P.""",1140
33,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.S.D.I.,355
34,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.S.D.T.,2914
35,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.T.R.,590
36,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.TR.REP.,48
37,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.U.N.R.,546899
38,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.U.S-D.,10506
39,1992-09-27,parliament,RO1,Macroregiunea Unu,2,P.V.P.,1294
40,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PDSR-PUR-PSDR,11923
41,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PNL,60911
42,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PNTCD,11412
43,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PRM,70176
44,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PRO,12766
45,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PSM,28587
46,1992-09-27,parliament,RO1,Macroregiunea Unu,2,PUR,3572
47,1992-09-27,parliament,RO1,Macroregiunea Unu,2,S.N-D.,17883
48,1992-09-27,parliament,RO1,Macroregiunea Unu,2,U.A.R.,887
