,election_date,election_type,nuts_1_code,nuts_1_name,type,name,votes
0,1993-06-06,parliament,ES1,Noroeste,0,eligible_voters,3633763.0
1,1993-06-06,parliament,ES1,Noroeste,1,issued_ballots,2623118.0
2,1993-06-06,parliament,ES1,Noroeste,2,aa,787.0
3,1993-06-06,parliament,ES1,Noroeste,2,abe,0.0
4,1993-06-06,parliament,ES1,Noroeste,2,aci,0.0
5,1993-06-06,parliament,ES1,Noroeste,2,ag,3286.0
6,1993-06-06,parliament,ES1,Noroeste,2,aigranc,0.0
7,1993-06-06,parliament,ES1,Noroeste,2,app,0.0
8,1993-06-06,parliament,ES1,Noroeste,2,arcoiris,0.0
9,1993-06-06,parliament,ES1,Noroeste,2,arde,152.0
10,1993-06-06,parliament,ES1,Noroeste,2,armade,5390.0
11,1993-06-06,parliament,ES1,Noroeste,2,atf,0.0
12,1993-06-06,parliament,ES1,Noroeste,2,bng,126965.0
13,1993-06-06,parliament,ES1,Noroeste,2,cc,0.0
14,1993-06-06,parliament,ES1,Noroeste,2,ccl,0.0
15,1993-06-06,parliament,ES1,Noroeste,2,cds,54711.0
16,1993-06-06,parliament,ES1,Noroeste,2,cha,0.0
17,1993-06-06,parliament,ES1,Noroeste,2,ciu,0.0
18,1993-06-06,parliament,ES1,Noroeste,2,cng,4663.0
19,1993-06-06,parliament,ES1,Noroeste,2,conceyu,528.0
20,1993-06-06,parliament,ES1,Noroeste,2,e_u,0.0
21,1993-06-06,parliament,ES1,Noroeste,2,eaeue,0.0
22,1993-06-06,parliament,ES1,Noroeste,2,eajpnv,0.0
23,1993-06-06,parliament,ES1,Noroeste,2,env,0.0
24,1993-06-06,parliament,ES1,Noroeste,2,erc,0.0
25,1993-06-06,parliament,ES1,Noroeste,2,fe_a,0.0
26,1993-06-06,parliament,ES1,Noroeste,2,fe_i,0.0
27,1993-06-06,parliament,ES1,Noroeste,2,fejons,355.0
28,1993-06-06,parliament,ES1,Noroeste,2,fpe,0.0
29,1993-06-06,parliament,ES1,Noroeste,2,freixes,0.0
30,1993-06-06,parliament,ES1,Noroeste,2,gil,0.0
31,1993-06-06,parliament,ES1,Noroeste,2,hb,0.0
32,1993-06-06,parliament,ES1,Noroeste,2,if,0.0
33,1993-06-06,parliament,ES1,Noroeste,2,ince,0.0
34,1993-06-06,parliament,ES1,Noroeste,2,iu,205815.0
35,1993-06-06,parliament,ES1,Noroeste,2,le,6802.0
36,1993-06-06,parliament,ES1,Noroeste,2,lg,0.0
37,1993-06-06,parliament,ES1,Noroeste,2,mce,0.0
38,1993-06-06,parliament,ES1,Noroeste,2,mces,0.0
39,1993-06-06,parliament,ES1,Noroeste,2,nps,1263.0
40,1993-06-06,parliament,ES1,Noroeste,2,os,0.0
41,1993-06-06,parliament,ES1,Noroeste,2,p_riojano,0.0
42,1993-06-06,parliament,ES1,Noroeste,2,p_tagoror,0.0
43,1993-06-06,parliament,ES1,Noroeste,2,pa,0.0
44,1993-06-06,parliament,ES1,Noroeste,2,pancal,0.0
45,1993-06-06,parliament,ES1,Noroeste,2,pap,0.0
