nuts2_code,nuts2_name
FR10,Île-de-France
FRB0,Centre-Val de Loire
FRC1,Bourgogne
FRC2,Franche-Comté
FRD1,Lower Normandy
FRD2,Upper Normandy
FRE1,Nord-Pas-de-Calais
FRE2,Picardy
FRF1,Alsace
FRF2,Champagne-Ardenne
FRF3,Lorraine
FRG0,Pays de la Loire
FRH0,Brittany
FRI1,Aquitaine
FRI2,Limousin
FRI3,Poitou-Charentes
FRJ1,Languedoc-Roussillon
FRJ2,Midi-Pyrénées
FRK1,Auvergne
FRK2,Rhône-Alpes
FRL0,Provence-Alpes-Côte d’Azur
FRM0,Corsica
FRY1,Guadeloupe
FRY2,Martinique
FRY3,French Guiana
FRY4,La Réunion
FRY5,Mayotte
