,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,deutschland,appd,apd,bp,bueso,bfb,c2000,cm,dpd,dvu,graue,rep,familie,frauen,hp,prodm,mlpd,tierschutz,npd,naturgesetz,forum,oedp,pbc,ab2000,nichwahler,pass,psg
0,A_01001,65755,50560,25490,14538,0,3815,3182,912,0,0,0,0,0,99,0,0,0,694,206,193,0,67,0,562,0,0,46,0,0,58,0,0,0,0,0
1,A_01002,181661,144804,70313,40038,0,14674,9821,3440,0,0,0,0,0,207,0,0,0,1471,476,703,0,222,0,1227,0,0,213,0,0,129,0,0,0,0,0
2,A_01003,166635,130874,61813,41885,0,9593,8100,2349,0,0,0,0,0,137,0,0,0,1598,323,916,0,127,0,1129,0,0,375,0,0,182,0,0,0,0,0
3,A_01004,62826,48504,24888,15116,0,2327,2786,764,0,0,0,0,0,84,0,0,0,845,112,190,0,53,0,358,0,0,111,0,0,35,0,0,0,0,0
4,A_01051,106240,86075,37320,34015,0,3443,5955,902,0,0,0,0,0,91,0,0,0,1224,226,174,0,85,0,850,0,0,124,0,0,67,0,0,0,0,0
5,A_01053,136156,114782,49387,41780,0,6969,8736,1655,0,0,0,0,0,348,0,0,0,1742,392,776,0,77,0,940,0,0,369,0,0,80,0,0,0,0,0
6,A_01054,125446,101810,43672,38384,0,6073,8041,1152,0,0,0,0,0,140,0,0,0,847,303,165,0,159,0,944,0,0,181,0,0,94,0,0,0,0,0
7,A_01055,156827,129497,57238,48599,0,6446,9515,1500,0,0,0,0,0,250,0,0,0,1877,293,373,0,141,0,1149,0,0,186,0,0,111,0,0,0,0,0
8,A_01056,219335,185688,82539,65095,0,12138,15198,2709,0,0,0,0,0,402,0,0,0,2813,551,520,0,169,0,1224,0,0,264,0,0,149,0,0,0,0,0
9,A_01057,98946,84864,37831,30948,0,5286,6019,1170,0,0,0,0,0,326,0,0,0,850,178,369,0,80,0,641,0,0,99,0,0,62,0,0,0,0,0
10,A_01058,206958,173074,76020,62640,0,10717,13976,2187,0,0,0,0,0,562,0,0,0,1663,532,386,0,154,0,1621,0,0,250,0,0,156,0,0,0,0,0
11,A_01059,148231,122924,55255,45975,0,7046,8068,1357,0,0,0,0,0,136,0,0,0,1041,335,421,0,135,0,1254,0,0,110,0,0,123,0,0,0,0,0
12,A_01060,187643,155892,66903,57822,0,8872,13226,2334,0,0,0,0,0,296,0,0,0,1938,425,718,0,164,0,951,0,0,208,0,0,177,0,0,0,0,0
13,A_01061,104312,86301,38790,31224,0,4772,6477,1013,0,0,0,0,0,105,0,0,0,1214,177,192,0,63,0,761,0,0,158,0,0,69,0,0,0,0,0
14,A_01062,169021,144949,61448,52457,0,10116,12511,2026,0,0,0,0,0,433,0,0,0,2096,448,632,0,109,0,757,0,0,176,0,0,195,0,0,0,0,0
15,A_02000,1213821,984644,445276,291756,0,104658,62835,22603,0,1629,0,0,0,2920,937,0,0,20601,5423,5562,0,0,0,3328,0,3401,1052,1380,0,0,0,0,0,0,0
16,A_03101,192242,159441,79313,48033,0,12954,10638,2028,0,155,0,0,0,165,0,58,0,864,233,1649,0,0,0,1100,0,466,172,154,0,80,163,0,0,0,23
17,A_03102,84138,69185,39748,20947,0,2080,2725,622,0,71,0,0,0,46,0,25,0,487,85,831,0,0,0,418,0,165,78,36,0,12,58,0,0,0,8
18,A_03103,91842,76461,38784,26643,0,3272,3792,541,0,68,0,0,0,162,0,23,0,622,159,567,0,0,0,451,0,186,306,30,0,12,83,0,0,0,12
19,A_03151,123558,105095,50232,38365,0,4655,6362,723,0,98,0,0,0,150,0,28,0,867,146,859,0,0,0,674,0,255,174,39,0,37,452,0,0,0,15
20,A_03152,200220,168799,79269,51802,0,17678,11033,2891,0,229,0,0,0,171,0,55,0,798,406,1087,0,0,0,1150,0,429,236,86,0,65,144,0,0,0,16
21,A_03153,123789,103198,52244,34687,0,4287,6433,1182,0,104,0,0,0,55,0,18,0,784,128,771,0,0,0,883,0,294,162,43,0,21,189,0,0,0,25
22,A_03154,78842,66031,34206,22065,0,2700,3516,626,0,78,0,0,0,56,0,20,0,415,80,445,0,0,0,665,0,202,337,35,0,9,63,0,0,0,7
23,A_03155,119476,102430,55534,30996,0,4465,6204,919,0,120,0,0,0,73,0,28,0,388,115,1483,0,0,0,692,0,258,118,40,0,17,83,0,0,0,15
24,A_03156,69353,58008,31106,18252,0,2199,3049,644,0,75,0,0,0,43,0,16,0,420,82,701,0,0,0,522,0,175,91,18,0,9,44,0,0,0,11
25,A_03157,99298,85351,49458,23874,0,3628,4315,611,0,115,0,0,0,216,0,15,0,499,137,761,0,0,0,592,0,166,88,36,0,16,100,0,0,0,13
26,A_03158,96876,82649,43080,26973,0,4009,4414,673,0,89,0,0,0,87,0,17,0,422,96,742,0,0,0,539,0,206,83,39,0,18,83,0,0,0,5
27,A_03201,373241,310777,153411,86933,0,32613,20312,4532,0,500,0,0,0,264,0,98,0,2567,836,3046,0,0,0,1327,0,628,257,226,0,176,564,0,0,0,35
