,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,pds,rep,graue,tierschutz,npd,oedp,pbc,frauen,bp,familie,cm,bueso,hp,violetten,aufbruch,zentrum,kpd,prg,schill
0,A_01001,65740,49054,23396,14362,0,5556,3424,859,80,153,0,128,0,153,0,0,0,0,0,0,0,0,0,0,0,442
1,A_01002,176468,137758,61489,36596,0,20890,10948,3098,234,345,0,509,0,297,0,0,0,0,0,0,0,0,0,0,0,1819
2,A_01003,165375,126336,60039,39012,0,12375,8135,2033,249,259,0,458,0,289,0,0,0,0,0,0,0,0,0,0,0,1785
3,A_01004,61909,46253,22162,15312,0,3005,3271,585,84,110,0,183,0,181,0,0,0,0,0,0,0,0,0,0,0,772
4,A_01051,107594,83694,34465,33700,0,4461,7012,1072,123,242,0,218,0,119,0,0,0,0,0,0,0,0,0,0,0,1204
5,A_01053,141792,115977,46896,43600,0,10244,9169,1367,216,216,0,438,0,220,0,0,0,0,0,0,0,0,0,0,0,2368
6,A_01054,127562,102509,43393,39904,0,7238,8208,1079,93,290,0,232,0,205,0,0,0,0,0,0,0,0,0,0,0,813
7,A_01055,160770,129463,56418,49310,0,8953,9941,1204,155,239,0,366,0,376,0,0,0,0,0,0,0,0,0,0,0,1220
8,A_01056,223977,187495,77166,65925,0,18998,15419,2204,241,494,0,399,0,440,0,0,0,0,0,0,0,0,0,0,0,4414
9,A_01057,102080,85851,36512,31057,0,8177,6636,1040,112,180,0,219,0,165,0,0,0,0,0,0,0,0,0,0,0,944
10,A_01058,212644,174591,72712,64535,0,16066,14247,1996,194,389,0,417,0,411,0,0,0,0,0,0,0,0,0,0,0,1802
11,A_01059,151938,122802,51538,47638,0,9988,9264,1339,167,315,0,195,0,304,0,0,0,0,0,0,0,0,0,0,0,940
12,A_01060,195800,159163,63907,59093,0,13902,14356,1918,226,522,0,386,0,226,0,0,0,0,0,0,0,0,0,0,0,3223
13,A_01061,105162,85087,35172,31542,0,7081,7133,1061,106,188,0,260,0,191,0,0,0,0,0,0,0,0,0,0,0,1290
14,A_01062,173945,147193,58573,53514,0,15491,12254,1724,162,371,0,293,0,273,0,0,0,0,0,0,0,0,0,0,0,3258
15,A_02000,1221783,972418,404738,270318,0,156010,65574,20253,1201,0,0,1956,0,0,2189,0,0,0,890,0,0,0,0,0,0,40309
16,A_03101,188217,150095,74055,44360,0,14911,10248,2414,537,204,586,267,58,223,0,0,0,0,76,0,0,0,0,0,0,960
17,A_03102,81987,63588,35060,19808,0,2518,3247,564,275,80,288,202,14,138,0,0,0,0,7,0,0,0,0,0,0,743
18,A_03103,91445,72868,37813,24607,0,3955,3761,582,104,169,203,407,52,129,0,0,0,0,7,0,0,0,0,0,0,511
19,A_03151,128791,106068,50778,38491,0,6154,6695,802,282,128,305,332,30,511,0,0,0,0,26,0,0,0,0,0,0,688
20,A_03152,198017,161630,73092,51745,0,19005,10624,2861,206,323,563,754,92,174,0,0,0,0,26,0,0,0,0,0,0,789
21,A_03153,121336,96483,47648,33576,0,4751,6659,1099,299,151,370,324,17,150,0,0,0,0,12,0,0,0,0,0,0,531
22,A_03154,77913,62560,32388,21036,0,2897,3619,606,74,72,263,614,20,93,0,0,0,0,8,0,0,0,0,0,0,316
23,A_03155,117963,95635,50226,30520,0,5058,6251,880,361,127,322,298,25,84,0,0,0,0,14,0,0,0,0,0,0,645
24,A_03156,67891,54019,27873,17800,0,2614,3509,599,174,80,239,189,18,69,0,0,0,0,15,0,0,0,0,0,0,282
25,A_03157,102258,84212,46876,24863,0,4592,4774,693,280,123,304,182,20,201,0,0,0,0,18,0,0,0,0,0,0,692
26,A_03158,98869,82003,41501,26360,0,5536,5558,794,217,89,362,218,19,124,0,0,0,0,16,0,0,0,0,0,0,657
27,A_03241,833540,682682,343243,201638,0,63326,44882,8364,2424,1263,2127,1336,278,1321,0,0,0,0,298,0,0,0,0,0,0,6726
28,A_03251,164997,133340,63591,43045,0,9587,12197,1253,385,162,463,292,44,349,0,0,0,0,25,0,0,0,0,0,0,1076
29,A_03252,124300,100597,49923,33573,0,5565,6932,947,342,121,424,275,32,203,0,0,0,0,34,0,0,0,0,0,0,1366
30,A_03254,225028,186886,95444,61160,0,12184,10144,1606,526,338,658,387,66,394,0,0,0,0,35,0,0,0,0,0,0,2448
31,A_03255,63355,51798,26985,16685,0,2552,3419,460,109,60,205,260,12,110,0,0,0,0,12,0,0,0,0,0,0,426
32,A_03256,96587,75931,37227,26863,0,4033,4819,636,347,84,301,175,27,110,0,0,0,0,16,0,0,0,0,0,0,724
33,A_03257,127216,103903,53429,33759,0,6121,6297,932,398,141,407,284,31,356,0,0,0,0,26,0,0,0,0,0,0,964
34,A_03351,139133,111056,47168,43658,0,6755,8052,1009,1209,152,363,222,43,411,0,0,0,0,19,0,0,0,0,0,0,1158
35,A_03352,159871,128334,62744,42987,0,8473,8931,1081,251,181,592,345,45,129,0,0,0,0,49,0,0,0,0,0,0,1617
36,A_03353,181858,154381,62218,56126,0,14639,13411,1517,283,233,716,442,65,312,0,0,0,0,49,0,0,0,0,0,0,3418
37,A_03354,41362,32540,13489,11332,0,3736,2156,683,71,53,136,104,13,92,0,0,0,0,9,0,0,0,0,0,0,283
38,A_03355,130212,105652,47478,32645,0,12256,7958,1714,164,152,408,375,58,152,0,0,0,0,45,0,0,0,0,0,0,1465
39,A_03356,86554,71112,34796,20778,0,6731,5563,763,267,115,345,212,19,147,0,0,0,0,33,0,0,0,0,0,0,823
40,A_03357,123665,99786,43329,38326,0,6769,7514,892,252,111,370,264,22,286,0,0,0,0,62,0,0,0,0,0,0,899
41,A_03358,107880,86065,39272,31614,0,5097,5935,795,502,97,343,263,27,243,0,0,0,0,20,0,0,0,0,0,0,1162
42,A_03359,148160,119153,54424,41393,0,9219,8685,1231,162,198,404,523,37,154,0,0,0,0,24,0,0,0,0,0,0,1899
43,A_03360,77506,62792,29247,22168,0,4538,4175,685,158,103,219,163,22,120,0,0,0,0,13,0,0,0,0,0,0,549
