,teryt_code,eligible_voters,issued_ballots,spd,cdu,csu,gruene,fdp,linke,offensived,rep,npd,tierschutz,graue,pbc,frauen,familie,bueso,bp,zentrum,deutschland,agfg,appd,50plus,mlpd,partei,psg,prodm
0,A_01001,66970,49002,21000,13910,0,5028,4196,3066,0,0,427,0,0,0,0,574,0,0,0,0,0,0,0,34,0,0,0
1,A_01002,177028,136375,56849,37439,0,17561,11347,8321,0,0,1289,0,0,0,0,1499,0,0,0,0,0,0,0,144,0,0,0
2,A_01003,164988,120580,52058,36210,0,10907,9772,6702,0,0,1259,0,0,0,0,1329,0,0,0,0,0,0,0,139,0,0,0
3,A_01004,61191,44386,18532,14529,0,2856,4109,2234,0,0,674,0,0,0,0,691,0,0,0,0,0,0,0,45,0,0,0
4,A_01051,108262,83634,29352,34312,0,4207,8642,3704,0,0,929,0,0,0,0,1037,0,0,0,0,0,0,0,54,0,0,0
5,A_01053,145014,116714,42246,42448,0,9842,12377,5253,0,0,1620,0,0,0,0,1243,0,0,0,0,0,0,0,56,0,0,0
6,A_01054,130118,101735,36577,41596,0,6750,9932,3661,0,0,765,0,0,0,0,1039,0,0,0,0,0,0,0,67,0,0,0
7,A_01055,163224,129028,49326,48267,0,8435,13236,5296,0,0,1230,0,0,0,0,1459,0,0,0,0,0,0,0,60,0,0,0
8,A_01056,227185,185609,68570,67534,0,16610,18796,8043,0,0,1770,0,0,0,0,1906,0,0,0,0,0,0,0,93,0,0,0
9,A_01057,103573,85488,32384,31446,0,7040,8041,3476,0,0,777,0,0,0,0,991,0,0,0,0,0,0,0,63,0,0,0
10,A_01058,214561,173506,63929,65249,0,14047,17350,7100,0,0,1545,0,0,0,0,1993,0,0,0,0,0,0,0,109,0,0,0
11,A_01059,153997,122825,45099,47625,0,8569,12201,5054,0,0,932,0,0,0,0,1451,0,0,0,0,0,0,0,65,0,0,0
12,A_01060,200158,160362,57080,59274,0,12790,18446,7015,0,0,1562,0,0,0,0,2254,0,0,0,0,0,0,0,69,0,0,0
13,A_01061,105636,83437,30755,30911,0,5789,8500,3810,0,0,1006,0,0,0,0,1376,0,0,0,0,0,0,0,49,0,0,0
14,A_01062,176872,146432,51604,53760,0,14281,16375,6020,0,0,1276,0,0,0,0,1417,0,0,0,0,0,0,0,84,0,0,0
15,A_02000,1230717,954153,365546,272418,0,140751,84593,59463,0,0,9463,6864,0,0,0,0,0,0,0,0,0,1319,0,441,2506,0,0
16,A_03101,187823,147350,64679,42048,0,14421,12344,8096,0,0,1597,986,667,230,0,0,78,0,0,0,0,0,0,127,0,0,124
17,A_03102,80096,61486,30672,17793,0,2614,3728,3417,0,0,1110,371,213,325,0,0,20,0,0,0,0,0,0,43,0,0,50
18,A_03103,91590,70962,32362,22334,0,4326,5301,3146,0,0,1033,407,392,229,0,0,20,0,0,0,0,0,0,45,0,0,42
19,A_03151,131898,106546,45310,36687,0,6534,9247,4138,0,0,1399,623,354,664,0,0,54,0,0,0,0,0,0,40,0,0,67
20,A_03152,198146,158876,65292,47632,0,18122,14084,8077,0,0,1853,778,680,196,0,0,87,0,0,0,0,0,0,79,0,0,114
21,A_03153,119373,93652,41120,29758,0,4965,8541,5017,0,0,1359,557,324,163,0,0,47,0,0,0,0,0,0,20,0,0,84
22,A_03154,77634,61130,28017,19089,0,3140,4760,2772,0,0,1353,476,217,161,0,0,29,0,0,0,0,0,0,16,0,0,49
23,A_03155,116702,93185,43898,27590,0,5273,8479,4075,0,0,1317,553,292,161,0,0,42,0,0,0,0,0,0,30,0,0,106
24,A_03156,66805,52131,24399,15947,0,2575,4328,2529,0,0,896,345,167,82,0,0,28,0,0,0,0,0,0,15,0,0,56
25,A_03157,103478,84058,42216,24052,0,4806,6086,3704,0,0,1048,519,256,239,0,0,45,0,0,0,0,0,0,28,0,0,62
26,A_03158,98808,80987,35981,25937,0,5373,6510,3709,0,0,1118,547,303,149,0,0,38,0,0,0,0,0,0,28,0,0,76
27,A_03241,837554,671919,303897,192500,0,63767,58833,28353,0,0,8017,3644,2754,1432,0,0,346,0,0,0,0,0,0,338,0,0,479
28,A_03251,167096,132460,54930,42954,0,9976,14332,5839,0,0,1450,761,493,261,0,0,67,0,0,0,0,0,0,45,0,0,100
29,A_03252,123450,96783,44701,29121,0,6036,8474,4531,0,0,1422,633,296,179,0,0,49,0,0,0,0,0,0,34,0,0,89
30,A_03254,223707,182239,84440,58261,0,12684,12909,6781,0,0,2315,1041,553,383,0,0,74,0,0,0,0,0,0,48,0,0,156
31,A_03255,62146,49538,23103,13529,0,2980,5741,1967,0,0,678,313,107,156,0,0,14,0,0,0,0,0,0,8,0,0,36
32,A_03256,97084,74957,32963,26351,0,4204,5888,2673,0,0,1191,369,198,153,0,0,31,0,0,0,0,0,0,30,0,0,60
33,A_03257,127464,102157,48006,31649,0,6347,8420,3683,0,0,1510,548,297,333,0,0,52,0,0,0,0,0,0,26,0,0,92
34,A_03351,140550,110769,43109,41359,0,6484,10805,4330,0,0,1900,643,363,415,0,0,49,0,0,0,0,0,0,37,0,0,83
35,A_03352,160777,126233,55018,42085,0,7857,10580,5667,0,0,1652,854,569,151,0,0,70,0,0,0,0,0,0,38,0,0,104
36,A_03353,185646,154160,56250,55816,0,13324,17501,5771,0,0,1687,996,605,397,0,0,69,0,0,0,0,0,0,42,0,0,147
37,A_03354,41409,32053,11280,10545,0,3958,2573,2415,0,0,382,178,139,84,0,0,15,0,0,0,0,0,0,18,0,0,19
38,A_03355,133974,106902,42730,31720,0,12462,10076,5850,0,0,1444,620,428,171,0,0,45,0,0,0,0,0,0,38,0,0,108
39,A_03356,87767,70649,30715,19771,0,6671,6622,4008,0,0,959,471,341,167,0,0,48,0,0,0,0,0,0,27,0,0,63
40,A_03357,125961,99827,37738,38046,0,6974,9711,3751,0,0,1360,570,265,245,0,0,62,0,0,0,0,0,0,25,0,0,85
41,A_03358,109427,86109,35724,30019,0,5329,7949,3292,0,0,1390,593,245,349,0,0,46,0,0,0,0,0,0,28,0,0,73
42,A_03359,150790,119498,49137,41435,0,8628,10985,4667,0,0,1767,703,496,128,0,0,44,0,0,0,0,0,0,40,0,0,100
43,A_03360,77403,61454,25944,20573,0,4537,5390,2756,0,0,714,357,216,145,0,0,28,0,0,0,0,0,0,15,0,0,53
44,A_03361,102642,81875,35194,25307,0,7061,7221,3596,0,0,1428,504,267,369,0,0,34,0,0,0,0,0,0,25,0,0,73
45,A_03401,57570,43098,19879,11558,0,2896,4008,2693,0,0,690,307,276,69,0,0,18,0,0,0,0,0,0,19,0,0,51
46,A_03402,38809,29082,17276,5633,0,2079,1741,1310,0,0,275,159,68,72,0,0,14,0,0,0,0,0,0,31,0,0,34
47,A_03403,120878,95482,41791,23655,0,13241,7867,5996,0,0,770,521,307,117,0,0,39,0,0,0,0,0,0,63,0,0,86
48,A_03404,118413,92459,36789,29625,0,10736,8941,3809,0,0,592,380,283,165,0,0,22,0,0,0,0,0,0,47,0,0,52
49,A_03405,66113,49769,22779,14341,0,2721,3975,2867,0,0,875,390,565,62,0,0,27,0,0,0,0,0,0,120,0,0,54
50,A_03451,89190,70724,30525,22855,0,4944,7441,2587,0,0,822,394,180,69,0,0,23,0,0,0,0,0,0,18,0,0,54
51,A_03452,148222,115417,62172,29735,0,6789,7059,5047,0,0,1331,656,337,198,0,0,48,0,0,0,0,0,0,49,0,0,113
52,A_03453,112427,85604,22176,47927,0,2556,8040,2061,0,0,674,346,164,435,0,0,30,0,0,0,0,0,0,24,0,0,56
53,A_03454,229663,183973,53974,96971,0,6997,15958,4962,0,0,1404,785,337,211,0,0,63,0,0,0,0,0,0,34,0,0,107
54,A_03455,79850,63111,29408,18194,0,3988,5962,2724,0,0,806,456,308,66,0,0,49,0,0,0,0,0,0,32,0,0,63
55,A_03456,95156,76494,30168,31875,0,3810,6229,2388,0,0,540,331,146,121,0,0,22,0,0,0,0,0,0,11,0,0,58
56,A_03457,125465,96975,48433,28810,0,4647,6489,4684,0,0,1208,538,212,577,0,0,32,0,0,0,0,0,0,18,0,0,71
57,A_03458,95568,77141,31562,23460,0,6379,9670,3373,0,0,854,518,311,97,0,0,32,0,0,0,0,0,0,42,0,0,71
58,A_03459,267999,216153,81352,86906,0,14141,20445,6845,0,0,1946,916,467,587,0,0,78,0,0,0,0,0,0,35,0,0,132
59,A_03460,93918,74703,17908,42586,0,2671,8031,1541,0,0,545,267,140,72,0,0,20,0,0,0,0,0,0,11,0,0,48
60,A_03461,71598,55081,28211,14543,0,3130,4158,2332,0,0,598,274,208,40,0,0,24,0,0,0,0,0,0,13,0,0,44
61,A_03462,45002,33691,14946,11365,0,1700,2909,1371,0,0,465,206,104,32,0,0,16,0,0,0,0,0,0,11,0,0,25
62,A_04011,400550,305260,126628,67947,0,45792,24729,25959,0,0,4121,0,3088,889,1168,0,0,0,0,0,0,0,0,246,0,0,519
63,A_04012,85925,62022,28738,14442,0,5808,4600,4611,0,0,1220,0,759,194,284,0,0,0,0,0,0,0,0,37,0,0,142
64,A_05111,409052,316771,112895,106348,0,30119,39183,16749,0,1198,1692,1383,2167,257,0,849,133,0,99,256,0,0,0,175,0,97,0
65,A_05112,351834,262167,134741,59116,0,18828,15863,19448,0,1295,3020,1570,1207,168,0,1398,100,0,89,256,0,0,0,399,0,89,0
