,teryt_code,eligible_voters,issued_ballots,spd,cdu,fdp,linke,gruene,csu,npd,rep,familie,tierschutz,pbc,mlpd,bueso,bp,psg,volksabstimmung,zentrum,adm,cm,dkp,dvu,violetten,fwd,oedp,piraten,rrp,renter
0,A_01001,69075,46583,12739,11238,6530,5267,7323,0,373,0,0,0,0,16,0,0,0,0,0,0,0,0,44,0,0,0,1364,0,537
1,A_01002,182726,131024,38656,31517,16691,12714,22659,0,1195,0,0,0,0,76,0,0,0,0,0,0,0,0,133,0,0,0,4001,0,1319
2,A_01003,165928,113336,33620,29357,15434,11123,15370,0,1305,0,0,0,0,88,0,0,0,0,0,0,0,0,135,0,0,0,2812,0,1119
3,A_01004,61004,39886,12074,11688,5820,3260,4276,0,586,0,0,0,0,20,0,0,0,0,0,0,0,0,41,0,0,0,784,0,346
4,A_01051,108459,77125,18215,27353,14090,5962,6306,0,856,0,0,0,0,37,0,0,0,0,0,0,0,0,107,0,0,0,1377,0,718
5,A_01053,147554,111590,28484,35630,18451,8968,13224,0,1466,0,0,0,0,32,0,0,0,0,0,0,0,0,138,0,0,0,2001,0,897
6,A_01054,131982,95419,22981,33881,15374,5830,11737,0,735,0,0,0,0,36,0,0,0,0,0,0,0,0,133,0,0,0,1567,0,965
7,A_01055,164965,120438,33389,38499,20770,8417,12307,0,1080,0,0,0,0,36,0,0,0,0,0,0,0,0,123,0,0,0,1861,0,1066
8,A_01056,232899,176188,45540,57203,28640,13412,20978,0,1743,0,0,0,0,56,0,0,0,0,0,0,0,0,193,0,0,0,3659,0,1571
9,A_01057,104617,81243,21886,25926,12772,5164,10774,0,671,0,0,0,0,21,0,0,0,0,0,0,0,0,81,0,0,0,1391,0,695
10,A_01058,216531,164477,42966,54669,25907,10537,20751,0,1300,0,0,0,0,59,0,0,0,0,0,0,0,0,142,0,0,0,3251,0,1669
11,A_01059,156141,116746,29054,39830,17657,8214,14644,0,867,0,0,0,0,31,0,0,0,0,0,0,0,0,115,0,0,0,2021,0,1284
12,A_01060,205240,152508,37118,50128,26809,12074,17009,0,1519,0,0,0,0,50,0,0,0,0,0,0,0,0,199,0,0,0,3094,0,1631
13,A_01061,105865,77018,19560,25320,12605,5931,8267,0,897,0,0,0,0,22,0,0,0,0,0,0,0,0,78,0,0,0,1523,0,1099
14,A_01062,181734,140803,34457,46218,24217,10330,18157,0,1255,0,0,0,0,36,0,0,0,0,0,0,0,0,145,0,0,0,2571,0,1090
15,A_02000,1256634,896053,242942,246667,117143,99096,138454,0,7679,0,0,0,0,445,0,0,0,0,0,0,0,0,1184,0,0,2988,23168,0,6572
16,A_03101,189975,139948,39774,40135,15845,13763,19831,0,1324,0,0,1114,0,77,0,0,0,0,0,0,0,0,134,0,0,184,4962,1270,0
17,A_03102,77479,54544,19499,15871,4786,6587,3756,0,1054,0,0,427,0,11,0,0,0,0,0,0,0,0,62,0,0,37,919,689,0
18,A_03103,91838,64834,20253,22407,6224,5435,5787,0,998,0,0,421,0,30,0,0,0,0,0,0,0,0,45,0,0,52,1490,802,0
19,A_03151,133727,98368,29176,35612,11120,7474,8648,0,1179,0,0,743,0,32,0,0,0,0,0,0,0,0,73,0,0,110,2147,864,0
20,A_03152,197105,147127,42762,41408,19251,12806,22343,0,1568,0,0,1008,0,51,0,0,0,0,0,0,0,0,99,0,0,179,3461,571,0
21,A_03153,115674,83347,26153,25757,10850,8757,6526,0,1151,0,0,708,0,13,0,0,0,0,0,0,0,0,71,0,0,67,1538,622,0
22,A_03154,76178,55719,17408,17689,6382,4756,4873,0,1379,0,0,624,0,9,0,0,0,0,0,0,0,0,53,0,0,51,1125,651,0
23,A_03155,114154,84302,28914,24265,11407,7538,7099,0,1350,0,0,641,0,18,0,0,0,0,0,0,0,0,79,0,0,83,1430,352,0
24,A_03156,64863,46364,15587,13543,6484,4097,3670,0,917,0,0,385,0,14,0,0,0,0,0,0,0,0,39,0,0,38,659,290,0
25,A_03157,103045,77357,27846,22696,8263,6958,6710,0,932,0,0,685,0,16,0,0,0,0,0,0,0,0,85,0,0,80,1502,771,0
26,A_03158,97965,75774,24144,23437,8524,6424,8022,0,1053,0,0,676,0,14,0,0,0,0,0,0,0,0,94,0,0,75,1494,876,0
27,A_03241,842375,631027,194708,183683,79274,53406,79653,0,7914,0,0,5062,0,324,0,0,0,0,0,0,0,0,600,0,0,960,14135,4766,0
28,A_03251,168221,124020,33831,41126,19577,10385,12508,0,1227,0,0,932,0,24,0,0,0,0,0,0,0,0,174,0,0,126,2159,832,0
29,A_03252,121842,88150,27819,26806,11217,8231,8487,0,1265,0,0,804,0,27,0,0,0,0,0,0,0,0,98,0,0,85,1690,586,0
30,A_03254,222804,167520,54487,52747,18752,13429,17360,0,2452,0,0,1405,0,52,0,0,0,0,0,0,0,0,152,0,0,171,3191,1520,0
31,A_03255,60318,43891,15081,11397,7263,3663,3854,0,538,0,0,393,0,24,0,0,0,0,0,0,0,0,36,0,0,34,686,195,0
32,A_03256,96647,67324,20519,23496,8404,4875,6172,0,983,0,0,463,0,14,0,0,0,0,0,0,0,0,55,0,0,57,1075,491,0
33,A_03257,126919,93892,31402,28693,11784,7288,9134,0,1090,0,0,743,0,31,0,0,0,0,0,0,0,0,111,0,0,143,1655,966,0
34,A_03351,140679,101153,27058,37043,15063,7143,8426,0,1619,0,0,717,0,29,0,0,0,0,0,0,0,0,119,0,0,111,1903,869,0
35,A_03352,159889,115418,34524,39053,14453,10552,10392,0,1293,0,0,937,0,20,0,0,0,0,0,0,0,0,211,0,0,152,1644,830,0
36,A_03353,191159,148918,36139,50104,24967,10825,18002,0,1636,0,0,1132,0,33,0,0,0,0,0,0,0,0,177,0,0,238,2963,1150,0
