,teryt_code,eligible_voters,issued_ballots,cdu,spd,fdp,linke,gruene,csu,piraten,npd,tierschutz,rep,oedp,familie,21rrp,renter,bp,pbc,bueso,violetten,mlpd,volksabstimmung,psg,afd,big,prodeutschland,rechte,frauen,freiewahler,nichwahler,vernunft,partei
0,A_01001,70321,46827,14136,16480,2061,3780,5507,0,1172,315,486,0,0,0,0,254,0,0,0,0,19,0,0,1855,0,0,0,0,200,0,0,0
1,A_01002,187464,132054,38037,46070,6688,9478,18814,0,3719,754,1120,0,0,0,0,733,0,0,0,0,68,0,0,4778,0,0,0,0,427,0,0,0
2,A_01003,167287,113351,37701,38703,5244,7396,12561,0,2772,884,797,0,0,0,0,392,0,0,0,0,92,0,0,4792,0,0,0,0,695,0,0,0
3,A_01004,61095,39957,14170,14092,1925,2157,2959,0,772,630,336,0,0,0,0,184,0,0,0,0,20,0,0,1965,0,0,0,0,178,0,0,0
4,A_01051,107468,74624,32039,22264,4775,3567,4649,0,1432,549,525,0,0,0,0,334,0,0,0,0,32,0,0,3041,0,0,0,0,442,0,0,0
5,A_01053,149486,111545,44406,33059,6427,5788,9963,0,1928,958,921,0,0,0,0,363,0,0,0,0,22,0,0,6098,0,0,0,0,549,0,0,0
6,A_01054,131157,93315,39745,27230,5949,3918,8155,0,1686,467,699,0,0,0,0,395,0,0,0,0,29,0,0,3490,0,0,0,0,546,0,0,0
7,A_01055,164625,120139,48856,37612,7433,5102,9332,0,1878,668,835,0,0,0,0,452,0,0,0,0,22,0,0,5948,0,0,0,0,644,0,0,0
8,A_01056,235610,179055,72006,55371,9863,8910,15291,0,3370,1319,1271,0,0,0,0,665,0,0,0,0,42,0,0,8479,0,0,0,0,786,0,0,0
9,A_01057,104178,80265,31491,25097,4425,3532,8103,0,1263,464,599,0,0,0,0,322,0,0,0,0,24,0,0,3582,0,0,0,0,491,0,0,0
10,A_01058,216682,163981,66205,50850,9146,6992,15287,0,2847,902,1371,0,0,0,0,752,0,0,0,0,35,0,0,7101,0,0,0,0,762,0,0,0
11,A_01059,156623,115922,47211,35916,6004,5304,10227,0,2011,614,973,0,0,0,0,536,0,0,0,0,25,0,0,4708,0,0,0,0,842,0,0,0
12,A_01060,208464,154526,63784,45548,8870,7544,12480,0,3176,1193,1321,0,0,0,0,644,0,0,0,0,41,0,0,7513,0,0,0,0,943,0,0,0
13,A_01061,105499,76304,30920,22999,4366,3972,6064,0,1695,639,588,0,0,0,0,295,0,0,0,0,17,0,0,3357,0,0,0,0,563,0,0,0
14,A_01062,185837,143885,58049,42434,8538,6737,13745,0,2496,873,1036,0,0,0,0,522,0,0,0,0,33,0,0,7639,0,0,0,0,679,0,0,0
15,A_02000,1281918,901213,285927,288902,42869,78296,112826,0,24505,5658,0,0,1963,0,0,3819,0,0,0,0,423,0,0,37142,0,0,0,0,2856,0,0,5643
16,A_03101,193799,143752,48419,47741,6214,9527,17614,0,4169,1038,1295,97,0,0,0,0,0,128,0,0,100,0,0,5092,0,127,0,0,724,0,0,0
17,A_03102,75402,51907,17002,21406,1519,3549,2987,0,678,785,395,122,0,0,0,0,0,85,0,0,13,0,0,2003,0,72,0,0,518,0,0,0
18,A_03103,92819,64675,26799,21748,2348,3263,4416,0,1232,708,495,24,0,0,0,0,0,153,0,0,22,0,0,2437,0,67,0,0,263,0,0,0
19,A_03151,134366,99309,43254,31642,3657,4460,7236,0,1841,937,777,54,0,0,0,0,0,527,0,0,28,0,0,3504,0,86,0,0,403,0,0,0
20,A_03152,195780,147262,51705,47816,5905,9372,18998,0,2904,1007,1021,76,0,0,0,0,0,132,0,0,58,0,0,5426,0,204,0,0,1319,0,0,0
21,A_03153,112517,79695,30108,29263,3307,4380,5070,0,1220,757,645,71,0,0,0,0,0,50,0,0,29,0,0,3249,0,103,0,0,358,0,0,0
22,A_03154,74709,53711,20975,19133,1910,2553,3553,0,959,966,539,17,0,0,0,0,0,57,0,0,12,0,0,1972,0,76,0,0,316,0,0,0
23,A_03155,110737,80439,29624,30983,3032,3586,5647,0,1014,845,537,47,0,0,0,0,0,89,0,0,12,0,0,3067,0,144,0,0,427,0,0,0
24,A_03156,62441,44589,16800,16984,1706,2348,2702,0,653,550,339,32,0,0,0,0,0,33,0,0,14,0,0,1557,0,69,0,0,317,0,0,0
25,A_03157,102787,77515,27611,31189,2529,3739,5654,0,1261,753,613,83,0,0,0,0,0,133,0,0,22,0,0,2765,0,140,0,0,332,0,0,0
26,A_03158,97192,74478,26780,26966,2778,3664,6577,0,1209,733,681,56,0,0,0,0,0,66,0,0,14,0,0,2982,0,85,0,0,413,0,0,0
27,A_03241,847629,630716,226524,216824,27979,35722,67797,0,10800,4530,4934,559,0,0,0,0,0,664,0,0,263,0,0,23399,0,842,0,0,2884,0,0,0
28,A_03251,168362,124298,53298,38823,6194,5590,10282,0,1888,990,1038,90,0,0,0,0,0,114,0,0,19,0,0,4176,0,149,0,0,598,0,0,0
29,A_03252,119218,85079,31971,29587,3334,4708,7236,0,1445,747,653,66,0,0,0,0,0,86,0,0,17,0,0,3607,0,96,0,0,284,0,0,0
30,A_03254,219571,164796,63041,59319,5589,8120,14587,0,2937,1482,1208,92,0,0,0,0,0,151,0,0,31,0,0,5601,0,384,0,0,455,0,0,0
31,A_03255,58096,42232,15315,15682,2312,1962,3441,0,571,416,310,28,0,0,0,0,0,90,0,0,12,0,0,1451,0,35,0,0,133,0,0,0
32,A_03256,95508,67803,29226,22607,2449,2813,5186,0,938,656,509,53,0,0,0,0,0,80,0,0,14,0,0,2413,0,73,0,0,233,0,0,0
33,A_03257,125175,92022,35159,34044,3279,3962,7458,0,1425,745,778,71,0,0,0,0,0,154,0,0,29,0,0,3765,0,106,0,0,278,0,0,0
34,A_03351,139513,101214,45684,29130,4430,4338,7050,0,1588,1072,750,115,0,0,0,0,0,128,0,0,15,0,0,5207,0,92,0,0,735,0,0,0
35,A_03352,158469,116132,49992,38767,4058,5521,8252,0,1692,1037,936,36,0,0,0,0,0,83,0,0,27,0,0,4080,0,116,0,0,513,0,0,0
36,A_03353,194856,152819,64905,42915,7382,6641,14078,0,2499,1193,1366,74,0,0,0,0,0,159,0,0,33,0,0,9069,0,141,0,0,1145,0,0,0
37,A_03354,39827,28789,10435,7778,1032,2537,4436,0,486,210,247,7,0,0,0,0,0,64,0,0,12,0,0,1112,0,42,0,0,94,0,0,0
38,A_03355,139242,104785,38321,30637,4249,6665,14456,0,2514,935,834,40,0,0,0,0,0,113,0,0,18,0,0,4740,0,94,0,0,308,0,0,0
39,A_03356,89204,66800,25256,22453,2325,4004,6247,0,1225,634,603,51,0,0,0,0,0,53,0,0,38,0,0,2547,0,74,0,0,176,0,0,0
40,A_03357,128090,94934,43782,27984,4004,3806,7623,0,1346,857,680,52,0,0,0,0,0,116,0,0,14,0,0,3366,0,87,0,0,544,0,0,0
41,A_03358,108738,79200,34183,25215,3031,3587,6138,0,1060,893,685,43,0,0,0,0,0,108,0,0,13,0,0,3083,0,96,0,0,453,0,0,0
42,A_03359,155168,114839,49377,36184,4784,4920,9120,0,1723,1060,780,34,0,0,0,0,0,87,0,0,27,0,0,5341,0,92,0,0,492,0,0,0
43,A_03360,75772,55844,22884,17801,2048,2747,5021,0,1085,439,423,34,0,0,0,0,0,55,0,0,12,0,0,2515,0,52,0,0,247,0,0,0
44,A_03361,104439,78123,31987,24960,2910,4004,7461,0,1430,687,647,39,0,0,0,0,0,137,0,0,20,0,0,2940,0,91,0,0,216,0,0,0
45,A_03401,57824,38964,14306,14003,1347,2547,2643,0,777,557,393,38,0,0,0,0,0,23,0,0,11,0,0,1593,0,63,0,0,253,0,0,0
46,A_03402,38946,26171,6721,12570,811,1564,2369,0,461,221,190,19,0,0,0,0,0,47,0,0,12,0,0,781,0,22,0,0,81,0,0,0
47,A_03403,125662,93245,28575,30966,4034,7418,13858,0,1898,607,747,24,0,0,0,0,0,78,0,0,48,0,0,3587,0,59,0,0,586,0,0,0
48,A_03404,120206,85953,32973,26245,3854,5047,10961,0,1848,379,539,27,0,0,0,0,0,136,0,0,28,0,0,2331,0,56,0,0,296,0,0,0
49,A_03405,64203,43699,15782,15629,1546,2818,3113,0,752,467,403,33,0,0,0,0,0,21,0,0,42,0,0,1972,0,60,0,0,449,0,0,0
50,A_03451,94747,70298,28492,21890,4176,3105,6312,0,955,443,561,30,0,0,0,0,0,54,0,0,14,0,0,3246,0,41,0,0,337,0,0,0
51,A_03452,152041,108085,36305,45510,3512,5024,8659,0,1439,1038,875,91,0,0,0,0,0,113,0,0,23,0,0,3355,0,87,0,0,632,0,0,0
52,A_03453,117226,81454,50810,16596,3516,2400,3082,0,899,491,358,25,0,0,0,0,0,187,0,0,9,0,0,1972,0,59,0,0,329,0,0,0
