,teryt_code,eligible_voters,issued_ballots,cdu,spd,linke,gruene,csu,fdp,afd,piraten,npd,freiewahler,tierschutz,oedp,partei,bp,volksabstimmung,pdv,mlpd,bueso,sgp,rechte,addemokraten,tierschutzallianz,bstern,bge,dib,dkp,dm,grauen,du,mg,menschliche,humanisten,gesundheitsforschung,vpartei3
0,A_01001,70105,49694,13382,12142,5699,7416,0,5073,3702,0,108,250,0,100,957,0,0,0,20,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0
1,A_01002,186988,138481,35525,33093,14699,23995,0,15697,9524,0,237,488,0,322,3046,0,0,0,143,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0
2,A_01003,166673,118981,34108,30109,11431,15223,0,12666,10461,0,320,981,0,238,1737,0,0,0,158,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0
3,A_01004,60378,40325,12407,10252,2831,4179,0,4830,4124,0,254,247,0,60,453,0,0,0,31,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0
4,A_01051,107148,78004,28400,18087,4764,6222,0,11263,6626,0,233,573,0,76,768,0,0,0,39,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0
5,A_01053,151988,117615,39942,26812,7733,12222,0,14922,11929,0,358,884,0,285,1311,0,0,0,41,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0
6,A_01054,131595,99133,38063,21878,6177,11904,0,12384,5710,0,202,580,0,137,979,0,0,0,44,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0
7,A_01055,165689,125799,44414,30908,7520,12120,0,16608,10553,0,271,798,0,156,1074,0,0,0,35,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0
8,A_01056,238533,187715,63863,42729,13111,21336,0,24735,15977,0,446,954,0,428,2200,0,0,0,52,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0
9,A_01057,104905,84179,28555,19342,5277,11387,0,10712,6418,0,201,445,0,115,821,0,0,0,30,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0
10,A_01058,218493,172146,61796,38881,10809,21485,0,21178,12558,0,320,1083,0,260,1922,0,0,0,59,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0
11,A_01059,158366,122220,44938,28246,8303,14888,0,13882,7951,0,241,945,0,197,1143,0,0,0,39,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0
12,A_01060,211659,163157,57040,36025,10982,17007,0,21924,14571,0,444,1375,0,308,1788,0,0,0,70,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0
13,A_01061,105066,79237,28317,18064,5467,8346,0,9693,6466,0,288,609,0,122,891,0,0,0,32,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0
14,A_01062,188426,152508,52385,32937,9875,17741,0,21277,13792,0,287,883,0,312,1642,0,0,0,30,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0
15,A_02000,1296656,984926,266312,229862,119076,136371,0,105610,76511,0,1799,3458,8813,2778,15388,0,0,0,688,0,0,0,0,0,0,4573,4199,511,0,0,0,0,0,0,0,2169
16,A_03101,192041,147712,42534,38695,13673,17295,0,14684,12268,905,308,413,1423,223,2698,0,0,0,130,0,0,0,0,0,0,394,390,30,298,0,0,0,0,0,0,296
17,A_03102,73810,52929,13614,17567,4295,2525,0,3471,8599,255,282,190,529,40,524,0,0,0,33,0,0,0,0,0,0,75,64,19,178,0,0,0,0,0,0,53
18,A_03103,89886,66383,22448,18983,4752,4058,0,5433,7684,330,170,187,536,125,608,0,0,0,51,0,0,0,0,0,0,54,75,25,172,0,0,0,0,0,0,88
19,A_03151,135685,104823,37617,28356,6142,7353,0,9034,11877,401,281,371,996,93,830,0,0,0,48,0,0,0,0,0,0,96,110,6,205,0,0,0,0,0,0,180
20,A_03153,109372,80917,24948,25560,5625,4974,0,7300,8943,265,283,248,840,65,682,0,0,0,20,0,0,0,0,0,0,99,82,17,247,0,0,0,0,0,0,104
21,A_03154,73708,54912,18892,16930,3444,3135,0,4311,5387,200,405,197,586,52,487,0,0,0,25,0,0,0,0,0,0,73,47,10,79,0,0,0,0,0,0,79
22,A_03155,108355,81737,26385,27031,4630,5513,0,7177,7719,209,345,271,776,52,593,0,0,0,13,0,0,0,0,0,0,102,96,13,108,0,0,0,0,0,0,70
23,A_03157,103238,80046,24647,26916,4878,5612,0,6214,8203,324,230,281,780,51,758,0,0,0,55,0,0,0,0,0,0,123,94,12,187,0,0,0,0,0,0,106
24,A_03158,96897,77351,24161,23383,5435,6214,0,6992,7584,338,222,262,788,63,844,0,0,0,38,0,0,0,0,0,0,97,105,10,183,0,0,0,0,0,0,102
25,A_03159,255274,196220,59462,56668,16165,21271,0,17504,15776,869,541,1159,1697,174,1990,0,0,0,83,0,0,0,0,0,0,445,347,74,305,0,0,0,0,0,0,264
26,A_03241,846165,653981,194416,178553,53488,68996,0,65187,61225,3325,1344,2416,5636,665,7863,0,0,0,330,0,0,0,0,0,0,1354,1307,299,1916,0,0,0,0,0,0,1012
27,A_03251,169438,129956,48595,32722,8034,10570,0,13800,10867,419,313,580,1204,204,985,0,0,0,21,0,0,0,0,0,0,230,143,17,177,0,0,0,0,0,0,173
28,A_03252,116772,87102,28191,26159,6274,6538,0,7444,9114,374,225,247,822,72,560,0,0,0,25,0,0,0,0,0,0,106,84,16,101,0,0,0,0,0,0,119
29,A_03254,218349,169613,54871,52077,10932,14806,0,13876,15695,593,468,453,1693,150,1445,0,0,0,56,0,0,0,0,0,0,320,304,32,305,0,0,0,0,0,0,221
30,A_03255,56413,42094,12956,14191,2241,2778,0,4248,4012,145,137,120,370,25,264,0,0,0,7,0,0,0,0,0,0,68,32,8,49,0,0,0,0,0,0,51
