,teryt_code,eligible_voters,issued_ballots,cdu,spd,afd,fdp,linke,gruene,csu,freiewahler,partei,tierschutz,npd,piraten,oedp,vpartei3,dib,bp,tierschutzallianz,mlpd,gesundheitsforschung,menschliche,dkp,grauen,bueso,humanisten,gartenpartei,du,sgp,basis,bundnisc,burgerbewegung,dritteweg,bundnis21,liebe,lkr,pdf,lfk,ssw,todenhoefer,unabhangige,volt
0,A_01001,69302,51278,7152,12480,2756,4780,3153,12296,0,347,738,637,28,0,40,93,0,0,0,2,0,0,17,0,0,61,0,45,0,842,0,0,0,0,0,14,0,0,5025,125,0,187
1,A_01002,184655,140793,20333,36407,7023,14335,8978,40476,0,852,2068,1541,115,0,107,164,0,0,0,34,0,0,85,0,0,287,0,109,0,1755,0,0,0,0,0,46,0,0,4013,710,0,523
2,A_01003,164139,118804,20757,36136,7807,11963,5360,27112,0,1123,1219,1341,143,0,127,114,0,0,0,69,0,0,42,0,0,182,0,97,0,1366,0,0,0,0,0,63,0,0,1506,623,0,524
3,A_01004,59460,40376,8089,12872,3751,4762,1320,5841,0,352,377,462,130,0,27,35,0,0,0,8,0,0,12,0,0,50,0,20,0,450,0,0,0,0,0,50,0,0,1048,254,0,61
4,A_01051,107187,81464,20545,22529,7098,11464,2545,9686,0,835,739,1021,115,0,46,85,0,0,0,20,0,0,14,0,0,68,0,34,0,803,0,0,0,0,0,69,0,0,2613,137,0,150
5,A_01053,153609,121250,27610,35174,10057,16216,3978,19001,0,1675,1155,1539,182,0,122,88,0,0,0,24,0,0,50,0,0,96,0,69,0,1415,0,0,0,0,0,40,0,0,1197,466,0,221
6,A_01054,133281,103619,24671,26384,5381,12690,3106,17458,0,729,944,1092,96,0,92,90,0,0,0,18,0,0,24,0,0,93,0,43,0,1426,0,0,0,0,0,33,0,0,8159,152,0,137
7,A_01055,167155,130019,32646,38781,9066,16243,3645,20000,0,1441,984,1573,180,0,88,105,0,0,0,11,0,0,28,0,0,78,0,59,0,1575,0,0,0,0,0,28,0,0,2029,162,0,244
8,A_01056,238388,191512,42057,55693,13080,25663,6363,34291,0,1731,1805,2320,188,0,202,208,0,0,0,21,0,0,59,0,0,182,0,127,0,2389,0,0,0,0,0,108,0,0,2527,799,0,457
9,A_01057,105784,85907,20231,23893,5385,10131,2716,16144,0,824,846,892,95,0,62,56,0,0,0,15,0,0,22,0,0,57,0,39,0,1459,0,0,0,0,0,37,0,0,1967,154,0,161
10,A_01058,220053,177253,42104,47079,11195,21097,5615,32441,0,1276,1735,1863,165,0,131,134,0,0,0,38,0,0,26,0,0,148,0,74,0,2544,0,0,0,0,0,53,0,0,7777,281,0,286
11,A_01059,162234,128834,29269,33028,7561,14409,4322,21004,0,1368,1106,1353,110,0,92,101,0,0,0,10,0,0,23,0,0,96,0,73,0,2024,0,0,0,0,0,59,0,0,11390,193,0,216
12,A_01060,214326,169804,38390,47942,12855,23761,5327,26743,0,2092,1986,2317,225,0,152,185,0,0,0,23,0,0,46,0,0,144,0,106,0,2480,0,0,0,0,0,54,0,0,2937,480,0,354
13,A_01061,104591,80844,19168,22579,6398,10384,2856,12234,0,1045,799,1000,95,0,73,170,0,0,0,12,0,0,20,0,0,78,0,48,0,1065,0,0,0,0,0,33,0,0,1764,208,0,152
14,A_01062,188553,154388,35377,43078,10153,22141,4954,28036,0,1353,1369,1702,167,0,178,135,0,0,0,17,0,0,48,0,0,143,0,86,0,1814,0,0,0,0,0,28,0,0,1626,561,0,484
15,A_02000,1298792,1011044,155220,298342,50537,114602,67578,250532,0,5601,10147,12325,648,4377,2016,1219,0,0,0,348,0,0,532,0,0,1203,0,1341,0,13961,0,0,0,386,0,248,0,0,0,8952,0,5429
16,A_03101,187721,140807,25929,42377,8238,14046,6355,33401,0,844,1652,1567,101,785,180,280,0,0,0,52,0,0,33,0,0,189,0,81,0,1444,0,0,0,0,0,53,0,0,0,675,0,1012
17,A_03102,70766,47284,10133,17898,6308,3891,1619,4156,0,476,400,647,89,189,16,28,0,0,0,11,0,0,2,0,0,23,0,24,0,356,0,0,0,0,0,5,0,0,0,480,0,71
18,A_03103,86936,62048,14984,21099,5713,6453,1685,7818,0,475,536,712,58,242,125,46,0,0,0,17,0,0,15,0,0,56,0,45,0,716,0,0,0,0,0,22,0,0,0,271,0,245
19,A_03151,136111,103084,24790,34453,10695,10559,2443,13389,0,874,933,1314,95,391,160,63,0,0,0,16,0,0,17,0,0,67,0,65,0,1206,0,0,0,0,0,59,0,0,0,243,0,201
20,A_03153,105461,75624,17512,27833,6926,7204,2401,8892,0,733,624,1123,131,260,42,49,0,0,0,8,0,0,17,0,0,51,0,39,0,762,0,0,0,0,0,21,0,0,0,205,0,156
21,A_03154,72509,52642,12989,18663,4785,5023,1502,5938,0,473,485,821,119,220,64,31,0,0,0,6,0,0,16,0,0,57,0,49,0,632,0,0,0,0,0,13,0,0,0,82,0,87
22,A_03155,106551,79174,18413,30363,6305,7971,2269,9452,0,592,578,926,89,238,49,47,0,0,0,11,0,0,10,0,0,63,0,36,0,820,0,0,0,0,0,13,0,0,0,127,0,120
