,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,fdp,afd,csu,linke,freiewahler,tierschutz,basis,partei,todenhoefer,piraten,volt,oedp,ssw,verjuengungsforschung,pdh,bundnisc,bp,mlpd,menschliche,pdf,sgp,bueso,bundnisd,bsw,mera25,werteunion
0,A_01001,69358,55072,8584,9553,11284,1806,7573,0,7042,180,0,0,410,0,0,561,0,5833,0,0,0,0,19,0,0,0,0,84,1822,0,0
1,A_01002,183830,151581,29076,28257,34823,5773,16447,0,21728,525,0,0,1374,0,0,1790,0,5696,0,0,0,0,56,0,0,0,0,170,5060,0,0
2,A_01003,162925,129549,27615,28144,23610,4880,19687,0,14043,871,0,0,1045,0,0,1406,0,2372,0,0,0,0,86,0,0,0,0,165,4862,0,0
3,A_01004,58634,44693,8689,11235,4656,1837,9888,0,3574,326,0,0,344,0,0,332,0,1365,0,0,0,0,9,0,0,0,0,48,2047,0,0
4,A_01051,106195,87175,15364,26241,7925,4771,18264,0,5290,763,0,0,681,0,0,592,0,3566,0,0,0,0,37,0,0,0,0,116,3044,0,0
5,A_01053,153679,129260,23812,37058,17006,6516,24564,0,9152,1328,0,0,918,0,0,1147,0,1958,0,0,0,0,33,0,0,0,0,221,4888,0,0
6,A_01054,131573,109490,18818,31638,14614,5225,15841,0,6724,765,0,0,742,0,0,718,0,10344,0,0,0,0,32,0,0,0,0,123,3307,0,0
7,A_01055,165149,136917,27038,42489,17098,7027,23989,0,8058,1237,0,0,971,0,0,948,0,2873,0,0,0,0,40,0,0,0,0,199,4204,0,0
8,A_01056,236767,200304,40326,57531,28967,10087,31098,0,15091,1313,0,0,1360,0,0,2016,0,3976,0,0,0,0,47,0,0,0,0,385,7122,0,0
9,A_01057,105453,90897,17330,26977,14438,3903,14152,0,5666,762,0,0,595,0,0,712,0,2954,0,0,0,0,28,0,0,0,0,124,2734,0,0
10,A_01058,220327,188099,33430,54816,28551,8750,28935,0,11943,1042,0,0,1244,0,0,1111,0,11144,0,0,0,0,47,0,0,0,0,313,5854,0,0
11,A_01059,162773,137810,21974,38133,19311,5261,21699,0,8870,957,0,0,802,0,0,888,0,14742,0,0,0,0,34,0,0,0,0,244,4228,0,0
12,A_01060,214642,180619,33294,52654,23023,9343,32744,0,12403,1601,0,0,1482,0,0,1768,0,4096,0,0,0,0,47,0,0,0,0,389,6811,0,0
13,A_01061,104235,86768,15409,24894,10239,4136,16819,0,6082,940,0,0,726,0,0,783,0,2848,0,0,0,0,19,0,0,0,0,146,3287,0,0
14,A_01062,187271,161734,31787,48804,24378,8832,24465,0,10762,1065,0,0,1035,0,0,1724,0,2371,0,0,0,0,42,0,0,0,0,254,5507,0,0
15,A_02000,1299289,1050805,237740,216935,201713,47115,113608,0,151115,3866,9735,0,4518,0,0,15549,0,0,0,0,0,0,528,0,0,0,0,1279,41919,0,0
16,A_03101,186358,155402,34994,34958,27788,6151,20624,0,17978,799,1661,375,871,0,286,1729,0,0,0,145,0,0,87,0,0,0,0,158,5966,0,0
17,A_03102,68176,52163,12518,12279,2908,1523,13631,0,4433,313,637,143,213,0,80,206,0,0,0,29,0,0,10,0,0,0,0,73,2760,0,0
18,A_03103,84907,68161,15936,18278,6384,2656,13970,0,4829,280,778,171,298,0,136,501,0,0,0,42,0,0,36,0,0,0,0,88,3360,0,0
19,A_03151,134848,114259,25154,32208,10759,4406,25729,0,6927,772,1398,319,543,0,175,641,0,0,0,77,0,0,24,0,0,0,0,218,4338,0,0
20,A_03153,102042,82164,19227,22592,6676,3128,17376,0,6055,654,1188,211,417,0,141,583,0,0,0,53,0,0,8,0,0,0,0,114,3210,0,0
21,A_03154,70431,58040,13262,16457,4521,2072,12952,0,3766,353,910,214,280,0,119,351,0,0,0,42,0,0,14,0,0,0,0,65,2325,0,0
22,A_03155,103672,85612,22078,23568,7697,3356,16879,0,5519,637,972,185,365,0,133,373,0,0,0,52,0,0,18,0,0,0,0,133,3157,0,0
23,A_03157,103040,87590,22616,23031,7981,3099,17556,0,5954,748,1192,281,377,0,140,492,0,0,0,76,0,0,25,0,0,0,0,177,3410,0,0
24,A_03158,93628,79895,19349,22311,8995,3166,13830,0,6084,596,994,303,405,0,139,464,0,0,0,61,0,0,18,0,0,0,0,81,2661,0,0
25,A_03159,242802,201845,45328,52242,29350,7863,30392,0,21119,1337,2190,374,860,0,296,1316,0,0,0,142,0,0,87,0,0,0,0,219,7647,0,0
26,A_03241,826583,692812,159670,171171,105154,28887,102407,0,70941,3715,7621,1302,3011,0,1419,4680,0,0,0,540,0,0,263,0,0,0,0,840,27568,0,0
27,A_03251,169677,141609,32322,42854,14670,6586,24374,0,9683,1454,1548,347,618,0,213,705,0,0,0,81,0,0,25,0,0,0,0,191,5279,0,0
28,A_03252,112197,90885,21468,24760,9091,3392,18890,0,6227,656,1176,265,365,0,137,387,0,0,0,58,0,0,15,0,0,0,0,97,3403,0,0
29,A_03254,211156,176681,42610,47276,20303,6534,31742,0,14749,991,2245,399,810,0,259,898,0,0,0,100,0,0,33,0,0,0,0,233,6580,0,0
30,A_03255,53398,43519,11034,11342,3558,1900,9648,0,2681,298,504,115,143,0,66,186,0,0,0,24,0,0,10,0,0,0,0,45,1644,0,0
31,A_03256,93093,76463,17766,21422,6885,2823,16146,0,5013,1227,881,165,301,0,102,400,0,0,0,56,0,0,19,0,0,0,0,82,2780,0,0
32,A_03257,122270,101535,24834,27723,10553,3902,20076,0,6520,849,1363,220,539,0,167,428,0,0,0,87,0,0,15,0,0,0,0,128,3610,0,0
33,A_03351,138199,113395,22778,33941,11367,5093,23448,0,7747,992,1513,365,488,0,179,648,0,0,0,72,0,0,20,0,0,0,0,127,4009,0,0
34,A_03352,157491,130513,31680,38251,11811,4856,25286,0,7979,1036,1818,427,530,0,185,844,0,0,0,52,0,0,22,0,0,0,0,166,4903,0,0
35,A_03353,202671,175135,35733,53030,22501,8478,29323,0,12298,1599,1992,491,704,0,261,1461,0,0,0,105,0,0,31,0,0,0,0,204,6218,0,0
36,A_03354,38733,32108,6666,7678,4777,884,5380,0,3439,939,390,110,149,0,57,97,0,0,0,15,0,0,12,0,0,0,0,26,1324,0,0
37,A_03355,143946,122911,25723,29462,20870,4748,19679,0,12559,939,1376,456,653,0,201,880,0,0,0,73,0,0,23,0,0,0,0,120,4638,0,0
38,A_03356,90366,77055,17630,21638,9661,2998,13253,0,5669,391,1001,235,319,0,119,536,0,0,0,66,0,0,19,0,0,0,0,104,3081,0,0
39,A_03357,129401,108813,24045,34420,10681,4285,20047,0,7654,912,1104,278,510,0,150,631,0,0,0,65,0,0,15,0,0,0,0,139,3385,0,0
