code_start,year_start,name_start,code_latest,name_latest,proportion_population,proportion_area,name_chain
A_01001000,1990,KS Flensburg,A_01001000,"Flensburg, Stadt",1.0,1.0,"KS Flensburg -> Flensburg, Kreisfreie Stadt -> Flensburg, Stadt"
A_01002000,1990,KS Kiel,A_01002000,"Kiel, Landeshauptstadt",1.0,1.0,"KS Kiel -> Kiel, Kreisfreie Stad -> Kiel, Stadt -> Kiel, Landeshauptstadt"
A_01003000,1990,KS Lübeck,A_01003000,"Lübeck, Hansestadt",1.0,1.0,"KS Lübeck -> Lübeck, Kreisfreie Stadt -> Lübeck, Stadt -> Lübeck, Hansestadt"
A_01004000,1990,KS Neumünster,A_01004000,"Neumünster, Stadt",1.0,1.0,"KS Neumünster -> Neumünster, Kreisfreie Stadt -> Neumünster, Stadt"
A_01051000,1990,Dithmarschen,A_01051000,Dithmarschen,1.0,1.0,Dithmarschen
A_01053000,1990,Herzogtum Lauenburg,A_01053000,Herzogtum Lauenburg,1.0,1.0,Herzogtum Lauenburg
A_01054000,1990,Nordfriesland,A_01054000,Nordfriesland,1.0,1.0,Nordfriesland
A_01055000,1990,Ostholstein,A_01055000,Ostholstein,1.0,1.0,Ostholstein
A_01056000,1990,Pinneberg,A_01056000,Pinneberg,1.0,1.0,Pinneberg
A_01057000,1990,Plön,A_01057000,Plön,1.0,1.0,Plön
A_01058000,1990,Rendsburg-Eckernförde,A_01058000,Rendsburg-Eckernförde,1.0,1.0,Rendsburg-Eckernförde
A_01059000,1990,Schleswig-Flensburg,A_01059000,Schleswig-Flensburg,1.0,1.0,Schleswig-Flensburg
A_01060000,1990,Segeberg,A_01060000,Segeberg,1.0,1.0,Segeberg
A_01061000,1990,Steinburg,A_01061000,Steinburg,1.0,1.0,Steinburg
A_01062000,1990,Stormarn,A_01062000,Stormarn,1.0,1.0,Stormarn
A_02000000,1990,"KS Hamburg, Freie und Han",A_02000000,"Hamburg, Freie und Hansestadt",1.0,1.0,"KS Hamburg, Freie und Han -> KS Hamburg, Freie und Hansesta -> KS Hamburg, Freie und Hansest -> KS Hamburg, Freie und Ha -> KS Hamburg, Freie und Hansesta -> KS Hamburg, Freie und Hansest -> KS Hamburg -> Hamburg, Kreisfreie Stadt -> Hamburg, Stadt -> Hamburg, Freie und Hansestadt"
A_03101000,1990,KS Braunschweig,A_03101000,"Braunschweig, Stadt",1.0,1.0,"KS Braunschweig -> Braunschweig, Kreisfreie Stadt -> Braunschweig, Stadt"
A_03102000,1990,KS Salzgitter,A_03102000,"Salzgitter, Stadt",1.0,1.0,"KS Salzgitter -> Salzgitter, Kreisfreie Stadt -> Salzgitter, Stadt"
A_03103000,1990,KS Wolfsburg,A_03103000,"Wolfsburg, Stadt",1.0,1.0,"KS Wolfsburg -> Wolfsburg, Kreisfreie Stadt -> Wolfsburg, Stadt"
A_03151000,1990,Gifhorn,A_03151000,Gifhorn,1.0,1.0,Gifhorn
A_03152000,1990,Göttingen,A_03159000,Göttingen,1.0,1.0,Göttingen
A_03153000,1990,Goslar,A_03153000,Goslar,1.0,1.0,Goslar
A_03154000,1990,Helmstedt,A_03154000,Helmstedt,1.0,1.0,Helmstedt
A_03155000,1990,Northeim,A_03155000,Northeim,1.0,1.0,Northeim
