,teryt_code,eligible_voters,issued_ballots,spd,cdu,gruene,csu,rep,fdp,oedp,bp,cm,liga,solidariaet,bsa,apd,bfb,familie,dsu,graue,naturgesetz,autonome,npd,forum,pbc,pass,pds,pead,statt
0,A_01001,69149,31592,13008,10616,3999,0,560,1032,108,23,44,20,15,10,224,457,0,15,374,108,75,74,37,74,61,243,13,143
1,A_01002,191055,93879,34973,29314,16315,0,1821,3311,679,68,102,86,44,28,517,1581,0,57,712,244,148,129,175,132,176,1426,11,1056
2,A_01003,171742,80540,30966,29316,9870,0,2258,2388,281,64,125,68,34,13,412,844,0,57,638,229,76,222,113,133,112,647,18,846
3,A_01004,64402,27949,11292,10497,2512,0,626,866,59,27,54,31,8,8,149,297,0,13,193,76,26,55,38,132,26,197,6,412
4,A_01051,104652,52843,18886,23748,4234,0,1017,1768,131,33,59,28,26,10,331,506,0,43,374,139,74,110,49,56,74,179,12,244
5,A_01053,131109,70504,22990,28796,7934,0,2032,3000,242,70,120,34,24,20,481,1049,0,43,553,197,69,338,83,125,108,396,11,914
6,A_01054,122895,61105,21732,26353,6309,0,729,2461,168,43,90,35,32,18,362,610,0,35,448,188,68,140,64,107,93,233,9,171
7,A_01055,154296,82552,29528,35506,7245,0,1838,2758,289,63,130,43,31,23,516,962,0,71,496,254,108,171,81,201,88,380,18,535
8,A_01056,216310,116797,39008,45194,16091,0,2562,5200,316,153,182,64,50,26,751,1681,0,67,955,317,122,210,132,248,175,850,16,1045
9,A_01057,95811,53125,18801,21877,5827,0,974,1899,212,46,72,27,26,20,331,796,0,29,375,141,62,99,39,71,46,359,9,280
10,A_01058,199975,103147,35635,43557,11309,0,1693,4005,391,92,140,63,33,37,572,1346,0,69,700,307,122,169,93,251,125,575,22,576
11,A_01059,142665,74715,27186,32283,7253,0,1002,2413,226,52,90,42,36,32,418,903,0,58,556,255,88,124,51,143,95,323,8,279
12,A_01060,180242,91471,29115,38379,10968,0,1939,3984,317,82,161,49,46,32,638,1223,0,59,755,278,95,202,117,202,127,605,17,1084
13,A_01061,103372,53138,19284,22370,5424,0,1014,1683,141,41,92,34,36,18,297,475,0,40,318,145,65,144,31,146,79,211,16,245
14,A_01062,162833,90356,28102,36570,12550,0,1952,4111,536,89,120,43,27,34,541,1477,0,59,774,258,83,121,116,123,80,589,11,977
17,A_02000,1245025,644190,220503,204760,117417,0,19671,23419,1817,565,773,240,192,141,2682,9704,0,296,7867,1874,800,957,873,978,891,8919,103,11670
20,A_03101,203078,108591,41153,40437,13416,0,2451,4535,288,86,136,39,37,21,353,1184,0,49,693,227,138,153,123,256,133,1257,13,413
21,A_03102,86974,43397,19793,16271,2469,0,1340,1089,70,48,75,14,12,7,163,390,0,27,249,64,43,92,25,82,76,257,12,150
22,A_03103,97027,51144,20083,21551,3754,0,1362,1398,106,56,71,16,15,12,236,516,0,46,351,94,38,159,29,163,65,274,5,152
23,A_03151,115788,62939,22812,27266,5197,0,1900,2239,131,57,99,34,13,19,265,476,0,38,262,133,87,166,31,586,77,292,11,191
24,A_03152,203198,112279,41039,39550,18078,0,2079,4795,392,119,159,34,40,32,451,1030,0,41,477,201,314,205,160,221,100,1467,19,271
25,A_03153,128363,70303,28748,28674,4905,0,1905,2544,139,72,67,31,23,15,287,607,0,43,285,114,49,119,49,134,63,446,7,187
26,A_03154,80060,43547,18006,18170,2812,0,949,1162,90,33,68,13,8,8,213,408,0,24,189,71,21,257,25,101,46,216,10,102
27,A_03155,120645,68978,32396,24433,4599,0,1799,2614,140,63,86,27,25,17,260,500,0,41,262,89,62,103,38,145,83,326,14,186
28,A_03156,70760,37660,17125,14326,2150,0,1004,1187,92,42,48,10,18,8,185,278,0,12,173,44,21,90,19,51,58,193,4,85
29,A_03157,97011,54105,25636,19034,3963,0,1555,1398,107,42,51,20,18,7,248,379,0,21,274,76,54,84,29,99,55,226,10,148
30,A_03158,94573,54408,22793,21430,4196,0,1272,1978,94,48,47,23,22,10,215,529,0,41,210,106,68,108,44,88,76,279,4,188
31,A_03201,389135,208357,78307,70378,30008,0,6188,8536,693,167,287,68,108,37,730,2158,0,336,2097,505,358,397,283,478,349,3276,51,689
32,A_03251,155541,66740,26038,23260,7531,0,1598,3944,317,65,103,33,26,17,300,643,0,26,329,142,52,105,35,162,85,441,21,295
33,A_03252,126426,68196,28872,25145,5838,0,2174,2651,145,70,125,30,27,16,278,620,0,30,297,125,54,135,40,118,78,367,12,235
34,A_03253,449404,251054,100136,96978,22257,0,7708,10264,640,269,482,113,97,56,1119,2414,0,108,1811,484,245,294,150,432,212,1467,49,889
35,A_03254,224875,131683,55773,51137,10547,0,3515,3746,445,127,245,64,51,33,506,932,0,80,777,236,148,243,100,266,161,685,17,347
36,A_03255,65398,37455,18022,12872,2309,0,923,1441,72,33,53,23,11,10,160,298,0,19,141,67,24,88,13,49,51,157,7,108
37,A_03256,93674,40939,16905,15127,3695,0,1231,1612,88,36,74,17,21,6,214,377,0,25,206,66,44,86,25,53,54,185,9,163
38,A_03257,123777,67304,29774,24032,5335,0,2021,2309,169,53,144,31,31,18,281,659,0,41,354,133,86,140,47,285,105,345,14,218
39,A_03351,135026,70724,22953,31858,5316,0,2558,3274,224,76,139,55,32,19,287,1371,0,43,448,153,52,172,45,313,86,338,8,274
40,A_03352,153955,77495,30808,32030,6536,0,1864,2403,148,49,62,29,17,11,266,740,0,24,366,154,49,184,36,93,84,390,12,378
41,A_03353,163680,91461,28864,36834,11626,0,2796,4440,313,126,164,41,34,14,513,2098,0,53,593,238,81,131,62,212,98,629,12,715
42,A_03354,40617,20901,6086,8723,3464,0,751,640,40,18,33,14,9,8,73,251,0,17,98,43,35,80,12,68,38,161,1,71
43,A_03355,118316,60363,21317,22437,7822,0,1586,2622,190,66,88,32,19,11,246,1013,0,34,356,184,65,131,57,91,78,688,17,630
44,A_03356,81121,43069,17854,14180,5837,0,872,1863,102,35,67,10,11,6,170,323,0,18,271,141,50,90,32,140,54,368,4,177
45,A_03357,114669,58926,20825,26392,5919,0,1107,1933,107,35,104,39,39,16,272,459,0,36,189,113,72,100,30,113,55,293,9,175
46,A_03358,101536,51918,18342,21978,4693,0,1674,1956,355,41,76,24,26,14,259,641,0,30,248,88,41,122,27,214,86,245,9,166
47,A_03359,137937,70807,27411,27951,7255,0,1505,2887,186,58,89,33,12,10,289,610,0,41,363,149,55,182,49,92,77,493,15,385
48,A_03360,76642,41439,15264,17486,3696,0,1132,1465,97,47,73,25,19,12,181,457,0,25,191,81,49,178,28,81,53,173,8,172
