,teryt_code,eligible_voters,issued_ballots,cdu,spd,csu,gruene,pds,fdp,rep,tierschutz,graue,npd,frauen,oedp,pbc,cm,bp,bueso,zentrum,familie,deutschland,unabhaengige,aufbruch,dkp,dp,psg
0,A_01001,66793,19820,7486,5516,0,3246,507,1201,113,316,352,102,115,30,55,30,0,16,12,128,69,38,31,48,51,28
1,A_01002,176936,62414,21356,17032,0,13146,1918,3698,363,786,1312,365,200,120,175,53,0,42,31,312,160,123,58,108,109,49
2,A_01003,164951,54750,21763,16040,0,8453,1466,2961,330,562,670,310,181,90,117,69,0,37,26,295,185,87,48,54,98,38
3,A_01004,61258,17010,7354,5040,0,1726,338,956,100,240,200,144,74,36,128,23,0,14,15,100,71,37,7,25,39,11
4,A_01051,107791,37076,20040,8669,0,2433,544,2400,209,376,445,184,119,41,61,43,0,21,23,266,137,62,35,42,96,28
5,A_01053,143823,54727,25588,13336,0,6850,867,3617,395,632,635,470,170,73,110,81,0,41,36,353,202,59,43,51,111,40
6,A_01054,129007,45441,23358,10753,0,4506,552,2763,163,528,584,328,156,65,102,56,0,27,25,372,110,73,57,40,84,30
7,A_01055,162055,57791,28725,14990,0,5705,654,3638,268,604,637,269,110,66,171,72,0,26,43,332,153,87,65,34,94,36
8,A_01056,225624,85670,38283,20779,0,12433,1246,5939,398,930,1504,397,257,118,296,99,0,63,69,492,288,135,74,187,119,47
9,A_01057,102961,40744,18673,10323,0,5488,629,2326,195,502,789,261,120,51,95,40,0,27,30,232,102,70,31,40,64,27
10,A_01058,213766,82807,39734,20250,0,10328,1212,4751,317,962,1249,307,280,106,235,82,0,54,73,580,235,106,61,76,130,44
11,A_01059,153316,54955,28362,13113,0,5385,746,2987,259,687,754,177,218,87,124,58,0,32,40,441,137,112,71,46,91,40
12,A_01060,198646,76052,36596,17219,0,9277,1381,5273,365,849,1288,377,243,101,205,86,0,50,43,475,201,106,66,75,175,47
13,A_01061,105279,37544,18874,9079,0,3804,649,2115,188,402,410,235,126,42,112,50,0,23,23,238,120,43,33,45,110,29
14,A_01062,175106,69438,31195,16846,0,10368,1074,4775,298,817,1036,282,193,110,164,82,0,49,47,347,221,107,67,70,137,32
17,A_02000,1227905,428863,154690,106325,0,103454,11872,22991,1589,3237,5640,1831,1351,677,1027,255,0,315,172,1534,1217,613,395,900,684,260
20,A_03101,187660,78326,29003,23233,0,12517,2249,5146,859,966,857,471,297,130,201,88,0,48,51,463,283,119,68,136,151,55
21,A_03102,80901,29865,11664,10052,0,1868,638,1396,1845,383,399,167,128,29,103,50,0,15,40,175,136,29,26,26,93,17
22,A_03103,92024,33908,14758,10411,0,3166,708,1787,281,306,531,461,117,52,94,58,0,17,15,208,151,49,33,28,106,22
23,A_03151,130857,59441,28818,16648,0,5238,882,2796,510,593,544,416,211,71,470,67,0,31,61,443,188,104,54,42,140,46
24,A_03152,198129,81503,31158,21966,0,15684,1996,4593,412,650,802,855,212,149,165,137,0,42,57,484,294,153,81,170,157,60
25,A_03153,120251,44924,19609,13750,0,3959,948,2722,550,494,409,540,119,58,138,38,0,21,24,272,173,88,42,26,93,30
26,A_03154,77753,30180,13260,9694,0,2245,537,1579,208,393,262,692,101,31,78,40,0,18,26,201,118,46,34,23,72,15
27,A_03155,117172,48111,19123,17239,0,3837,788,3081,477,465,396,313,147,52,102,64,0,33,24,338,226,72,53,40,108,23
28,A_03156,67259,24456,10313,8368,0,1744,402,1383,238,295,255,222,88,29,68,26,0,13,23,190,111,27,29,21,72,23
29,A_03157,103100,41107,16528,14669,0,3636,690,2073,544,446,438,245,134,37,138,47,0,19,33,301,166,74,42,38,115,27
30,A_03158,98992,43154,18553,13249,0,4393,780,2351,575,610,400,380,156,58,115,60,0,24,42,308,180,53,46,33,108,21
31,A_03241,837141,357873,134929,105746,0,56166,7860,24027,3009,3470,4500,2783,1039,572,1167,426,0,281,214,2126,1430,631,318,460,848,257
32,A_03251,166243,61131,25790,15892,0,7742,974,6041,451,590,650,351,220,90,349,72,0,24,29,442,246,120,72,50,154,29
33,A_03252,123798,47729,20227,14638,0,4830,807,3016,523,507,509,336,190,58,146,60,0,34,47,330,360,86,57,32,156,27
34,A_03254,224077,96328,41950,30109,0,10372,1641,4695,917,826,817,591,305,146,382,141,0,45,71,560,345,171,76,71,253,63
35,A_03255,62697,30553,12214,11103,0,2207,321,1984,213,230,232,293,102,32,112,33,0,8,22,152,117,32,25,16,47,27
36,A_03256,96827,34025,15807,9802,0,3220,456,2039,355,279,258,194,113,42,70,43,0,17,25,238,178,253,28,32,121,19
37,A_03257,127292,50471,20723,16638,0,5123,695,2897,576,523,456,377,169,76,250,96,0,26,31,361,290,93,54,36,133,33
38,A_03351,140016,52289,25058,12133,0,5224,1208,3821,1448,525,495,273,169,84,238,80,0,33,34,305,177,92,47,50,162,36
39,A_03352,160317,55403,26375,14945,0,5676,758,3151,440,566,752,374,193,51,115,54,0,35,45,393,179,97,67,53,280,38
