,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,csu,linke,fdp,rep,tierschutz,familie,oedp,frauen,volksabstimmung,pbc,cm,aufbruch,dkp,bp,psg,bueso,50plus,auf,dvu,grauen,violetten,ede,fbi,volksentscheide,fw,newropeans,piraten,rrp,renter
0,A_01001,69522,22614,6985,5915,3818,0,1259,2263,84,275,213,30,81,53,60,22,26,35,12,9,4,67,26,76,47,42,16,18,34,81,10,476,94,271
1,A_01002,182806,61611,17040,17740,12103,0,3123,6288,199,574,327,122,159,71,83,50,52,84,22,18,19,131,87,264,127,158,24,50,51,215,44,1245,271,479
2,A_01003,166078,56287,16605,15769,9287,0,3059,6646,284,493,500,101,157,107,99,46,37,35,37,16,12,97,46,248,117,87,23,34,50,225,35,724,284,494
3,A_01004,60999,24898,8737,7414,2147,0,1059,2912,101,211,284,24,66,51,126,27,19,29,4,5,9,53,31,101,42,34,9,19,19,115,12,214,70,222
4,A_01051,108539,35439,15580,7809,2878,0,1317,5011,144,277,332,34,98,66,39,23,30,25,28,6,11,61,40,96,86,51,9,27,27,177,22,247,106,273
5,A_01053,147503,58624,21969,13851,7937,0,2315,7682,330,566,611,79,136,108,112,36,43,37,37,17,14,98,52,226,124,88,16,47,46,331,20,374,222,476
6,A_01054,132140,44661,19628,10139,5245,0,1318,4833,124,441,436,70,112,91,62,28,42,28,22,8,13,124,38,128,102,60,15,31,60,170,28,317,138,373
7,A_01055,165052,59995,23298,14561,6628,0,2166,8202,268,561,513,71,169,101,122,42,42,28,37,5,15,126,53,314,125,92,19,40,34,388,23,366,230,570
8,A_01056,231701,90839,33043,22019,12885,0,3409,12262,311,772,780,155,167,150,158,53,39,147,49,14,21,215,114,290,175,124,24,64,72,558,41,734,282,749
9,A_01057,104494,41306,15697,10316,5456,0,1450,5034,132,382,409,56,103,61,52,23,28,31,17,10,5,79,49,149,102,67,18,40,27,254,13,301,190,309
