,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,fdp,linke,csu,fw,rep,tierschutz,familie,piraten,oedp,pbc,volksabstimmung,bp,cm,auf,dkp,bueso,psg,afd,pro_nrw,mlpd,npd,partei
0,A_01001,70929,25350,6446,8161,4380,764,1911,0,103,28,382,181,497,85,69,61,6,10,34,21,8,6,1583,11,13,113,301
1,A_01002,188135,75741,17477,25918,14305,2651,4863,0,210,57,1121,333,1835,210,94,152,20,24,76,87,10,22,4418,22,49,328,1054
2,A_01003,167198,62933,17141,21356,9556,1953,3747,0,551,66,735,345,1264,164,67,124,19,29,65,39,11,18,4334,18,48,359,500
3,A_01004,60970,27659,8948,9680,2432,829,1278,0,120,31,388,338,483,35,72,77,6,34,32,16,7,6,1960,9,14,341,114
4,A_01051,107804,42819,17958,12381,3432,1734,1775,0,292,46,574,403,571,84,33,97,15,17,41,22,6,10,2325,25,22,263,224
5,A_01053,150105,69625,23887,21663,8232,2747,2996,0,328,87,932,605,951,160,80,122,27,21,75,29,10,14,5182,19,21,520,329
6,A_01054,130887,53913,21081,16215,5968,2044,2036,0,241,38,702,455,760,104,61,105,25,21,60,22,9,15,3038,18,25,226,225
7,A_01055,165120,70141,25452,22636,6949,2815,2407,0,422,64,854,589,752,117,87,146,34,40,63,23,7,11,5439,21,18,321,256
8,A_01056,236519,108214,36411,34766,13327,4288,4795,0,466,107,1257,710,1554,237,164,203,46,63,101,97,11,23,7628,31,29,590,526
9,A_01057,104325,48942,16996,15663,6238,1750,1793,0,235,31,735,350,591,80,51,76,12,26,51,26,6,11,3390,8,6,217,226
10,A_01058,216954,99710,36318,31266,11936,3652,3566,0,399,68,1463,691,1363,188,89,184,22,29,104,50,13,20,6678,37,29,341,439
11,A_01059,156854,66056,25375,19876,7527,2045,2581,0,501,60,873,574,828,120,41,133,19,22,86,28,10,18,4273,16,17,225,289
12,A_01060,209166,88572,32123,27786,9282,3236,3651,0,460,86,1159,811,1360,187,120,201,22,51,83,38,15,15,6364,27,25,457,407
13,A_01061,105504,44391,16692,12986,4549,1981,2100,0,374,50,508,428,767,83,62,96,20,20,74,25,6,8,2563,11,5,311,290
14,A_01062,186619,94016,31816,29581,12132,3905,3803,0,370,89,1152,669,1214,205,114,143,37,33,89,43,13,24,6934,29,10,384,468
17,A_02000,1283323,558277,135780,186638,95169,20513,47630,0,1641,353,5443,1524,12284,1910,504,891,122,201,398,567,138,99,33239,233,261,2250,5083
20,A_03101,194345,99682,30751,33036,14586,2744,5350,0,306,150,1155,353,2310,269,166,134,18,36,74,57,32,26,5550,38,64,382,1045
21,A_03102,75270,34611,12110,13974,1979,585,1564,0,193,154,366,154,294,37,70,66,19,41,18,18,11,8,1976,16,11,338,126
22,A_03103,92913,38340,14312,13164,3298,871,1599,0,116,54,340,162,427,54,134,82,9,34,31,24,9,6,2512,18,16,333,481
23,A_03151,134817,64411,26674,20893,5667,1371,2237,0,219,111,684,324,764,103,499,101,20,40,59,20,22,14,3108,13,13,407,451
24,A_03152,195831,102804,32198,35475,15070,2406,5631,0,661,93,983,388,1582,248,144,188,47,37,71,107,11,11,5017,35,60,492,858
25,A_03153,112117,43027,15648,15283,3425,1312,1855,0,167,63,537,173,470,68,48,90,19,19,50,14,8,8,2905,18,20,262,275
26,A_03154,74543,31577,11999,10950,2673,760,1229,0,130,50,436,148,351,43,43,54,11,13,24,8,6,9,1688,8,13,441,206
27,A_03155,110332,53172,18578,21108,4211,1342,1812,0,195,102,550,277,505,61,92,95,20,27,68,26,11,18,2894,17,14,359,229
28,A_03156,62052,26851,10076,10269,1789,672,981,0,135,47,341,148,218,29,30,49,12,5,40,12,7,9,1434,8,9,222,104
29,A_03157,102763,48159,17054,18813,4086,1006,1757,0,166,110,581,243,499,55,92,93,23,33,29,16,10,4,2520,27,17,296,229
30,A_03158,97307,51152,18416,17919,5291,1296,1740,0,194,88,650,198,558,69,66,96,13,22,40,27,15,10,3174,12,14,387,401
31,A_03241,850194,413626,138479,140049,55403,10885,19306,0,1580,764,4257,1592,5228,794,646,787,176,206,322,288,84,80,23741,191,179,1983,2942
32,A_03251,168403,83526,33554,25742,8689,3023,3130,0,366,138,1015,484,845,150,131,191,31,47,76,37,16,11,4320,34,14,424,351
33,A_03252,118875,58476,21213,21083,5457,1337,2193,0,216,107,689,305,659,66,88,136,27,31,46,28,10,16,3518,37,13,364,204
34,A_03254,219042,106129,38598,37408,11780,2145,4195,0,321,183,1154,457,1123,186,202,225,51,60,80,40,17,17,5842,38,23,614,529
35,A_03255,58035,27290,9641,10434,2473,912,899,0,88,44,272,125,266,26,61,43,17,33,24,9,4,3,1277,9,5,169,107
36,A_03256,95424,41146,17460,13203,3978,857,1362,0,146,74,430,210,438,51,54,75,15,24,52,13,7,10,1908,26,4,271,190
37,A_03257,125366,63465,23220,23669,5747,1222,2113,0,199,140,743,306,616,96,161,145,27,47,79,22,17,14,3665,25,18,334,246
38,A_03351,139565,64929,28307,18159,5518,1742,2004,0,389,174,692,367,581,123,215,161,41,39,77,27,19,16,5119,17,9,373,275
39,A_03352,158271,72992,36206,20023,5830,1192,2554,0,285,89,786,265,651,106,77,123,24,17,55,18,19,7,3501,23,16,347,256
40,A_03353,195893,102313,37857,29461,11875,3373,3738,0,555,108,1426,496,1331,236,152,189,50,67,117,49,18,16,9038,30,34,551,476
41,A_03354,39602,20974,6939,4858,5302,383,1125,0,59,28,244,90,211,24,47,35,7,6,12,19,6,11,1028,4,13,121,122
42,A_03355,139750,74254,23150,22690,12962,1892,3840,0,203,86,911,378,1382,168,115,118,12,36,54,42,14,10,4411,16,14,496,514
43,A_03356,89145,44314,15596,15395,5085,1003,2106,0,123,76,534,197,564,65,71,86,18,21,33,23,8,5,2538,18,9,217,169
44,A_03357,128196,71135,33585,19570,6859,1406,2162,0,446,103,740,384,819,94,136,155,37,34,61,18,38,9,2990,20,13,447,340
45,A_03358,109018,55676,22823,17879,5054,1327,1730,0,262,99,700,337,547,95,122,126,37,40,48,21,9,8,3020,19,12,490,207
46,A_03359,155555,74562,31283,22706,7336,1618,2573,0,358,84,979,323,743,105,86,109,17,20,35,32,16,12,4572,23,23,514,375
47,A_03360,75619,37733,14667,11909,4441,808,1330,0,98,26,427,193,513,73,72,53,12,22,76,13,12,6,2226,11,14,240,159
48,A_03361,104680,55868,20867,18480,6824,1297,2169,0,146,85,691,300,634,89,113,102,12,32,46,12,15,4,2915,25,16,296,263
49,A_03401,57777,25765,8494,9691,2155,523,1232,0,128,77,328,159,378,49,29,63,11,15,20,21,7,4,1645,14,6,230,118
50,A_03402,38973,14006,3358,6304,1731,390,724,0,34,10,140,59,154,19,38,21,6,6,13,23,4,4,661,4,13,89,78
51,A_03403,126358,59915,15742,17780,12798,1764,4594,0,252,33,698,183,1047,161,69,88,17,25,42,72,13,8,3320,22,26,265,558
52,A_03404,120658,61488,20772,17945,10892,2103,3560,0,179,58,521,198,969,182,111,74,22,34,58,43,14,13,2530,27,22,234,426
53,A_03405,64170,24125,8247,8311,2264,697,1192,0,171,56,316,113,286,38,34,68,13,9,20,16,5,6,1662,21,23,208,130
54,A_03451,95337,46951,18939,13847,5229,1603,1585,0,172,42,559,255,440,79,43,87,16,17,27,22,6,6,2960,12,8,224,204
55,A_03452,152222,77325,23466,33499,7181,1363,2724,0,416,149,970,409,762,131,116,130,29,37,68,38,25,10,3358,30,17,586,309
56,A_03453,117936,59731,37509,11485,2726,1332,1402,0,166,54,394,416,386,57,169,87,16,167,73,13,7,12,2187,19,7,249,155
57,A_03454,236116,121346,75593,24940,6830,2625,2789,0,246,117,834,483,927,115,68,143,25,83,115,26,23,10,3703,44,25,406,333
58,A_03455,80352,39529,13743,14197,4000,1274,1305,0,177,70,537,219,403,60,42,73,18,17,28,23,6,10,2331,15,14,226,162
59,A_03456,97142,49591,25404,14935,3314,1182,1190,0,84,48,416,209,405,164,106,45,12,25,35,29,9,4,1361,9,12,139,160
60,A_03457,129177,63222,21278,25499,5257,1190,2070,0,192,94,744,292,655,123,287,148,21,73,72,35,15,13,3287,31,6,454,269
61,A_03458,99395,54677,21348,16340,6282,1837,1943,0,359,87,659,335,637,95,64,103,20,21,33,20,12,12,3321,16,16,313,270
62,A_03459,271647,143832,66219,43233,13056,3906,4770,0,404,131,1108,630,1513,245,545,234,51,78,115,53,29,12,5135,67,22,647,495
63,A_03460,99942,51475,33260,8139,3225,1371,1269,0,280,52,290,253,436,66,49,65,16,25,37,17,13,5,1793,19,3,187,190
64,A_03461,70534,29868,11174,10510,2824,898,1122,0,101,42,340,150,266,33,19,60,12,6,22,17,6,4,1614,12,15,160,156
65,A_03462,45632,21812,8932,7554,1769,502,630,0,73,22,270,100,170,42,20,67,8,11,21,3,6,3,1067,9,1,128,89
68,A_04011,400711,166340,35662,55400,31113,5661,16223,0,437,282,2394,651,3456,370,323,372,59,89,156,215,38,34,9512,92,93,807,1742
69,A_04012,83017,28689,7691,11136,2884,640,2276,0,83,66,497,183,473,36,37,96,7,12,28,14,9,11,1693,26,16,271,197
72,A_05111,415747,223845,73625,67870,28099,13775,11402,0,1321,1138,3058,641,3437,422,125,431,80,89,187,204,69,34,12533,537,134,732,1419
73,A_05112,336313,143261,35285,57685,11185,3761,9218,0,382,575,2172,744,2031,243,144,400,85,67,146,131,82,58,10157,3445,261,2081,979
74,A_05113,428584,203073,59285,74179,20330,7679,11086,0,404,823,2768,956,3475,377,160,495,71,98,256,376,79,60,12010,2531,200,1538,1719
75,A_05114,165558,79988,26603,26342,8076,4090,4007,0,309,178,945,335,1299,139,78,178,32,43,93,46,15,11,4623,272,42,479,610
76,A_05116,192506,86904,33576,26277,7387,3640,4109,0,351,172,1109,339,1169,178,43,209,28,48,85,32,41,13,4374,939,53,592,763
77,A_05117,125981,65994,18732,23993,6533,3223,3556,0,151,147,876,320,982,137,72,136,30,35,86,47,30,28,4724,451,61,382,346
78,A_05119,155439,70811,19572,28286,5636,1715,4680,0,175,245,1017,383,1039,121,50,189,33,34,66,55,26,15,4090,750,74,882,448
