,teryt_code,eligible_voters,issued_ballots,cdu,spd,gruene,linke,afd,csu,fdp,fw,piraten,tierschutz,npd,fpd,oedp,partei,ajddvpfdm,bayern,dkp,mlpd,sgvi,tierschutzdo,afmtn,bcfd,bfig,bg,direkt,diem25,dw,grauen,rechte,violetten,liebe,frauen,grauepanther,lkr,mwfdwga,nlds,oel,humanisten,pfdtd,pfg,volt
0,A_01001,70431,39647,6829,5676,14603,2349,2477,0,1988,257,405,925,44,345,184,1663,45,24,14,13,15,118,80,48,34,72,33,222,7,74,19,40,38,55,80,28,40,24,52,97,61,47,285
1,A_01002,186195,109595,18311,17911,40324,6497,6459,0,5270,525,1358,1488,119,599,516,4962,85,38,68,42,12,197,155,85,129,150,64,675,9,180,37,84,71,103,243,110,99,62,198,371,144,129,1139
2,A_01003,166530,90946,18416,17566,28633,4231,6773,0,4174,1018,883,1189,162,611,456,2680,77,48,49,40,6,214,125,97,213,89,56,332,13,121,40,78,97,126,181,73,68,54,97,234,126,104,935
3,A_01004,60215,29036,7039,5286,7809,1041,2761,0,1539,240,352,407,140,287,123,678,44,25,11,9,3,71,42,43,101,28,25,62,6,69,12,21,28,42,80,70,17,14,20,56,56,34,114
4,A_01051,107045,58244,17955,10294,12121,2002,5121,0,4498,609,539,886,98,613,157,1089,81,28,22,13,12,126,94,25,6,64,32,100,13,126,38,47,65,70,170,45,54,23,41,78,118,111,185
5,A_01053,152666,91899,24912,15940,23552,3168,8355,0,5774,990,658,1439,171,919,508,1877,91,69,33,24,13,216,149,124,40,79,54,196,18,192,51,68,97,109,212,115,68,49,60,127,164,107,502
6,A_01054,131877,77635,23444,12566,22580,2449,4373,0,4432,563,815,1115,119,771,244,1340,88,38,18,22,12,198,132,50,17,76,40,148,11,132,34,63,92,96,184,48,73,25,78,104,148,114,337
7,A_01055,165528,96712,28117,18289,24383,2823,7752,0,5910,1018,752,1282,171,947,336,1455,85,61,45,16,17,253,131,101,32,72,56,181,22,161,30,74,85,99,190,93,58,31,70,104,208,124,355
8,A_01056,239300,150689,39119,25994,43260,5480,11681,0,9465,1102,1254,2049,182,1119,691,3258,179,87,54,22,15,352,241,152,194,114,104,452,31,313,68,119,110,179,381,183,94,83,99,222,219,169,794
9,A_01057,105085,66925,18150,11683,19797,2067,4846,0,3618,559,582,900,100,564,231,1365,61,37,25,24,9,172,104,65,20,52,37,142,7,148,24,48,70,54,136,83,57,22,44,81,149,76,292
10,A_01058,218614,136614,38936,22593,39806,4221,9206,0,7544,1001,1302,2091,195,1205,573,2993,126,71,36,29,15,317,231,95,87,131,71,327,18,282,48,110,96,128,320,153,97,64,123,201,269,178,532
11,A_01059,159674,95525,27527,15339,28887,3123,5705,0,4739,1087,841,1474,103,997,361,1880,88,53,24,20,11,256,158,55,28,92,71,170,12,187,45,80,103,96,202,68,61,37,71,117,199,131,409
12,A_01060,212630,126584,34078,21105,33886,4597,10296,0,8446,1407,1065,1937,212,1403,590,2552,159,79,43,18,13,304,216,143,71,105,85,309,17,316,50,105,122,165,351,144,92,53,93,168,223,147,653
13,A_01061,104839,60505,17285,9848,16150,2159,4675,0,3682,593,613,978,123,598,200,1272,96,40,21,11,10,159,109,76,42,41,34,99,11,121,23,58,83,47,146,53,49,25,47,97,96,61,287
14,A_01062,188732,123481,32902,19924,36077,4138,9778,0,8459,938,834,1607,157,1078,674,2403,112,71,51,11,13,263,187,103,98,102,67,300,13,260,41,84,109,136,291,141,75,55,107,168,179,148,710
17,A_02000,1302548,805905,140966,157840,247719,55375,51649,0,44355,3392,6478,10973,877,2551,5504,30138,678,518,520,353,88,1403,1035,801,2640,1285,503,6375,144,1087,302,569,666,950,1530,990,763,723,1692,1601,1154,790,9455
20,A_03101,190413,122195,27475,24209,34110,5764,8329,0,6281,598,1159,1782,177,611,765,4831,107,59,33,64,18,284,151,141,323,122,83,567,13,190,34,82,93,149,213,276,73,82,99,338,194,131,1612
21,A_03102,72737,37215,9268,9457,5440,1759,5519,0,1538,263,204,637,149,287,102,796,43,35,10,9,10,138,74,48,175,19,14,50,12,72,39,20,47,50,65,69,18,12,19,56,77,78,144
22,A_03103,89191,50390,14495,12056,8970,1811,5105,0,2482,276,359,820,124,337,267,1153,77,49,37,28,7,152,86,152,70,26,33,102,11,94,19,24,42,64,116,69,36,25,23,70,93,89,217
23,A_03151,136223,82780,26026,17360,15740,2629,8047,0,3943,519,529,1289,144,614,363,1855,89,98,21,19,10,272,159,584,74,46,60,181,14,159,52,59,54,91,166,90,61,32,35,128,154,151,356
24,A_03153,107632,62885,17949,15236,10754,2449,6409,0,3052,340,385,1142,212,415,244,1550,94,68,16,13,9,241,107,45,87,70,38,133,9,133,61,35,62,70,114,89,38,15,38,111,136,111,310
25,A_03154,73182,42754,13022,10514,6885,1470,3895,0,2101,274,282,806,208,341,197,963,67,50,16,10,6,161,69,57,29,32,25,91,3,68,27,11,33,51,115,68,29,16,29,61,99,80,167
26,A_03155,107594,60355,16764,16431,11405,1930,4877,0,2959,352,335,852,163,399,199,1354,78,60,14,12,10,201,112,128,59,76,29,110,6,114,30,41,57,71,101,65,40,21,47,68,89,98,237
27,A_03157,103605,64184,16993,16669,12304,2229,5936,0,2931,388,412,1119,142,507,251,1513,88,50,13,15,7,211,120,100,191,53,28,128,16,137,37,43,50,70,159,69,45,23,37,101,154,105,322
28,A_03158,96324,62070,17032,14374,13082,2185,5512,0,3050,330,454,1031,141,357,256,1815,66,51,15,10,8,193,95,50,92,37,31,129,9,105,25,31,46,76,127,125,51,17,29,95,128,80,328
29,A_03159,253354,152703,38912,33889,38410,6652,10309,0,6862,1352,1010,2055,276,834,666,4226,190,129,73,50,16,375,238,160,165,236,88,834,27,280,64,131,122,158,221,206,93,67,419,393,231,187,1352
30,A_03241,844533,540175,132337,112047,140558,23979,43422,0,26322,3071,4331,7842,726,2872,2454,15886,682,415,290,229,56,1320,779,859,1842,524,311,2130,101,1080,276,333,403,621,1048,558,406,260,650,1166,865,761,3611
31,A_03251,169375,105348,33709,21150,22484,3533,7850,0,6581,710,601,1418,155,665,524,2189,131,59,24,19,12,296,136,98,80,98,59,195,22,168,51,66,67,117,175,91,73,25,81,175,190,163,427
32,A_03252,116288,67945,19200,15755,13908,2609,6648,0,3180,424,434,971,119,441,225,1273,109,67,15,8,11,249,150,110,102,46,38,141,15,137,47,47,53,119,133,68,40,22,41,79,131,87,280
33,A_03254,217020,135482,37713,31123,30585,5024,11272,0,6048,747,773,2050,260,879,555,3216,209,132,54,25,20,410,215,224,165,133,73,307,35,253,104,84,99,143,232,131,91,46,113,238,236,175,627
34,A_03255,55950,33503,9913,9336,5508,924,2759,0,1902,167,188,435,72,234,98,558,56,46,11,2,3,116,69,88,32,31,23,43,8,40,15,26,33,34,54,27,17,14,23,41,52,33,100
35,A_03256,94437,53561,17389,11554,10762,1657,4601,0,2554,323,324,693,114,351,159,1069,79,41,14,8,10,121,88,51,27,58,31,116,11,89,30,34,49,67,94,53,45,16,34,91,94,104,204
36,A_03257,124384,72992,20079,17483,15795,2296,6544,0,3234,496,451,1153,114,549,300,1549,91,69,20,15,9,205,115,158,138,62,41,148,16,144,56,64,64,73,164,83,50,24,65,102,164,105,305
37,A_03351,139021,83672,26932,15024,16508,2703,9096,0,4657,807,462,1342,153,584,316,1712,115,98,27,15,8,294,154,215,36,70,54,186,20,177,31,51,77,101,184,115,60,31,59,116,158,132,357
38,A_03352,158334,97886,36581,19955,17489,3275,7845,0,3709,756,519,1438,176,555,275,1593,169,65,23,22,17,286,178,65,36,88,35,140,13,141,50,64,71,131,210,99,68,31,63,135,200,133,355
39,A_03353,199955,132929,38070,21515,34654,4437,11358,0,7935,1309,839,2584,192,843,721,2754,134,145,36,28,10,315,193,216,87,95,89,408,17,261,73,101,94,142,293,521,99,79,102,183,229,169,771
40,A_03354,39160,23088,6175,3915,6558,1269,1710,0,896,125,121,333,39,167,151,595,29,11,12,11,6,73,35,39,2,64,15,107,3,32,11,20,30,24,38,25,23,7,92,19,36,32,91
