,teryt_code,eligible_voters,issued_ballots,cdu,gruene,spd,afd,csu,linke,fdp,partei,fw,tierschutz,oedp,fpd,volt,piraten,mera25,heimat,aptierschutz,pfsv,bfig,bcfd,humanisten,mwfdwga,dkp,mlpd,sgvi,abg,bdp,bundnisd,bsw,dava,klimaliste,pasdlg,pdv,pdf,v_partei3
0,A_01001,70935,41851,8264,9912,6551,4275,0,1724,2117,1139,289,888,165,306,1780,351,173,27,137,23,21,43,106,80,24,7,6,16,157,117,2101,103,49,170,35,348,87
1,A_01002,187045,117023,22722,28411,19838,9353,0,5639,6030,4125,772,1959,415,598,6050,809,638,52,361,73,82,109,454,113,86,42,23,39,484,400,4447,578,148,599,63,832,210
2,A_01003,166429,96558,22072,18906,17909,10290,0,3251,5065,2213,983,1520,361,534,4376,601,329,73,337,33,55,118,273,119,34,43,13,37,244,335,3870,670,95,354,79,604,158
3,A_01004,59983,32967,9294,3720,5626,5697,0,709,1921,662,301,498,108,243,597,201,120,87,130,13,20,54,57,39,6,7,7,15,131,159,1518,336,24,47,24,313,53
4,A_01051,108756,68018,23596,5994,10553,11005,0,1150,4865,1123,1032,1034,133,615,1182,366,69,68,285,21,19,54,108,96,12,23,14,39,146,312,2894,23,28,116,55,421,77
5,A_01053,157270,103085,31909,13812,16752,14658,0,2011,6494,1731,1471,1584,364,869,2343,480,184,85,413,41,40,123,195,148,20,19,17,56,322,445,4279,279,62,207,61,859,172
6,A_01054,134516,86308,30037,12186,13845,9207,0,1504,5173,1583,1326,1448,253,892,1375,484,118,59,380,31,26,81,162,156,17,32,10,56,243,282,3495,39,67,177,72,623,133
7,A_01055,168745,106193,36231,13316,18406,13511,0,1688,6604,1638,1645,1740,290,864,1646,544,138,76,477,43,34,137,169,138,19,28,17,51,254,451,4143,71,59,178,89,674,149
8,A_01056,243296,161874,48469,24022,28200,18929,0,3467,11596,2852,1653,2428,629,1078,4238,852,387,97,536,79,71,180,333,194,48,40,22,71,468,736,6650,553,108,345,90,1293,233
9,A_01057,107875,73378,23139,11752,12624,8536,0,1315,4404,1397,916,1082,214,553,1646,393,100,50,274,31,17,80,137,97,14,12,10,27,322,275,2611,63,41,138,43,470,111
10,A_01058,224977,151330,49203,23197,24771,17527,0,2713,9456,3319,1769,2411,457,1114,2832,830,212,125,560,50,56,130,314,180,44,26,31,72,628,642,5867,263,87,309,107,1059,215
11,A_01059,166007,109276,35546,16340,17498,12730,0,2010,6098,1987,1924,1822,335,1090,1932,595,149,69,488,46,40,64,207,178,29,17,13,70,413,552,4890,99,44,214,97,812,186
12,A_01060,219840,141638,44319,18195,22481,19282,0,2697,10037,3205,1778,2269,460,1247,3115,805,233,102,462,73,67,140,284,185,33,24,16,86,561,716,5804,355,106,266,92,1191,224
13,A_01061,106230,68155,22582,8082,10394,10249,0,1235,3907,1426,1169,1028,209,589,1244,366,106,59,253,18,20,70,147,109,33,15,12,58,283,304,2746,117,41,137,50,550,116
14,A_01062,191558,132464,40658,20839,22016,15249,0,2514,9988,2379,1229,1930,475,929,3338,690,253,66,422,65,40,143,267,153,23,14,17,58,402,571,5056,318,99,287,87,1075,208
17,A_02000,1322628,872432,159977,182577,162776,69318,0,44373,60621,21787,4086,13019,3494,2776,51349,5376,5833,318,2470,417,846,964,2128,1091,593,331,125,322,1717,2760,42586,7675,1011,5150,471,5416,1533
20,A_03101,189994,125657,28003,22661,25264,12026,0,3929,7215,3436,853,2120,705,519,6345,1075,492,60,544,70,115,168,458,132,50,73,13,47,340,458,5368,625,150,610,93,941,233
21,A_03102,70385,38722,10123,2340,8672,8470,0,807,1547,664,353,598,73,189,456,140,145,41,223,24,23,50,63,52,14,7,9,26,62,134,2124,672,16,48,22,206,44
