© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1998 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutschland;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;MLPD;Die Tierschutzpartei;NPD;NATURGESETZ;FORUM;ödp;PBC;AB 2000;PASS;DKP;DSU;ZENTRUM;DMP;FP Deutschland;FSU;STATT Partei;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;Deutsch-land;APPD;APD;BP;BüSo;BfB;CHANCE 2000;CM;DPD;DVU;GRAUE;REP;FAMILIE;DIE FRAUEN;HP;Pro DM;MLPD;Die Tier-schutzpartei;NPD;NATUR-GESETZ;FORUM;ödp;PBC;AB 2000;Nicht-wähler;PASS;PSG
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg, Stadt;65755;50560;673;49887;27639;17854;0;2000;861;636;0;0;0;0;0;0;0;0;0;245;530;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;698;49862;25490;14538;0;3815;3182;912;0;0;0;0;0;99;0;0;0;694;206;193;0;67;0;562;0;0;46;0;0;58;0;0;0;0;0
SH;01002;Kiel, Landeshauptstadt;181661;144804;1925;142879;78512;46022;0;8572;5064;2440;0;0;0;0;0;0;0;0;0;628;1484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;0;1870;142934;70313;40038;0;14674;9821;3440;0;0;0;0;0;207;0;0;0;1471;476;703;0;222;0;1227;0;0;213;0;0;129;0;0;0;0;0
SH;01003;Lübeck, Hansestadt;166635;130874;2142;128732;66083;47966;0;6172;3616;1757;0;0;0;0;0;0;0;0;0;0;1581;0;0;0;0;0;620;334;0;235;0;0;0;0;0;0;0;0;0;0;368;2347;128527;61813;41885;0;9593;8100;2349;0;0;0;0;0;137;0;0;0;1598;323;916;0;127;0;1129;0;0;375;0;0;182;0;0;0;0;0
SH;01004;Neumünster, Stadt;62826;48504;995;47509;26323;16918;0;1604;1163;0;0;0;0;0;0;176;0;0;0;0;660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665;0;835;47669;24888;15116;0;2327;2786;764;0;0;0;0;0;84;0;0;0;845;112;190;0;53;0;358;0;0;111;0;0;35;0;0;0;0;0
SH;01051;Dithmarschen;106240;86075;1768;84307;39674;38800;0;2202;2436;944;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1599;84476;37320;34015;0;3443;5955;902;0;0;0;0;0;91;0;0;0;1224;226;174;0;85;0;850;0;0;124;0;0;67;0;0;0;0;0
SH;01053;Herzogtum Lauenburg;136156;114782;1354;113428;53912;48074;0;3926;3039;1267;0;0;0;0;0;427;0;0;0;478;1263;0;0;0;0;0;610;0;0;0;0;0;0;0;0;0;0;0;40;392;0;1531;113251;49387;41780;0;6969;8736;1655;0;0;0;0;0;348;0;0;0;1742;392;776;0;77;0;940;0;0;369;0;0;80;0;0;0;0;0
SH;01054;Nordfriesland;125446;101810;1773;100037;46545;44883;0;4119;2883;1056;0;0;0;0;0;0;0;0;0;551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1655;100155;43672;38384;0;6073;8041;1152;0;0;0;0;0;140;0;0;0;847;303;165;0;159;0;944;0;0;181;0;0;94;0;0;0;0;0
SH;01055;Ostholstein;156827;129497;2673;126824;60687;57684;0;4370;3341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;742;1819;127678;57238;48599;0;6446;9515;1500;0;0;0;0;0;250;0;0;0;1877;293;373;0;141;0;1149;0;0;186;0;0;111;0;0;0;0;0
SH;01056;Pinneberg;219335;185688;2972;182716;87477;76822;0;8635;6136;2195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323;0;0;0;0;244;884;0;1917;183771;82539;65095;0;12138;15198;2709;0;0;0;0;0;402;0;0;0;2813;551;520;0;169;0;1224;0;0;264;0;0;149;0;0;0;0;0
