© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2002 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;ZENTRUM;KPD;PRG;Schill;Deutschland;DKP;DSU;FP Deutschlands;Einzelbewerber;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;PDS;REP;GRAUE;Die Tierschutzpartei;NPD;ödp;PBC;DIE FRAUEN;BP;FAMILIE;CM;BüSo;HP;Die Violetten;AUFBRUCH;Zentrum;KPD;PRG;Schill
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg ;65740;49054;503;48551;26309;16418;0;2833;2038;759;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;501;48553;23396;14362;0;5556;3424;859;80;153;0;128;0;153;0;0;0;0;0;0;0;0;0;0;0;442
SH;01002;Kiel ;176468;137758;1711;136047;74457;40297;0;9255;8092;2863;0;0;0;834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;0;0;1533;136225;61489;36596;0;20890;10948;3098;234;345;0;509;0;297;0;0;0;0;0;0;0;0;0;0;0;1819
SH;01003;Lübeck ;165375;126336;2079;124257;63630;42439;0;8543;6636;2434;0;0;0;0;0;575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1702;124634;60039;39012;0;12375;8135;2033;249;259;0;458;0;289;0;0;0;0;0;0;0;0;0;0;0;1785
SH;01004;Neumünster ;61909;46253;778;45475;22379;15991;0;2057;1890;505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;2581;588;45665;22162;15312;0;3005;3271;585;84;110;0;183;0;181;0;0;0;0;0;0;0;0;0;0;0;772
SH;01051;Dithmarschen ;107594;83694;1131;82563;36628;36801;0;2547;5009;1147;0;259;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;1078;82616;34465;33700;0;4461;7012;1072;123;242;0;218;0;119;0;0;0;0;0;0;0;0;0;0;0;1204
SH;01053;Herzogtum Lauenburg ;141792;115977;1444;114533;53302;47771;0;4965;6447;1268;0;0;0;744;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1243;114734;46896;43600;0;10244;9169;1367;216;216;0;438;0;220;0;0;0;0;0;0;0;0;0;0;0;2368
SH;01054;Nordfriesland ;127562;102509;1157;101352;45134;44528;0;4940;4940;1065;0;484;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1054;101455;43393;39904;0;7238;8208;1079;93;290;0;232;0;205;0;0;0;0;0;0;0;0;0;0;0;813
SH;01055;Ostholstein ;160770;129463;1746;127717;61889;52625;0;4937;6605;1156;0;0;0;0;0;505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1281;128182;56418;49310;0;8953;9941;1204;155;239;0;366;0;376;0;0;0;0;0;0;0;0;0;0;0;1220
SH;01056;Pinneberg ;223977;187495;2452;185043;85773;75910;0;10717;9607;1911;0;0;0;0;0;675;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;0;0;1795;185700;77166;65925;0;18998;15419;2204;241;494;0;399;0;440;0;0;0;0;0;0;0;0;0;0;0;4414
SH;01057;Plön ;102080;85851;1094;84757;40578;34047;0;4528;3939;838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;0;0;711;809;85042;36512;31057;0;8177;6636;1040;112;180;0;219;0;165;0;0;0;0;0;0;0;0;0;0;0;944
SH;01058;Rendsburg-Eckernförde ;212644;174591;2341;172250;82288;69817;0;7603;9093;1781;0;0;0;68;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;1043;1822;172769;72712;64535;0;16066;14247;1996;194;389;0;417;0;411;0;0;0;0;0;0;0;0;0;0;0;1802
SH;01059;Schleswig-Flensburg ;151938;122802;1132;121670;56536;53948;0;4607;5014;1171;0;0;0;0;0;394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1114;121688;51538;47638;0;9988;9264;1339;167;315;0;195;0;304;0;0;0;0;0;0;0;0;0;0;0;940
