© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 2005 nach kreisfreien Städten und Landkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;MLPD;DIE PARTEI;CM;DSU;HP;HUMANWIRTSCHAFTSPARTEI;STATT Partei;UNABHÄNGIGE;Übrige;Ungültige;Gültige;SPD;CDU;CSU;GRÜNE;FDP;Die Linke.;Offensive D;REP;NPD;Die Tierschutzpartei;GRAUE;PBC;DIE FRAUEN;FAMILIE;BüSo;BP;ZENTRUM;Deutschland;AGFG;APPD;50plus;MLPD;Die Partei;PSG;Pro DM
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
SH;01001;Flensburg, Stadt;66970;49002;758;48244;24261;16954;0;2729;1601;2312;0;0;387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;767;48235;21000;13910;0;5028;4196;3066;0;0;427;0;0;0;0;574;0;0;0;0;0;0;0;34;0;0;0
SH;01002;Kiel, Landeshauptstadt;177028;136375;2105;134270;69487;43641;0;8553;4044;5747;0;0;1225;0;0;0;0;1573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1926;134449;56849;37439;0;17561;11347;8321;0;0;1289;0;0;0;0;1499;0;0;0;0;0;0;0;144;0;0;0
SH;01003;Lübeck, Hansestadt;164988;120580;2118;118462;59557;41439;0;5144;4055;5005;0;0;1225;0;0;0;0;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2204;118376;52058;36210;0;10907;9772;6702;0;0;1259;0;0;0;0;1329;0;0;0;0;0;0;0;139;0;0;0
SH;01004;Neumünster, Stadt;61191;44386;871;43515;21517;17030;0;1630;1602;0;0;0;783;0;0;0;0;953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;716;43670;18532;14529;0;2856;4109;2234;0;0;674;0;0;0;0;691;0;0;0;0;0;0;0;45;0;0;0
SH;01051;Dithmarschen;108262;83634;1490;82144;32349;39047;0;2281;3970;3048;0;0;882;0;0;0;0;567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1397;82237;29352;34312;0;4207;8642;3704;0;0;929;0;0;0;0;1037;0;0;0;0;0;0;0;54;0;0;0
SH;01053;Herzogtum Lauenburg;145014;116714;2164;114550;50874;49802;0;5486;5692;353;0;0;2131;0;0;0;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1629;115085;42246;42448;0;9842;12377;5253;0;0;1620;0;0;0;0;1243;0;0;0;0;0;0;0;56;0;0;0
SH;01054;Nordfriesland;130118;101735;1504;100231;40317;47949;0;4384;3799;3005;0;0;777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1348;100387;36577;41596;0;6750;9932;3661;0;0;765;0;0;0;0;1039;0;0;0;0;0;0;0;67;0;0;0
SH;01055;Ostholstein;163224;129028;1790;127238;56582;55672;0;3407;4970;3989;0;0;1086;0;0;0;0;1532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1719;127309;49326;48267;0;8435;13236;5296;0;0;1230;0;0;0;0;1459;0;0;0;0;0;0;0;60;0;0;0
SH;01056;Pinneberg;227185;185609;2646;182963;78236;80935;0;9118;6743;6142;0;0;1789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2287;183322;68570;67534;0;16610;18796;8043;0;0;1770;0;0;0;0;1906;0;0;0;0;0;0;0;93;0;0;0
