01|Budapest                 |001|Budapest I.ker.          |001|FIDESZ-KDNP                   |0006598|
01|Budapest                 |001|Budapest I.ker.          |002|SZDSZ                         |0000769|
01|Budapest                 |001|Budapest I.ker.          |003|MCF ROMA Ö.                   |0000024|
01|Budapest                 |001|Budapest I.ker.          |004|MUNKÁSPÁRT                    |0000067|
01|Budapest                 |001|Budapest I.ker.          |005|MSZP                          |0001918|
01|Budapest                 |001|Budapest I.ker.          |006|JOBBIK                        |0001253|
01|Budapest                 |001|Budapest I.ker.          |007|LMP-HP                        |0000722|
01|Budapest                 |001|Budapest I.ker.          |008|MDF                           |0000681|
01|Budapest                 |002|Budapest II.ker.         |001|FIDESZ-KDNP                   |0021310|
01|Budapest                 |002|Budapest II.ker.         |002|SZDSZ                         |0002684|
01|Budapest                 |002|Budapest II.ker.         |003|MCF ROMA Ö.                   |0000059|
01|Budapest                 |002|Budapest II.ker.         |004|MUNKÁSPÁRT                    |0000189|
01|Budapest                 |002|Budapest II.ker.         |005|MSZP                          |0007355|
01|Budapest                 |002|Budapest II.ker.         |006|JOBBIK                        |0003754|
01|Budapest                 |002|Budapest II.ker.         |007|LMP-HP                        |0002226|
01|Budapest                 |002|Budapest II.ker.         |008|MDF                           |0002572|
01|Budapest                 |003|Budapest III.ker.        |001|FIDESZ-KDNP                   |0021817|
01|Budapest                 |003|Budapest III.ker.        |002|SZDSZ                         |0001928|
01|Budapest                 |003|Budapest III.ker.        |003|MCF ROMA Ö.                   |0000076|
01|Budapest                 |003|Budapest III.ker.        |004|MUNKÁSPÁRT                    |0000440|
01|Budapest                 |003|Budapest III.ker.        |005|MSZP                          |0011001|
01|Budapest                 |003|Budapest III.ker.        |006|JOBBIK                        |0006152|
01|Budapest                 |003|Budapest III.ker.        |007|LMP-HP                        |0002425|
01|Budapest                 |003|Budapest III.ker.        |008|MDF                           |0003187|
01|Budapest                 |004|Budapest IV.ker.         |001|FIDESZ-KDNP                   |0013996|
01|Budapest                 |004|Budapest IV.ker.         |002|SZDSZ                         |0001182|
01|Budapest                 |004|Budapest IV.ker.         |003|MCF ROMA Ö.                   |0000036|
01|Budapest                 |004|Budapest IV.ker.         |004|MUNKÁSPÁRT                    |0000352|
01|Budapest                 |004|Budapest IV.ker.         |005|MSZP                          |0007643|
01|Budapest                 |004|Budapest IV.ker.         |006|JOBBIK                        |0004420|
01|Budapest                 |004|Budapest IV.ker.         |007|LMP-HP                        |0001478|
01|Budapest                 |004|Budapest IV.ker.         |008|MDF                           |0002194|
01|Budapest                 |005|Budapest V.ker.          |001|FIDESZ-KDNP                   |0005812|
