"JKV_TÍPUS","SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","MEGYEKÓD","MEGYE","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_BÉLYEGZÉS_NÉLKÜLI","URNÁBAN_LEBÉLYEGZETT","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA","SZAVAZAT"
"Belföldi","01001001F",31226,"01","BUDAPEST","001","Budapest I.ker.",1,1060,577,0,577,0,1,576,,
,"01001001T",31226,,,,,,,,,,,,,"FIDESZ-KDNP",308
,"01001001T",31226,,,,,,,,,,,,,"EGYÜTT-PM",83
,"01001001T",31226,,,,,,,,,,,,,"JOBBIK",50
,"01001001T",31226,,,,,,,,,,,,,"MSZP",47
,"01001001T",31226,,,,,,,,,,,,,"LMP",45
,"01001001T",31226,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",41
,"01001001T",31226,,,,,,,,,,,,,"SMS",2
,"01001001T",31226,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001002F",31227,"01","BUDAPEST","001","Budapest I.ker.",2,1014,497,0,497,0,4,493,,
,"01001002T",31227,,,,,,,,,,,,,"FIDESZ-KDNP",265
,"01001002T",31227,,,,,,,,,,,,,"EGYÜTT-PM",72
,"01001002T",31227,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001002T",31227,,,,,,,,,,,,,"LMP",43
,"01001002T",31227,,,,,,,,,,,,,"MSZP",31
,"01001002T",31227,,,,,,,,,,,,,"JOBBIK",31
,"01001002T",31227,,,,,,,,,,,,,"SMS",2
,"01001002T",31227,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001003F",31228,"01","BUDAPEST","001","Budapest I.ker.",3,1573,867,0,867,0,3,864,,
,"01001003T",31228,,,,,,,,,,,,,"FIDESZ-KDNP",434
,"01001003T",31228,,,,,,,,,,,,,"LMP",135
,"01001003T",31228,,,,,,,,,,,,,"EGYÜTT-PM",102
,"01001003T",31228,,,,,,,,,,,,,"JOBBIK",71
,"01001003T",31228,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",69
,"01001003T",31228,,,,,,,,,,,,,"MSZP",50
,"01001003T",31228,,,,,,,,,,,,,"SMS",2
,"01001003T",31228,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001004F",31229,"01","BUDAPEST","001","Budapest I.ker.",4,999,500,0,498,-2,2,496,,
,"01001004T",31229,,,,,,,,,,,,,"FIDESZ-KDNP",264
,"01001004T",31229,,,,,,,,,,,,,"LMP",56
,"01001004T",31229,,,,,,,,,,,,,"EGYÜTT-PM",51
,"01001004T",31229,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001004T",31229,,,,,,,,,,,,,"MSZP",38
,"01001004T",31229,,,,,,,,,,,,,"JOBBIK",37
,"01001004T",31229,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01001004T",31229,,,,,,,,,,,,,"SMS",1
"Belföldi","01001005F",31230,"01","BUDAPEST","001","Budapest I.ker.",5,979,483,0,483,0,2,481,,
,"01001005T",31230,,,,,,,,,,,,,"FIDESZ-KDNP",246
,"01001005T",31230,,,,,,,,,,,,,"EGYÜTT-PM",78
,"01001005T",31230,,,,,,,,,,,,,"LMP",55
,"01001005T",31230,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",42
,"01001005T",31230,,,,,,,,,,,,,"JOBBIK",30
,"01001005T",31230,,,,,,,,,,,,,"MSZP",26
,"01001005T",31230,,,,,,,,,,,,,"A HAZA NEM ELADÓ",3
,"01001005T",31230,,,,,,,,,,,,,"SMS",1
"Belföldi","01001006F",31231,"01","BUDAPEST","001","Budapest I.ker.",6,1091,549,0,549,0,7,542,,
,"01001006T",31231,,,,,,,,,,,,,"FIDESZ-KDNP",275
,"01001006T",31231,,,,,,,,,,,,,"EGYÜTT-PM",85
,"01001006T",31231,,,,,,,,,,,,,"LMP",73
,"01001006T",31231,,,,,,,,,,,,,"MSZP",36
,"01001006T",31231,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",36
,"01001006T",31231,,,,,,,,,,,,,"JOBBIK",34
,"01001006T",31231,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"01001006T",31231,,,,,,,,,,,,,"SMS",1
"Belföldi","01001007F",31232,"01","BUDAPEST","001","Budapest I.ker.",7,952,464,0,464,0,1,463,,
,"01001007T",31232,,,,,,,,,,,,,"FIDESZ-KDNP",257
,"01001007T",31232,,,,,,,,,,,,,"EGYÜTT-PM",73
,"01001007T",31232,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",39
,"01001007T",31232,,,,,,,,,,,,,"LMP",38
,"01001007T",31232,,,,,,,,,,,,,"MSZP",34
,"01001007T",31232,,,,,,,,,,,,,"JOBBIK",20
,"01001007T",31232,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01001007T",31232,,,,,,,,,,,,,"SMS",1
"Belföldi","01001008F",31233,"01","BUDAPEST","001","Budapest I.ker.",8,935,451,0,451,0,0,451,,
,"01001008T",31233,,,,,,,,,,,,,"FIDESZ-KDNP",208
,"01001008T",31233,,,,,,,,,,,,,"EGYÜTT-PM",72
,"01001008T",31233,,,,,,,,,,,,,"LMP",49
,"01001008T",31233,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",43
,"01001008T",31233,,,,,,,,,,,,,"JOBBIK",40
,"01001008T",31233,,,,,,,,,,,,,"MSZP",38
,"01001008T",31233,,,,,,,,,,,,,"SMS",1
,"01001008T",31233,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001009F",31234,"01","BUDAPEST","001","Budapest I.ker.",9,1098,538,0,538,0,3,535,,
,"01001009T",31234,,,,,,,,,,,,,"FIDESZ-KDNP",274
,"01001009T",31234,,,,,,,,,,,,,"LMP",58
,"01001009T",31234,,,,,,,,,,,,,"EGYÜTT-PM",56
,"01001009T",31234,,,,,,,,,,,,,"JOBBIK",54
,"01001009T",31234,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",51
,"01001009T",31234,,,,,,,,,,,,,"MSZP",40
,"01001009T",31234,,,,,,,,,,,,,"SMS",1
,"01001009T",31234,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001010F",31235,"01","BUDAPEST","001","Budapest I.ker.",10,1004,513,0,513,0,4,509,,
,"01001010T",31235,,,,,,,,,,,,,"FIDESZ-KDNP",253
,"01001010T",31235,,,,,,,,,,,,,"EGYÜTT-PM",70
,"01001010T",31235,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",64
,"01001010T",31235,,,,,,,,,,,,,"MSZP",51
,"01001010T",31235,,,,,,,,,,,,,"LMP",35
,"01001010T",31235,,,,,,,,,,,,,"JOBBIK",34
,"01001010T",31235,,,,,,,,,,,,,"SMS",2
,"01001010T",31235,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001011F",31236,"01","BUDAPEST","001","Budapest I.ker.",11,1038,541,0,540,-1,1,539,,
,"01001011T",31236,,,,,,,,,,,,,"FIDESZ-KDNP",261
,"01001011T",31236,,,,,,,,,,,,,"EGYÜTT-PM",102
,"01001011T",31236,,,,,,,,,,,,,"LMP",68
,"01001011T",31236,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",41
,"01001011T",31236,,,,,,,,,,,,,"JOBBIK",36
,"01001011T",31236,,,,,,,,,,,,,"MSZP",29
,"01001011T",31236,,,,,,,,,,,,,"SMS",1
,"01001011T",31236,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001012F",31237,"01","BUDAPEST","001","Budapest I.ker.",12,1061,510,1,510,0,4,506,,
,"01001012T",31237,,,,,,,,,,,,,"FIDESZ-KDNP",264
,"01001012T",31237,,,,,,,,,,,,,"EGYÜTT-PM",70
,"01001012T",31237,,,,,,,,,,,,,"LMP",53
,"01001012T",31237,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001012T",31237,,,,,,,,,,,,,"JOBBIK",37
,"01001012T",31237,,,,,,,,,,,,,"MSZP",32
,"01001012T",31237,,,,,,,,,,,,,"A HAZA NEM ELADÓ",2
,"01001012T",31237,,,,,,,,,,,,,"SMS",0
"Belföldi","01001013F",31238,"01","BUDAPEST","001","Budapest I.ker.",13,1095,568,0,568,0,6,562,,
,"01001013T",31238,,,,,,,,,,,,,"FIDESZ-KDNP",319
,"01001013T",31238,,,,,,,,,,,,,"EGYÜTT-PM",69
,"01001013T",31238,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001013T",31238,,,,,,,,,,,,,"LMP",47
,"01001013T",31238,,,,,,,,,,,,,"JOBBIK",41
,"01001013T",31238,,,,,,,,,,,,,"MSZP",36
,"01001013T",31238,,,,,,,,,,,,,"SMS",2
,"01001013T",31238,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001014F",31239,"01","BUDAPEST","001","Budapest I.ker.",14,1008,498,0,498,0,0,498,,
,"01001014T",31239,,,,,,,,,,,,,"FIDESZ-KDNP",249
,"01001014T",31239,,,,,,,,,,,,,"EGYÜTT-PM",80
,"01001014T",31239,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",61
,"01001014T",31239,,,,,,,,,,,,,"LMP",51
,"01001014T",31239,,,,,,,,,,,,,"MSZP",32
,"01001014T",31239,,,,,,,,,,,,,"JOBBIK",25
,"01001014T",31239,,,,,,,,,,,,,"SMS",0
,"01001014T",31239,,,,,,,,,,,,,"A HAZA NEM ELADÓ",0
"Belföldi","01001015F",31240,"01","BUDAPEST","001","Budapest I.ker.",15,995,518,0,518,0,1,517,,
,"01001015T",31240,,,,,,,,,,,,,"FIDESZ-KDNP",248
,"01001015T",31240,,,,,,,,,,,,,"EGYÜTT-PM",81
,"01001015T",31240,,,,,,,,,,,,,"LMP",57
,"01001015T",31240,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",48
,"01001015T",31240,,,,,,,,,,,,,"MSZP",45
,"01001015T",31240,,,,,,,,,,,,,"JOBBIK",37
,"01001015T",31240,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
,"01001015T",31240,,,,,,,,,,,,,"SMS",0
"Belföldi","01001016F",31241,"01","BUDAPEST","001","Budapest I.ker.",16,983,563,0,563,0,2,561,,
,"01001016T",31241,,,,,,,,,,,,,"FIDESZ-KDNP",286
,"01001016T",31241,,,,,,,,,,,,,"EGYÜTT-PM",78
,"01001016T",31241,,,,,,,,,,,,,"LMP",78
,"01001016T",31241,,,,,,,,,,,,,"DEMOKRATIKUS KOALÍCIÓ",55
,"01001016T",31241,,,,,,,,,,,,,"JOBBIK",38
,"01001016T",31241,,,,,,,,,,,,,"MSZP",24
,"01001016T",31241,,,,,,,,,,,,,"SMS",1
,"01001016T",31241,,,,,,,,,,,,,"A HAZA NEM ELADÓ",1
"Belföldi","01001017F",31242,"01","BUDAPEST","001","Budapest I.ker.",17,1061,526,0,526,0,1,525,,
,"01001017T",31242,,,,,,,,,,,,,"FIDESZ-KDNP",244
,"01001017T",31242,,,,,,,,,,,,,"EGYÜTT-PM",90
