ci|tid| sid|        li|list_name                                                                                   |votes
01|001|0001|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0001|         2|CENTRUM                                                                                     |        36
01|001|0001|         3|MUNKÁSPÁRT                                                                                  |         6
01|001|0001|         4|MSZP                                                                                        |       164
01|001|0001|         5|SZDSZ                                                                                       |        72
01|001|0001|         6|MIÉP                                                                                        |        52
01|001|0001|         7|FIDESZ MDF                                                                                  |       188
01|001|0002|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0002|         2|CENTRUM                                                                                     |        37
01|001|0002|         3|MUNKÁSPÁRT                                                                                  |         7
01|001|0002|         4|MSZP                                                                                        |       204
01|001|0002|         5|SZDSZ                                                                                       |        95
01|001|0002|         6|MIÉP                                                                                        |        66
01|001|0002|         7|FIDESZ MDF                                                                                  |       282
01|001|0003|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0003|         2|CENTRUM                                                                                     |        44
01|001|0003|         3|MUNKÁSPÁRT                                                                                  |        12
01|001|0003|         4|MSZP                                                                                        |       240
01|001|0003|         5|SZDSZ                                                                                       |        97
01|001|0003|         6|MIÉP                                                                                        |        74
01|001|0003|         7|FIDESZ MDF                                                                                  |       317
01|001|0004|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         0
01|001|0004|         2|CENTRUM                                                                                     |        31
01|001|0004|         3|MUNKÁSPÁRT                                                                                  |         2
01|001|0004|         4|MSZP                                                                                        |       148
01|001|0004|         5|SZDSZ                                                                                       |        38
01|001|0004|         6|MIÉP                                                                                        |        69
01|001|0004|         7|FIDESZ MDF                                                                                  |       218
01|001|0005|         1|FÜGGETLEN KISGAZDAPÁRT                                                                      |         1
01|001|0005|         2|CENTRUM                                                                                     |        25
01|001|0005|         3|MUNKÁSPÁRT                                                                                  |         7
01|001|0005|         4|MSZP                                                                                        |       148
01|001|0005|         5|SZDSZ                                                                                       |        91
01|001|0005|         6|MIÉP                                                                                        |        59
