ci|tid|sid|li|list_name                                                                                   |votes  |ts|orgs
01|001|001|01|MSZP                                                                                        |0000076| 1|MSZP                                                        
01|001|001|02|JOBBIK                                                                                      |0000062| 1|Jobbik                                                      
01|001|001|03|LEHET MÁS A POLITIKA                                                                        |0000086| 1|LEHET MÁS A POLITIKA                                        
01|001|001|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000027| 1|MDF                                                         
01|001|001|05|FIDESZ-KDNP                                                                                 |0000332| 2|FIDESZ,KDNP                                                 
01|001|002|01|MSZP                                                                                        |0000105| 1|MSZP                                                        
01|001|002|02|JOBBIK                                                                                      |0000039| 1|Jobbik                                                      
01|001|002|03|LEHET MÁS A POLITIKA                                                                        |0000060| 1|LEHET MÁS A POLITIKA                                        
01|001|002|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000025| 1|MDF                                                         
01|001|002|05|FIDESZ-KDNP                                                                                 |0000337| 2|FIDESZ,KDNP                                                 
01|001|003|01|MSZP                                                                                        |0000137| 1|MSZP                                                        
01|001|003|02|JOBBIK                                                                                      |0000045| 1|Jobbik                                                      
01|001|003|03|LEHET MÁS A POLITIKA                                                                        |0000103| 1|LEHET MÁS A POLITIKA                                        
01|001|003|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000049| 1|MDF                                                         
01|001|003|05|FIDESZ-KDNP                                                                                 |0000343| 2|FIDESZ,KDNP                                                 
01|001|004|01|MSZP                                                                                        |0000113| 1|MSZP                                                        
01|001|004|02|JOBBIK                                                                                      |0000059| 1|Jobbik                                                      
01|001|004|03|LEHET MÁS A POLITIKA                                                                        |0000071| 1|LEHET MÁS A POLITIKA                                        
01|001|004|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000034| 1|MDF                                                         
01|001|004|05|FIDESZ-KDNP                                                                                 |0000358| 2|FIDESZ,KDNP                                                 
01|001|005|01|MSZP                                                                                        |0000117| 1|MSZP                                                        
01|001|005|02|JOBBIK                                                                                      |0000118| 1|Jobbik                                                      
01|001|005|03|LEHET MÁS A POLITIKA                                                                        |0000136| 1|LEHET MÁS A POLITIKA                                        
01|001|005|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000038| 1|MDF                                                         
01|001|005|05|FIDESZ-KDNP                                                                                 |0000547| 2|FIDESZ,KDNP                                                 
01|001|006|01|MSZP                                                                                        |0000115| 1|MSZP                                                        
01|001|006|02|JOBBIK                                                                                      |0000031| 1|Jobbik                                                      
01|001|006|03|LEHET MÁS A POLITIKA                                                                        |0000083| 1|LEHET MÁS A POLITIKA                                        
01|001|006|04|MAGYAR DEMOKRATA FÓRUM                                                                      |0000021| 1|MDF                                                         
01|001|006|05|FIDESZ-KDNP                                                                                 |0000325| 2|FIDESZ,KDNP                                                 
01|001|007|01|MSZP                                                                                        |0000107| 1|MSZP                                                        
01|001|007|02|JOBBIK                                                                                      |0000029| 1|Jobbik                                                      
01|001|007|03|LEHET MÁS A POLITIKA                                                                        |0000104| 1|LEHET MÁS A POLITIKA                                        
