"SZAVAZÓKÖR_AZON","JKV_AZONOSÍTÓ","'LISTÁS'","MEGYEKÓD","MEGYE","OEVK","SZÉKHELY","SZH_KER","TELEPÜLÉS_SORSZÁM","TELEPÜLÉS","SZAVAZÓKÖR","VÁLASZTÓPOLGÁR","MEGJELENTEK","URNÁBAN_LEVŐ","ELTÉRÉS","ÉRVÉNYTELEN","ÉRVÉNYES","LISTA_TÍPUS","LISTA","SZAVAZAT","NEMZ_VÁLASZTÓPOLGÁR","NEMZ_MEGJELENTEK","NEMZ_URNÁBAN_LÉVŐ","NEMZ_ELTÉRÉS","NEMZ_ÉRVÉNYTELEN"
"01001001F",227667,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","001",1003,827,827,0,11,816,,,,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",405,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT",326,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","MAGYAR KÉTFARKÚ KUTYA PÁRT",49,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","MI HAZÁNK MOZGALOM",26,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","MEGOLDÁS MOZGALOM",4,,,,,
"01001001T",227667,,,,,,,,,,,,,,,," ","NORMÁLIS ÉLET PÁRTJA",4,,,,,
"01001001T",227667,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS LENGYEL ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001001T",227667,,,,,,,,,,,,,,,,"Nemzetiségi","ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT",1,1,1,1,0,0
"01001002F",227669,"Listás","01","BUDAPEST","01","Budapest","05","001","Budapest I. kerület","002",940,776,776,0,10,766,,,,,,,,
"01001002T",227669,,,,,,,,,,,,,,,," ","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT",372,,,,,
