,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,2013_02_24,camera,ITC11,torino,0,eligible_voters,1765861.0
1,2013_02_24,camera,ITC11,torino,1,issued_ballots,1384995.0
2,2013_02_24,camera,ITC11,torino,2,cpi,2553.0
3,2013_02_24,camera,ITC11,torino,2,cd,3803.0
4,2013_02_24,camera,ITC11,torino,2,fli,15512.0
5,2013_02_24,camera,ITC11,torino,2,ft,2656.0
6,2013_02_24,camera,ITC11,torino,2,fn,3362.0
7,2013_02_24,camera,ITC11,torino,2,fdi,26754.0
8,2013_02_24,camera,ITC11,torino,2,fel,5342.0
9,2013_02_24,camera,ITC11,torino,2,pdl,236649.0
10,2013_02_24,camera,ITC11,torino,2,ld,4894.0
11,2013_02_24,camera,ITC11,torino,2,lega,43701.0
12,2013_02_24,camera,ITC11,torino,2,mir,1229.0
13,2013_02_24,camera,ITC11,torino,2,m5s,391623.0
14,2013_02_24,camera,ITC11,torino,2,pd,357852.0
15,2013_02_24,camera,ITC11,torino,2,pp,12291.0
16,2013_02_24,camera,ITC11,torino,2,rcv,33971.0
17,2013_02_24,camera,ITC11,torino,2,scelta,139310.0
18,2013_02_24,camera,ITC11,torino,2,sel,49455.0
19,2013_02_24,camera,ITC11,torino,2,udc,13694.0
20,2013_02_24,camera,ITC12,vercelli,0,eligible_voters,140516.0
21,2013_02_24,camera,ITC12,vercelli,1,issued_ballots,104893.0
22,2013_02_24,camera,ITC12,vercelli,2,cd,213.0
23,2013_02_24,camera,ITC12,vercelli,2,fli,1087.0
24,2013_02_24,camera,ITC12,vercelli,2,fn,384.0
25,2013_02_24,camera,ITC12,vercelli,2,fdi,1975.0
26,2013_02_24,camera,ITC12,vercelli,2,fel,300.0
27,2013_02_24,camera,ITC12,vercelli,2,pdl,23725.0
28,2013_02_24,camera,ITC12,vercelli,2,ld,573.0
29,2013_02_24,camera,ITC12,vercelli,2,lega,8758.0
30,2013_02_24,camera,ITC12,vercelli,2,mir,138.0
31,2013_02_24,camera,ITC12,vercelli,2,m5s,23731.0
32,2013_02_24,camera,ITC12,vercelli,2,ppa,165.0
33,2013_02_24,camera,ITC12,vercelli,2,pd,25007.0
34,2013_02_24,camera,ITC12,vercelli,2,rcv,1492.0
35,2013_02_24,camera,ITC12,vercelli,2,scelta,9426.0
36,2013_02_24,camera,ITC12,vercelli,2,sel,2049.0
37,2013_02_24,camera,ITC12,vercelli,2,udc,950.0
38,2013_02_24,camera,ITC13,biella,0,eligible_voters,137541.0
39,2013_02_24,camera,ITC13,biella,1,issued_ballots,102868.0
40,2013_02_24,camera,ITC13,biella,2,cd,197.0
41,2013_02_24,camera,ITC13,biella,2,fli,1771.0
42,2013_02_24,camera,ITC13,biella,2,fn,245.0
43,2013_02_24,camera,ITC13,biella,2,fdi,2763.0
44,2013_02_24,camera,ITC13,biella,2,fel,283.0
45,2013_02_24,camera,ITC13,biella,2,pdl,22236.0
46,2013_02_24,camera,ITC13,biella,2,ld,539.0
47,2013_02_24,camera,ITC13,biella,2,lega,5940.0
48,2013_02_24,camera,ITC13,biella,2,mir,318.0
49,2013_02_24,camera,ITC13,biella,2,m5s,25767.0
50,2013_02_24,camera,ITC13,biella,2,ppa,146.0
51,2013_02_24,camera,ITC13,biella,2,pd,23352.0
52,2013_02_24,camera,ITC13,biella,2,rcv,1289.0
53,2013_02_24,camera,ITC13,biella,2,scelta,10372.0
54,2013_02_24,camera,ITC13,biella,2,sel,2046.0
55,2013_02_24,camera,ITC13,biella,2,udc,865.0
56,2013_02_24,camera,ITC14,verbanocusioossola,0,eligible_voters,130040.0
57,2013_02_24,camera,ITC14,verbanocusioossola,1,issued_ballots,92356.0
58,2013_02_24,camera,ITC14,verbanocusioossola,2,cd,167.0
59,2013_02_24,camera,ITC14,verbanocusioossola,2,fli,1043.0
60,2013_02_24,camera,ITC14,verbanocusioossola,2,fn,325.0
61,2013_02_24,camera,ITC14,verbanocusioossola,2,fdi,3642.0
62,2013_02_24,camera,ITC14,verbanocusioossola,2,fel,229.0
63,2013_02_24,camera,ITC14,verbanocusioossola,2,pdl,19906.0
64,2013_02_24,camera,ITC14,verbanocusioossola,2,ld,349.0
65,2013_02_24,camera,ITC14,verbanocusioossola,2,lega,6567.0
66,2013_02_24,camera,ITC14,verbanocusioossola,2,mir,144.0
67,2013_02_24,camera,ITC14,verbanocusioossola,2,m5s,20157.0
68,2013_02_24,camera,ITC14,verbanocusioossola,2,ppa,121.0
69,2013_02_24,camera,ITC14,verbanocusioossola,2,pd,22831.0
70,2013_02_24,camera,ITC14,verbanocusioossola,2,rcv,1519.0
71,2013_02_24,camera,ITC14,verbanocusioossola,2,scelta,8160.0
72,2013_02_24,camera,ITC14,verbanocusioossola,2,sel,2442.0
73,2013_02_24,camera,ITC14,verbanocusioossola,2,udc,677.0
74,2013_02_24,camera,ITC15,novara,0,eligible_voters,280869.0
75,2013_02_24,camera,ITC15,novara,1,issued_ballots,216134.0
76,2013_02_24,camera,ITC15,novara,2,cd,470.0
77,2013_02_24,camera,ITC15,novara,2,fli,2273.0
78,2013_02_24,camera,ITC15,novara,2,fn,847.0
79,2013_02_24,camera,ITC15,novara,2,fdi,6636.0
80,2013_02_24,camera,ITC15,novara,2,fel,660.0
81,2013_02_24,camera,ITC15,novara,2,pdl,49438.0
82,2013_02_24,camera,ITC15,novara,2,ld,1012.0
83,2013_02_24,camera,ITC15,novara,2,lega,13360.0
84,2013_02_24,camera,ITC15,novara,2,mir,257.0
85,2013_02_24,camera,ITC15,novara,2,m5s,50229.0
86,2013_02_24,camera,ITC15,novara,2,ppa,303.0
87,2013_02_24,camera,ITC15,novara,2,pd,49872.0
88,2013_02_24,camera,ITC15,novara,2,rcv,3184.0
89,2013_02_24,camera,ITC15,novara,2,scelta,21408.0
90,2013_02_24,camera,ITC15,novara,2,sel,4786.0
91,2013_02_24,camera,ITC15,novara,2,udc,2135.0
92,2013_02_24,camera,ITC16,cuneo,0,eligible_voters,448042.0
93,2013_02_24,camera,ITC16,cuneo,1,issued_ballots,351945.0
94,2013_02_24,camera,ITC16,cuneo,2,cd,686.0
95,2013_02_24,camera,ITC16,cuneo,2,fli,4098.0
96,2013_02_24,camera,ITC16,cuneo,2,fn,1434.0
97,2013_02_24,camera,ITC16,cuneo,2,fdi,14938.0
98,2013_02_24,camera,ITC16,cuneo,2,fel,754.0
99,2013_02_24,camera,ITC16,cuneo,2,pdl,65852.0
100,2013_02_24,camera,ITC16,cuneo,2,ld,1360.0
101,2013_02_24,camera,ITC16,cuneo,2,lega,24365.0
102,2013_02_24,camera,ITC16,cuneo,2,mir,693.0
103,2013_02_24,camera,ITC16,cuneo,2,m5s,88694.0
104,2013_02_24,camera,ITC16,cuneo,2,ppa,340.0
105,2013_02_24,camera,ITC16,cuneo,2,pd,68544.0
106,2013_02_24,camera,ITC16,cuneo,2,rcv,4992.0
107,2013_02_24,camera,ITC16,cuneo,2,scelta,44699.0
108,2013_02_24,camera,ITC16,cuneo,2,sel,6478.0
109,2013_02_24,camera,ITC16,cuneo,2,udc,7650.0
110,2013_02_24,camera,ITC17,asti,0,eligible_voters,164451.0
111,2013_02_24,camera,ITC17,asti,1,issued_ballots,123006.0
112,2013_02_24,camera,ITC17,asti,2,cd,427.0
113,2013_02_24,camera,ITC17,asti,2,fli,1305.0
114,2013_02_24,camera,ITC17,asti,2,fn,465.0
115,2013_02_24,camera,ITC17,asti,2,fdi,3237.0
116,2013_02_24,camera,ITC17,asti,2,fel,386.0
117,2013_02_24,camera,ITC17,asti,2,pdl,25971.0
118,2013_02_24,camera,ITC17,asti,2,ld,476.0
119,2013_02_24,camera,ITC17,asti,2,lega,6471.0
120,2013_02_24,camera,ITC17,asti,2,mir,125.0
121,2013_02_24,camera,ITC17,asti,2,m5s,31878.0
122,2013_02_24,camera,ITC17,asti,2,ppa,143.0
123,2013_02_24,camera,ITC17,asti,2,pd,26939.0
124,2013_02_24,camera,ITC17,asti,2,rcv,2512.0
125,2013_02_24,camera,ITC17,asti,2,scelta,13652.0
126,2013_02_24,camera,ITC17,asti,2,sel,2533.0
127,2013_02_24,camera,ITC17,asti,2,udc,1692.0
128,2013_02_24,camera,ITC18,alessandria,0,eligible_voters,337333.0
129,2013_02_24,camera,ITC18,alessandria,1,issued_ballots,255546.0
130,2013_02_24,camera,ITC18,alessandria,2,cd,584.0
131,2013_02_24,camera,ITC18,alessandria,2,fli,2960.0
132,2013_02_24,camera,ITC18,alessandria,2,fn,890.0
133,2013_02_24,camera,ITC18,alessandria,2,fdi,5348.0
134,2013_02_24,camera,ITC18,alessandria,2,fel,530.0
135,2013_02_24,camera,ITC18,alessandria,2,pdl,57628.0
136,2013_02_24,camera,ITC18,alessandria,2,ld,1081.0
137,2013_02_24,camera,ITC18,alessandria,2,lega,11435.0
138,2013_02_24,camera,ITC18,alessandria,2,mir,586.0
139,2013_02_24,camera,ITC18,alessandria,2,m5s,68230.0
140,2013_02_24,camera,ITC18,alessandria,2,ppa,284.0
141,2013_02_24,camera,ITC18,alessandria,2,pd,63369.0
142,2013_02_24,camera,ITC18,alessandria,2,rcv,4267.0
143,2013_02_24,camera,ITC18,alessandria,2,scelta,21014.0
144,2013_02_24,camera,ITC18,alessandria,2,sel,5887.0
145,2013_02_24,camera,ITC18,alessandria,2,udc,2600.0
146,2013_02_24,camera,ITC31,imperia,0,eligible_voters,170809.0
147,2013_02_24,camera,ITC31,imperia,1,issued_ballots,122900.0
148,2013_02_24,camera,ITC31,imperia,2,cd,312.0
149,2013_02_24,camera,ITC31,imperia,2,fli,1452.0
