,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,2024_06_09,european,ITC11,torino,0,eligible_voters,1810868
1,2024_06_09,european,ITC11,torino,1,issued_ballots,1006256
2,2024_06_09,european,ITC11,torino,2,avs,87981
3,2024_06_09,european,ITC11,torino,2,ap,3663
4,2024_06_09,european,ITC11,torino,2,azione,32181
5,2024_06_09,european,ITC11,torino,2,fi_nm_ppe,87076
6,2024_06_09,european,ITC11,torino,2,fdi,251999
7,2024_06_09,european,ITC11,torino,2,lega,74128
8,2024_06_09,european,ITC11,torino,2,lib,9133
9,2024_06_09,european,ITC11,torino,2,m5s,89788
10,2024_06_09,european,ITC11,torino,2,ptd,24721
11,2024_06_09,european,ITC11,torino,2,pd,247782
12,2024_06_09,european,ITC11,torino,2,rv,1849
13,2024_06_09,european,ITC11,torino,2,sue,39597
14,2024_06_09,european,ITC12,vercelli,0,eligible_voters,138612
15,2024_06_09,european,ITC12,vercelli,1,issued_ballots,78850
16,2024_06_09,european,ITC12,vercelli,2,avs,3596
17,2024_06_09,european,ITC12,vercelli,2,ap,444
18,2024_06_09,european,ITC12,vercelli,2,azione,2049
19,2024_06_09,european,ITC12,vercelli,2,fi_nm_ppe,7567
20,2024_06_09,european,ITC12,vercelli,2,fdi,26048
21,2024_06_09,european,ITC12,vercelli,2,lega,10083
22,2024_06_09,european,ITC12,vercelli,2,lib,557
23,2024_06_09,european,ITC12,vercelli,2,m5s,4620
24,2024_06_09,european,ITC12,vercelli,2,ptd,1172
25,2024_06_09,european,ITC12,vercelli,2,pd,13853
26,2024_06_09,european,ITC12,vercelli,2,rv,177
27,2024_06_09,european,ITC12,vercelli,2,sue,2545
28,2024_06_09,european,ITC13,biella,0,eligible_voters,149164
29,2024_06_09,european,ITC13,biella,1,issued_ballots,88927
30,2024_06_09,european,ITC13,biella,2,avs,4840
31,2024_06_09,european,ITC13,biella,2,ap,327
32,2024_06_09,european,ITC13,biella,2,azione,2542
33,2024_06_09,european,ITC13,biella,2,fi_nm_ppe,8141
34,2024_06_09,european,ITC13,biella,2,fdi,30315
35,2024_06_09,european,ITC13,biella,2,lega,9010
36,2024_06_09,european,ITC13,biella,2,lib,636
37,2024_06_09,european,ITC13,biella,2,m5s,4927
38,2024_06_09,european,ITC13,biella,2,ptd,1507
39,2024_06_09,european,ITC13,biella,2,pd,15049
40,2024_06_09,european,ITC13,biella,2,rv,234
41,2024_06_09,european,ITC13,biella,2,sue,3753
42,2024_06_09,european,ITC14,verbanocusioossola,0,eligible_voters,139527
43,2024_06_09,european,ITC14,verbanocusioossola,1,issued_ballots,75441
44,2024_06_09,european,ITC14,verbanocusioossola,2,avs,4452
45,2024_06_09,european,ITC14,verbanocusioossola,2,ap,253
46,2024_06_09,european,ITC14,verbanocusioossola,2,azione,1818
47,2024_06_09,european,ITC14,verbanocusioossola,2,fi_nm_ppe,6413
48,2024_06_09,european,ITC14,verbanocusioossola,2,fdi,22894
49,2024_06_09,european,ITC14,verbanocusioossola,2,lega,9798
50,2024_06_09,european,ITC14,verbanocusioossola,2,lib,819
51,2024_06_09,european,ITC14,verbanocusioossola,2,m5s,4515
52,2024_06_09,european,ITC14,verbanocusioossola,2,ptd,1259
53,2024_06_09,european,ITC14,verbanocusioossola,2,pd,14198
54,2024_06_09,european,ITC14,verbanocusioossola,2,rv,172
55,2024_06_09,european,ITC14,verbanocusioossola,2,sue,2341
56,2024_06_09,european,ITC15,novara,0,eligible_voters,293631
57,2024_06_09,european,ITC15,novara,1,issued_ballots,171359
58,2024_06_09,european,ITC15,novara,2,avs,9009
59,2024_06_09,european,ITC15,novara,2,ap,746
