Anno evento,Tipo variazione,Sigla automobilistica,Codice Provincia/Uts,Codice Comune,Comune,Codice Uts associato,Sigla automobilistica associata,Codice Comune associato,Comune associato,Provvedimento e Documento,Contenuto del provvedimento,Data evento,,,,,,,
2025,AP-Cambio appartenenza Provincia,SS,90,90001,Aggius,113,OT,113001,Aggius,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,AP-Cambio appartenenza Provincia,SS,90,90002,Alà dei Sardi,113,OT,113003,Alà dei Sardi,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90003,Alghero,312,SS,112001,Alghero,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90004,Anela,312,SS,112002,Anela,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90005,Ardara,312,SS,112003,Ardara,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,AP-Cambio appartenenza Provincia,SS,90,90006,Arzachena,113,OT,113004,Arzachena,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90007,Banari,312,SS,112004,Banari,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90008,Benetutti,312,SS,112005,Benetutti,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,AP-Cambio appartenenza Provincia,SS,90,90009,Berchidda,113,OT,113006,Berchidda,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
2025,RN-Rinumerazione del codice statistico,SS,90,90010,Bessude,312,SS,112006,Bessude,L. R. N. 7 del 12/04/2021; B.U.R.A.S. N. 24 - PARTE I-II del 15/04/2021,"ISTITUITE LA CITTA' METROPOLITANA DI SASSARI E LA PROVINCIA GALLURA NORD-EST SARDEGNA (L.R. 9/2023, ART. 120, COMMA 1) CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DI SASSARI: ISTITUITE LE PROVINCE DEL MEDIO CAMPIDANO E DEL SULCIS IGLESIENTE CON I COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA; MODIFICATE LE CIRCOSCRIZIONI TERRITORIALI DELLA CITTA' METROPOLITANA DI CAGLIARI PER INCORPORAZIONE DEI COMUNI DISTACCATI DALLA SOPPRESSA PROVINCIA DEL SUD SARDEGNA E DELLA PROVINCIA DI NUORO PER DISTACCO DEI COMUNI COSTITUENTI LA NUOVA PROVINCIA DELL'OGLIASTRA E PER ACQUISIZIONE DI UN COMUNE CEDUTO DALLA CESSATA PROVINCIA DEL SUD SARDEGNA.
(SI CONFRONTI DELIBERA DELLA GIUNTA REGIONALE N. 36/34 DEL 19 LUGLIO 2025 PUBBLICATA SU BURAS N. 39- PARTE I-II, DEL 17 LUGLIO 2025.  APPROVAZIONE DELL'ASSETTO TERRITORIALE DEFINITIVO DELLA REGIONE SARDEGNA, AI SENSI DELL'ART. 6, COMMA 5 DELLA L.R. N.7/21)",17/07/2025,,,,,,,
