"DESCRCIRC";"DESCRREG";"DESCRPROV";"DESCRCOMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"LISTA EMMA BONINO";"19"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"CENTRO CRIST.DEM.";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"PRI-LIB-ELDR.";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"PPI (POP)";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"SDI";"17"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"PARTITO PENSIONATI";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"DEMOCRATICI SINISTRA";"50"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"U.D.EUR";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"RINNOVAMENTO IT-DINI";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"COMUNISTI ITALIANI";"3"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"MOV.SOC.TRICOLORE";"7"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"FED.DEI VERDI";"0"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"CDU";"2"
"ITALIA MERIDIONALE";"ABRUZZO";"L'AQUILA";"GAGLIANO ATERNO";563;;247;;27;"LS.CITO LG.AZ.MERID.";"2"
