"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"ALLEANZA NAZIONALE";"123"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"AB.SCORP.VERDI VERDI";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"COMUNISTI ITALIANI";"9"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"FORZA ITALIA";"138"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"FIAMMA TRICOLORE";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"FED.DEI VERDI";"6"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITA D'ANTINO";1055;506;687;345;51;"DIPIETRO OCCHETTO";"10"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"ALLEANZA NAZIONALE";"23"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"ALTERNATIVA SOCIALE";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"COMUNISTI ITALIANI";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"UNIONE DI CENTRO";"14"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"AB.SCORP.VERDI VERDI";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"FIAMMA TRICOLORE";"6"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"P.SEGNI SCOGNAMIGLIO";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"FORZA ITALIA";"16"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"FED.DEI VERDI";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"PRI I LIBERAL SGARBI";"2"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"UNITI NELL'ULIVO";"71"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"PARTITO PENSIONATI";"4"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"MOV.IDEA SOC. RAUTI";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"A.P. UDEUR";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"SOCIALISTI UNITI";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"LEGA NORD";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"DIPIETRO OCCHETTO";"4"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"LISTA EMMA BONINO";"4"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"PAESE NUOVO";"1"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"ALLEANZA LOMBARDA AUTONOMIA";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ALFEDENA";261;135;207;114;16;"RIFONDAZIONE COMUNISTA";"26"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"PAESE NUOVO";"0"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"P.SEGNI SCOGNAMIGLIO";"3"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"FED.DEI VERDI";"17"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"FIAMMA TRICOLORE";"20"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"FORZA ITALIA";"525"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"COMUNISTI ITALIANI";"28"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"AB.SCORP.VERDI VERDI";"7"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALLEANZA NAZIONALE";"293"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"PARTITO PENSIONATI";"21"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALLEANZA LOMBARDA AUTONOMIA";"8"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"ALTERNATIVA SOCIALE";"45"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"UNITI NELL'ULIVO";"294"
"ITALIA MERIDIONALE";"Abruzzi";"L'Aquila ";"CIVITELLA ROVETO";2779;1392;2102;1058;124;"PRI I LIBERAL SGARBI";"8"
