"DATA_ELEZIONE";"TIPO_ELEZIONE";"CIRCOSCRIZIONE";"REGIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDEBIANCHE";"LISTA";"VOTI_LISTA"
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"LEGA SALVINI PREMIER";3985
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"FORZA NUOVA";20
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"POPOLARI PER L'ITALIA";11
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"PARTITO COMUNISTA";115
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"PARTITO DEMOCRATICO";1807
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE";35
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"LA SINISTRA";140
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"+EUROPA - ITALIA IN COMUNE - PDE ITALIA";267
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"EUROPA VERDE";180
26/5/2019 00:00:00;"E";"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";16186;7476;9882;4720;137;"MOVIMENTO 5 STELLE";1263
