"DATA_ELEZIONE";"DESCCIRCEUROPEA";"DESCREGIONE";"DESCPROVINCIA";"DESCCOMUNE";"ELETTORI";"ELETTORI_M";"ELETTORI_F";"VOTANTI";"VOTANTI_M";"VOTANTI_F";"NUMSCHEDEBIANCHE";"NUMSCHEDECONTESTAT";"DESCLISTA";"NUMVOTI"
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"FORZA ITALIA - NOI MODERATI - PPE";787
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"ALTERNATIVA POPOLARE";20
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"AZIONE - SIAMO EUROPEI";202
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"PARTITO DEMOCRATICO";1626
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"ALLEANZA VERDI E SINISTRA";470
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"FRATELLI D'ITALIA";2144
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"LIBERTA'";70
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"PACE TERRA DIGNITA'";156
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"MOVIMENTO 5 STELLE";637
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"LEGA SALVINI PREMIER";1261
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"STATI UNITI D'EUROPA";404
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ACQUI TERME";15640;7255;8385;8334;3994;4340;168;1;"RASSEMBLEMENT VALDÔTAIN";9
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"PACE TERRA DIGNITA'";6
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"ALLEANZA VERDI E SINISTRA";11
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"PARTITO DEMOCRATICO";17
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"AZIONE - SIAMO EUROPEI";7
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"ALTERNATIVA POPOLARE";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"LIBERTA'";1
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"FRATELLI D'ITALIA";68
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"STATI UNITI D'EUROPA";5
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"LEGA SALVINI PREMIER";39
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"MOVIMENTO 5 STELLE";9
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"FORZA ITALIA - NOI MODERATI - PPE";14
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALBERA LIGURE";354;186;168;201;109;92;14;0;"RASSEMBLEMENT VALDÔTAIN";0
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"ALTERNATIVA POPOLARE";98
9/6/2024 00:00:00;"I : ITALIA NORD-OCCIDENTALE";"PIEMONTE";"ALESSANDRIA";"ALESSANDRIA";72147;34287;37860;34116;16469;17647;383;0;"AZIONE - SIAMO EUROPEI";1687
