,teryt_code,eligible_voters,issued_ballots,PO,PPP,SAMOOBRONA,SLDUP,UPR,NKWW,IDP,WSP,PIS,LPR,OKO,UW,PSL,KPEIRPLD,RACJA,PPN,ROB,ZIELONI,NOP,RDP,DPL
0,T_2201,57067,9803,2741,73,1494,507,106,199,52,432,582,1262,33,425,1447,77,0,0,0,0,0,0,0
1,T_2202,69350,13464,3207,102,2096,864,308,389,73,456,1001,3175,51,642,480,110,0,0,0,0,0,0,0
2,T_2203,45298,7933,1604,101,1535,830,114,129,84,444,550,899,46,533,460,103,0,0,0,0,0,0,0
3,T_2204,61118,12320,4599,82,1147,619,224,531,101,672,1248,1379,71,845,346,85,0,0,0,0,0,0,0
4,T_2205,74414,17971,7663,116,2482,505,142,371,47,374,1472,3228,31,409,434,140,0,0,0,0,0,0,0
5,T_2206,49719,10279,3544,52,1261,413,76,167,40,346,1113,1768,21,791,284,42,0,0,0,0,0,0,0
6,T_2207,61946,10025,3550,86,1355,699,163,193,59,474,767,1158,38,483,281,366,0,0,0,0,0,0,0
7,T_2208,48853,9289,2400,81,1288,739,127,112,63,631,690,2026,30,493,204,85,0,0,0,0,0,0,0
8,T_2209,49946,9053,2411,69,1164,854,182,227,55,536,809,1120,52,636,509,119,0,0,0,0,0,0,0
9,T_2210,28218,4773,1148,29,909,303,59,112,33,215,377,483,22,474,276,120,0,0,0,0,0,0,0
10,T_2211,55373,12687,5105,78,1385,567,155,624,69,623,831,1646,57,754,272,139,0,0,0,0,0,0,0
11,T_2212,71846,9569,1871,80,1626,750,163,173,153,697,611,1359,59,783,725,122,0,0,0,0,0,0,0
12,T_2213,91051,17120,4334,136,2517,1050,163,433,109,735,1672,2753,93,1028,997,368,0,0,0,0,0,0,0
13,T_2214,85609,16956,4587,130,1687,1630,201,437,179,717,2514,2310,86,1273,404,178,0,0,0,0,0,0,0
14,T_2215,130817,31411,11339,157,2441,1224,454,1162,169,1372,3613,5468,135,2087,585,253,0,0,0,0,0,0,0
15,T_2216,33632,4999,1100,53,758,385,84,94,36,214,384,459,29,200,873,65,0,0,0,0,0,0,0
16,T_2261,363068,115194,45986,315,3998,5783,2353,5096,1091,7370,17197,12565,398,9766,698,774,0,0,0,0,0,0,0
17,T_2262,200552,63408,25205,200,2041,4232,1658,2158,598,4560,7232,7395,258,5386,396,1010,0,0,0,0,0,0,0
18,T_2263,78383,16750,4264,81,1257,1812,301,265,245,1312,1400,2915,57,2058,289,124,0,0,0,0,0,0,0
19,T_2264,33818,13347,5869,19,295,615,205,618,102,1012,1871,1230,40,1199,66,61,0,0,0,0,0,0,0
20,T_2299,324,283,86,4,14,9,11,5,4,19,39,10,1,21,8,1,0,0,0,0,0,0,0
21,T_0401,44186,8178,1365,44,1237,753,96,42,42,257,1505,1064,28,625,721,94,0,0,0,0,0,0,0
