,teryt_code,eligible_voters,issued_ballots,UPR,PSL,SAMOOBRONA,PPP,LIBERTAS,SLDUP,ZIELONI,PRAWICA,PO,PIS,PPS,PIAST
0,T_0201,71252,13924,145,718,304,139,128,2101,225,165,6477,3216,0,0
1,T_0202,87805,18422,208,601,386,207,255,2788,469,196,8542,4405,0,0
2,T_0203,72147,15533,164,451,244,344,180,2395,268,178,7060,3968,0,0
3,T_0204,28935,4135,60,426,223,41,59,475,90,40,1700,884,0,0
4,T_0205,42638,7938,70,672,224,98,129,1151,160,79,3240,1931,0,0
5,T_0206,52797,10769,152,695,182,80,120,1374,202,133,5597,1947,0,0
6,T_0207,37441,7522,79,400,141,69,75,913,540,91,3385,1641,0,0
7,T_0208,139095,28162,350,2759,709,290,513,3623,490,332,12326,6145,0,0
8,T_0209,42796,7802,91,724,251,102,139,885,149,127,3171,1954,0,0
9,T_0210,46960,9058,76,1031,194,77,80,1642,154,124,3514,1952,0,0
10,T_0211,86234,19267,161,852,255,116,150,2486,416,184,8824,5472,0,0
11,T_0212,38696,6917,74,861,129,85,78,943,98,107,2718,1622,0,0
12,T_0213,29292,5541,71,537,137,53,132,919,130,56,2002,1367,0,0
13,T_0214,83151,16784,192,859,327,149,161,2687,381,139,6955,4582,0,0
14,T_0215,58326,13897,112,426,225,103,186,1627,260,143,6876,3700,0,0
15,T_0216,48366,8954,82,429,306,86,81,950,155,150,4109,2388,0,0
16,T_0217,36747,6928,61,585,237,140,87,958,127,75,2748,1755,0,0
17,T_0218,39952,6966,93,557,165,58,120,872,182,86,2976,1713,0,0
18,T_0219,131472,28856,320,1072,517,338,332,3660,630,322,13923,7224,0,0
19,T_0220,62597,12271,155,671,260,109,180,1496,321,121,5699,3048,0,0
20,T_0221,149180,31422,247,648,405,280,251,5129,967,306,17134,5479,0,0
21,T_0222,40055,7922,81,378,190,101,131,1034,179,97,3670,1855,0,0
22,T_0223,85009,19631,253,932,346,136,318,1930,622,275,9688,4807,0,0
23,T_0224,56354,10749,177,1058,364,137,151,1301,216,137,4327,2583,0,0
