,teryt_code,eligible_voters,issued_ballots,SOLIDARNA,RN,SLDUP,PIS,EPTR,GOWIN,NP,PO,PSL,DB,SAMOOBRONA,ZIELONI
0,T_0201,71346,14137,669,208,1791,3819,853,264,1045,4393,552,0,0,0
1,T_0202,85536,17564,776,225,2133,5178,460,394,1134,5817,869,0,0,0
2,T_0203,71426,16068,553,185,2260,5448,428,328,1142,4730,435,0,0,0
3,T_0204,28813,4146,194,46,363,1079,93,59,259,1040,842,0,0,0
4,T_0205,42300,7348,374,111,911,2034,200,149,410,2043,834,0,0,0
5,T_0206,52485,10773,457,128,1467,2425,398,239,669,4058,468,0,0,0
6,T_0207,36764,7132,292,102,914,2163,235,148,362,2405,210,0,0,0
7,T_0208,135120,25957,1189,340,3345,6855,771,579,1554,9008,1309,0,0,0
8,T_0209,43265,7928,404,127,774,2343,224,175,510,2146,908,0,0,0
9,T_0210,46048,8515,583,122,1453,2049,275,153,507,2646,368,0,0,0
10,T_0211,85286,19701,608,328,2133,7529,600,369,1250,5555,733,0,0,0
11,T_0212,38296,6421,354,109,854,1679,253,115,428,1946,378,0,0,0
12,T_0213,29761,5312,485,49,550,1592,130,116,307,1557,324,0,0,0
13,T_0214,84919,16209,1568,174,2007,3822,403,332,1155,5573,594,0,0,0
14,T_0215,59806,13431,621,182,1428,4115,277,309,962,4732,380,0,0,0
15,T_0216,49233,9824,414,125,945,4060,252,177,647,2260,508,0,0,0
16,T_0217,36656,6921,312,79,689,2128,180,145,389,1811,918,0,0,0
17,T_0218,41482,7298,337,104,770,1932,211,173,592,2434,505,0,0,0
18,T_0219,129954,26809,1154,308,3055,7372,811,498,1844,10087,764,0,0,0
19,T_0220,65533,13245,620,155,1320,3647,300,315,880,4913,607,0,0,0
20,T_0221,46704,8353,329,99,1366,1916,308,156,446,3141,296,0,0,0
21,T_0222,39854,7791,435,106,845,2144,220,133,517,2814,274,0,0,0
22,T_0223,97114,23927,936,253,2027,6391,623,805,1992,9138,1082,0,0,0
23,T_0224,55314,10168,554,100,1108,2797,382,223,536,3291,744,0,0,0
24,T_0225,75513,14432,684,193,1653,4328,438,252,873,5007,421,0,0,0
25,T_0226,36670,6431,338,93,717,1804,224,137,369,1918,535,0,0,0
26,T_0261,67145,17017,580,123,2515,4193,698,367,945,6713,358,0,0,0
27,T_0262,80324,18467,778,223,2494,5425,789,487,1247,6133,414,0,0,0
28,T_0264,500854,166517,4805,1805,19620,41948,5327,4555,12994,70070,2108,0,0,0
29,T_0265,94840,19353,595,188,3357,4223,594,265,936,8317,300,0,0,0
30,T_0401,45113,9113,245,109,1366,2648,375,143,494,2432,922,0,0,0
31,T_0402,61007,11579,330,108,1187,3164,312,163,557,2493,2855,0,0,0
32,T_0403,85143,20160,432,215,5241,4184,838,522,1405,4923,1657,0,0,0
33,T_0404,40478,7321,217,86,1213,2118,253,131,449,1846,720,0,0,0
34,T_0405,35948,6377,199,63,1185,1871,177,111,342,1315,831,0,0,0
35,T_0406,31418,4888,142,83,637,1431,142,89,283,1053,782,0,0,0
36,T_0407,132930,27014,1407,255,5111,6640,1103,386,1377,6972,2563,0,0,0
37,T_0408,52819,10123,282,89,1382,2452,196,114,404,1408,3250,0,0,0
38,T_0409,37461,6649,211,88,1114,1402,182,112,332,1480,1428,0,0,0
39,T_0410,68543,14577,276,119,4357,3082,425,246,740,3122,1500,0,0,0
40,T_0411,34577,5185,170,54,800,1624,145,67,319,873,845,0,0,0
