,teryt_code,eligible_voters,issued_ballots,KE,LEWICA,POLEXIT,JEDNOSC,PIS,EC,WIOSNA,KONFEDERACJA,KUKIZ15,GWIAZDOWSKI
0,T_0201,69763,27757,10701,347,0,0,12050,0,1673,1578,1144,0
1,T_0202,81007,33205,12884,417,0,0,14603,0,2170,1642,1197,0
2,T_0203,69155,30749,12114,442,0,0,13470,0,1884,1328,1262,0
3,T_0204,27730,9285,3093,124,0,0,4694,0,531,370,354,0
4,T_0205,40606,16034,5800,184,0,0,7538,0,968,726,650,0
5,T_0206,50977,21551,10508,440,0,0,6935,0,1717,1005,719,0
6,T_0207,35050,13570,5762,197,0,0,5566,0,881,532,502,0
7,T_0208,130272,52026,22010,670,0,0,21816,0,2826,2433,1814,0
8,T_0209,42842,17340,5854,209,0,0,8618,0,959,817,700,0
9,T_0210,44037,17356,7392,226,0,0,7014,0,1080,815,664,0
10,T_0211,82373,37372,12769,428,0,0,18007,0,2112,1912,1870,0
11,T_0212,36927,13595,5396,193,0,0,5794,0,834,670,541,0
12,T_0213,29315,11239,4022,126,0,0,5603,0,551,478,351,0
13,T_0214,84047,34221,13985,470,0,0,14216,0,2186,1704,1328,0
14,T_0215,59351,27501,10757,313,0,0,11856,0,1677,1521,1179,0
15,T_0216,48216,19384,5470,285,0,0,10506,0,1040,996,865,0
16,T_0217,35728,14655,4958,172,0,0,7403,0,685,686,607,0
17,T_0218,42500,17251,6439,193,0,0,7878,0,1027,850,724,0
18,T_0219,124794,54707,22293,717,0,0,21574,0,4718,2683,2286,0
19,T_0220,66517,29304,11477,339,0,0,12725,0,1807,1582,1124,0
20,T_0221,44766,17818,8096,239,0,0,6426,0,1498,747,633,0
21,T_0222,38587,15236,5647,194,0,0,7036,0,855,820,518,0
22,T_0223,110356,55957,25045,662,0,0,19739,0,4430,3239,2542,0
23,T_0224,52963,20479,7778,255,0,0,9718,0,974,732,826,0
24,T_0225,71752,28117,11407,366,0,0,11440,0,1641,1257,1722,0
25,T_0226,34986,13456,5417,177,0,0,5870,0,766,558,519,0
26,T_0261,62671,30077,15844,383,0,0,9052,0,2349,1338,901,0
27,T_0262,75449,33384,14276,456,0,0,13315,0,2442,1505,1198,0
28,T_0264,485846,272464,136307,4201,0,0,80244,0,24248,15842,10338,0
29,T_0265,85857,36059,18437,512,0,0,11440,0,2808,1298,1347,0
30,T_0401,45915,18885,7390,216,0,0,8665,0,999,637,767,0
31,T_0402,61052,23114,7293,209,0,0,10253,0,859,524,3731,0
32,T_0403,89297,39689,19640,408,0,0,13225,0,2681,1931,1459,0
33,T_0404,39462,14535,5918,195,0,0,6051,0,920,563,740,0
34,T_0405,35680,12672,4102,164,0,0,6443,0,632,404,795,0
35,T_0406,31123,10091,3481,132,0,0,4999,0,533,369,482,0
36,T_0407,128129,52770,26431,466,0,0,20002,0,2376,1645,1356,0
37,T_0408,52068,17289,6516,165,0,0,8690,0,693,457,542,0
38,T_0409,36851,13396,5489,141,0,0,5953,0,694,515,448,0
39,T_0410,67021,26195,12005,298,0,0,10614,0,1246,865,881,0
40,T_0411,33644,11563,3430,140,0,0,6594,0,546,316,383,0
41,T_0412,34652,11802,3914,125,0,0,6156,0,578,351,579,0
42,T_0413,31920,11436,4385,169,0,0,5127,0,678,414,522,0
43,T_0414,76029,27569,11395,329,0,0,11746,0,1611,1076,1045,0
44,T_0415,81074,32429,13839,404,0,0,13135,0,2049,1371,1356,0
45,T_0416,37665,15033,5218,140,0,0,7608,0,657,624,568,0
46,T_0417,26767,9054,3599,137,0,0,3863,0,564,337,458,0
47,T_0418,69976,23520,8075,319,0,0,12036,0,1273,693,815,0
48,T_0419,55186,20630,8491,222,0,0,9146,0,1086,738,650,0
49,T_0461,262817,134674,71087,1348,0,0,43345,0,8692,5688,3873,0
50,T_0462,69974,28597,14835,285,0,0,9587,0,1907,947,848,0
51,T_0463,150200,78172,40496,1113,0,0,24951,0,5504,3283,2413,0
52,T_0464,87059,36320,18333,408,0,0,12219,0,2634,1475,983,0
53,T_0601,90071,37635,9899,195,0,0,23322,0,677,1393,1353,246
54,T_0602,83028,36245,7295,179,0,0,24339,0,751,1629,1503,159
55,T_0603,63557,22261,4815,199,0,0,14491,0,607,880,777,127
