,teryt_code,eligible_voters,issued_ballots,PO,LEWICA,TD,KONFEDERACJA,NK,POLEXIT,PLSP,PIS,RNP,BSNPWNE,GSP
0,T_0201,67127,23704,8472,1528,1123,3176,0,74,0,8845,0,296,0
1,T_0202,74455,27877,10524,1675,1486,3095,0,71,0,10509,0,316,0
2,T_0203,65168,25170,8641,2808,1185,2972,0,74,0,9102,0,253,0
3,T_0204,25951,7741,2409,606,367,1010,0,26,0,3169,0,88,0
4,T_0205,37839,13540,4964,692,608,1610,0,41,0,5398,0,130,0
5,T_0206,48906,18906,8533,1735,1132,1906,0,66,0,5110,0,295,0
6,T_0207,32413,11284,4624,881,439,1061,0,35,0,4035,0,135,0
7,T_0208,120332,43160,17715,2712,2361,4312,0,114,0,15166,0,466,0
8,T_0209,41924,15479,5158,812,739,2177,0,58,0,6253,0,166,0
9,T_0210,41173,14277,5284,1286,763,1549,0,42,0,4938,0,309,0
10,T_0211,78575,32500,10513,2427,1522,3952,0,83,0,13128,0,653,0
11,T_0212,34340,11158,4068,877,663,1299,0,38,0,3945,0,179,0
12,T_0213,28264,9278,2720,929,481,1189,0,20,0,3781,0,92,0
13,T_0214,81855,29842,11061,2580,1600,3746,0,81,0,10210,0,348,0
14,T_0215,58049,24246,9150,1698,1000,3420,0,67,0,8468,0,326,0
15,T_0216,46565,16574,4210,1056,820,2407,0,55,0,7650,0,221,0
16,T_0217,34164,12915,3616,1556,470,1665,0,24,0,5348,0,126,0
17,T_0218,43888,17652,6365,1148,962,2546,0,59,0,6242,0,197,0
18,T_0219,117109,45935,18262,3915,1800,4980,0,107,0,16010,0,567,0
19,T_0220,66974,28226,10740,2062,1172,3870,0,101,0,9762,0,315,0
20,T_0221,41683,14864,7136,986,499,1415,0,60,0,4526,0,148,0
21,T_0222,36836,13730,4733,1129,533,1740,0,26,0,5267,0,185,0
22,T_0223,125378,60518,26724,5193,3206,8488,0,134,0,15686,0,813,0
23,T_0224,49393,17153,5192,896,1958,1758,0,45,0,6982,0,179,0
24,T_0225,66840,23778,8429,1947,1087,2930,0,71,0,8761,0,350,0
25,T_0226,32457,11220,3920,972,513,1404,0,26,0,4176,0,130,0
26,T_0261,57613,23993,11533,2482,1055,2249,0,53,0,6283,0,218,0
27,T_0262,69040,27315,11294,2256,1126,3280,0,48,0,8923,0,289,0
28,T_0264,480412,247834,112989,35381,12279,27003,0,470,0,55938,0,3008,0
29,T_0265,75801,28763,15276,2198,691,2321,0,68,0,7823,0,228,0
30,T_0401,44505,16190,6264,625,1066,1815,0,39,51,6024,0,196,0
31,T_0402,59233,19006,5381,478,3645,2085,0,50,38,7083,0,125,0
32,T_0403,93390,36649,18385,1392,2752,4181,0,109,90,9174,0,350,0
33,T_0404,37590,11831,4590,397,979,1354,0,44,44,4155,0,159,0
34,T_0405,34244,10078,2816,304,1154,1347,0,33,23,4229,0,94,0
35,T_0406,30465,8726,2400,283,1187,1155,0,24,32,3479,0,97,0
36,T_0407,119330,40097,18667,1556,2609,3855,0,99,83,12529,0,420,0
37,T_0408,49705,13913,3383,486,2659,1499,0,36,43,5578,0,94,0
38,T_0409,34989,10719,3780,612,1038,1224,0,26,20,3801,0,104,0
39,T_0410,64838,21387,9268,700,1413,2415,0,63,64,7036,0,210,0
40,T_0411,31593,9073,2419,334,864,1040,0,38,23,4213,0,76,0
41,T_0412,33326,9407,2951,270,1075,944,0,28,16,3989,0,59,0
