,teryt_code,eligible_voters,issued_ballots,Grabowski,Ikonowicz,Kalinowski,KorwinMikke,Krzaklewski,Kwasniewski,Lepper,Lopuszanski,Olechowski,Pawlowski,Walesa,Wilecki
0,T_0201,66974,39204,185,55,1198,420,5053,23752,1293,403,5946,25,359,67
1,T_0202,86685,51616,261,115,1342,603,6532,32806,1288,277,7308,41,413,95
2,T_0203,68592,44483,193,73,1142,604,5399,29006,1169,172,5925,33,308,65
3,T_0204,27363,15867,70,31,985,148,1600,10312,833,78,1520,17,99,23
4,T_0205,40803,23785,142,56,1138,285,3102,14414,904,109,3187,17,154,31
5,T_0206,50929,29343,129,58,642,394,3128,18479,572,138,5151,27,218,41
6,T_0207,37180,21698,87,39,495,182,2799,14326,512,109,2678,18,185,26
7,T_0208,138956,80955,435,170,2560,995,10635,49833,1923,379,12294,69,708,137
8,T_0209,39707,22387,104,47,1382,180,2681,13953,948,123,2549,12,164,47
9,T_0210,46077,26699,185,46,773,247,2974,17443,743,136,3549,21,254,61
10,T_0211,83600,51452,211,107,1071,635,6684,32685,1089,177,7919,41,364,49
11,T_0212,37753,20833,117,49,670,202,2608,13102,628,159,2806,17,157,47
12,T_0213,27422,16739,69,28,882,136,1995,10685,701,103,1768,11,140,24
13,T_0214,77238,45652,226,73,1746,606,5773,29027,1128,262,5924,15,329,124
14,T_0215,53804,32797,135,64,1215,401,5419,17299,1012,242,6317,20,310,54
15,T_0216,44965,27482,113,47,752,294,3380,18354,885,95,3085,19,179,25
16,T_0217,35165,20528,68,32,1594,140,3092,11854,969,138,2226,8,170,35
17,T_0218,36410,20179,97,29,1048,253,2644,12523,693,209,2291,13,87,35
18,T_0219,127268,77308,444,172,2009,1176,10637,46987,1917,454,12019,58,609,134
19,T_0220,55869,31376,138,45,1296,389,4264,18038,1359,172,5021,29,241,40
20,T_0221,47838,28352,118,58,731,308,3041,19529,576,100,3336,19,221,51
21,T_0222,37354,22449,113,41,894,234,2875,13535,788,112,3378,26,161,44
22,T_0223,68055,39302,183,59,2270,458,6242,20546,1754,241,6666,19,353,60
23,T_0224,55062,32994,169,52,1522,312,4072,20548,1254,141,4212,24,259,47
24,T_0225,75044,44934,242,93,861,490,5086,29246,867,152,6937,35,388,67
25,T_0226,35361,20540,80,30,919,214,2471,13010,725,97,2563,15,150,35
26,T_0261,71598,43667,220,95,648,656,5014,26688,604,189,8640,36,384,55
27,T_0262,82263,50794,298,102,877,721,7575,31302,803,379,7767,38,388,98
28,T_0263,106381,63683,309,168,740,727,6494,44923,913,202,8066,63,397,90
29,T_0264,496580,321408,1765,750,4162,6957,60090,150343,3846,2908,83259,360,3594,573
30,T_0401,43430,26259,108,67,2036,206,2857,16128,1001,115,3124,24,240,40
31,T_0402,55092,31705,113,39,2722,202,3591,19246,1596,155,3354,19,256,64
32,T_0403,62264,38233,176,51,1504,451,3682,25184,1605,253,4485,26,282,75
33,T_0404,38444,22520,76,48,1614,180,2148,14665,1002,233,2122,14,141,52
34,T_0405,32867,18473,58,20,1996,121,1934,11119,1124,90,1638,16,136,27
35,T_0406,28063,15368,70,12,1384,86,1201,9825,1312,38,1192,3,106,14
36,T_0407,127272,82999,354,196,3742,747,6888,58546,2208,471,8294,65,528,135
37,T_0408,49686,25035,97,45,2766,122,2470,14943,1181,79,2588,24,328,48
38,T_0409,35209,23004,62,34,2106,162,1530,15875,801,95,1906,16,124,25
39,T_0410,62245,39545,152,63,2036,357,3508,26499,1361,204,4559,27,334,53
40,T_0411,33337,19381,64,71,2352,110,1446,12511,1223,53,1144,9,107,33
41,T_0412,33984,17425,65,38,1684,124,1987,10524,681,68,1858,18,155,21
42,T_0413,30071,18951,76,22,1076,128,1818,12475,940,83,1926,14,160,30
43,T_0414,73420,43098,219,70,2421,400,3958,27810,1856,207,5088,40,441,85
44,T_0415,58473,31381,123,45,2390,308,3693,18745,1366,193,3732,17,334,40
45,T_0416,34310,22171,123,26,1497,201,2353,13581,997,206,2667,21,199,55
46,T_0417,26226,14784,53,23,1232,96,1157,9576,875,50,1446,11,91,22
47,T_0418,65002,35315,121,69,3968,204,2613,22670,2274,144,2427,21,259,46
