,teryt_code,eligible_voters,issued_ballots,Bochniarz,Borowski,Bubel,Ilasz,Kaczynski,Kalinowski,KorwinMikke,Lepper,Pyszko,Slomka,Tusk,Tyminski
0,T_0201,70054,30940,422,3699,35,63,8817,373,414,4568,25,18,12214,57
1,T_0202,88429,40015,498,4399,45,124,11364,379,566,6624,28,21,15592,91
2,T_0203,71624,34993,499,4833,59,93,11048,343,535,4931,21,11,12310,46
3,T_0204,28521,11875,135,1124,16,24,2940,263,129,3557,3,6,3553,21
4,T_0205,42594,18588,244,1784,30,56,5223,332,218,4029,17,8,6483,39
5,T_0206,52833,23851,329,2540,41,74,5535,287,387,2949,28,15,11430,58
6,T_0207,37948,16763,198,1817,20,50,4514,198,185,2828,9,7,6738,44
7,T_0208,140770,62647,660,6402,59,167,17810,969,806,9242,54,34,25860,112
8,T_0209,41890,18205,215,1664,22,58,4876,413,174,4658,16,9,5938,32
9,T_0210,47152,20898,251,2431,23,71,5699,239,224,3684,15,15,8010,60
10,T_0211,85833,41093,549,5532,56,94,14164,342,649,4888,25,16,14488,45
11,T_0212,38775,15712,200,1433,23,51,4255,299,220,3211,15,14,5823,40
12,T_0213,28956,13332,171,1426,14,36,3417,320,163,3399,14,5,4217,19
13,T_0214,81091,37140,467,4223,52,107,10354,562,504,6297,20,43,14225,63
14,T_0215,56832,28280,302,2451,27,69,10028,346,370,3508,17,12,10934,43
15,T_0216,47246,21539,249,2523,22,47,6963,317,317,4156,7,10,6746,44
16,T_0217,36372,16522,161,1448,15,37,5051,335,142,3808,6,7,5392,15
17,T_0218,38706,15867,169,1446,15,20,4579,546,214,2869,239,11,5328,291
18,T_0219,130943,60150,777,7080,64,158,18153,553,939,8396,42,25,23420,108
19,T_0220,60376,26945,293,2158,17,46,7936,444,398,5136,20,11,10257,38
20,T_0221,153707,67830,990,11189,70,140,17268,482,892,7724,32,41,28401,101
21,T_0222,39553,17948,200,1696,18,31,5183,206,255,3081,10,15,7063,38
22,T_0223,77365,37453,441,2614,35,71,12466,584,583,5803,16,22,14501,43
23,T_0224,56237,24749,272,2433,23,84,6815,521,294,5677,22,14,8365,37
24,T_0225,77188,34908,419,4067,71,95,9560,274,556,4328,22,27,15162,54
25,T_0226,36939,16170,206,1814,19,55,4225,275,212,3612,9,7,5553,23
26,T_0261,71574,36386,583,5077,42,82,9054,511,672,2725,100,16,17217,44
27,T_0262,83456,40941,621,5674,34,78,12648,265,603,4483,32,17,16207,64
28,T_0264,511401,291685,4484,33253,296,371,91995,1390,5947,12568,149,109,139196,240
29,T_0401,44962,20921,237,2535,33,43,5441,544,177,5913,17,17,5761,33
30,T_0402,58129,26709,268,2438,46,66,7359,742,179,8434,18,15,6911,48
31,T_0403,71381,32625,606,4313,29,97,9118,488,411,6122,23,28,11115,55
32,T_0404,40078,16989,189,2212,15,43,4273,397,139,4719,16,11,4831,42
33,T_0405,34393,14666,136,1253,17,46,3873,441,105,5195,9,11,3466,31
34,T_0406,29724,12192,139,1005,16,28,2456,368,71,5184,11,4,2789,32
35,T_0407,132362,59748,894,10210,68,133,13856,1199,642,14238,44,37,17853,126
36,T_0408,51315,20409,150,1715,21,55,5393,730,147,7466,12,10,4491,30
37,T_0409,36619,16456,209,2017,15,53,4402,596,150,4890,10,14,3940,36
