,teryt_code,eligible_voters,issued_ballots,Jurek,Kaczynski,Komorowski,KorwinMikke,Lepper,Morawiecki,Napieralski,Olechowski,Pawlak,Zietek
0,T_0201,71302,35895,290,10453,16855,868,503,70,5649,481,420,44
1,T_0202,87348,43274,337,13181,20328,1021,545,70,6250,667,429,98
2,T_0203,71551,39656,298,14449,14823,868,501,54,7370,598,317,77
3,T_0204,28860,12648,84,4010,5241,260,313,17,2202,166,244,24
4,T_0205,42549,20662,158,6966,8471,392,386,48,3440,238,356,34
5,T_0206,53748,27684,216,6572,14914,644,293,49,3999,406,299,65
6,T_0207,37237,18644,170,5054,9131,302,271,21,3049,232,206,24
7,T_0208,139213,68311,555,19937,33506,1450,929,112,9267,901,1080,144
8,T_0209,42931,21150,186,7210,8530,411,512,39,3405,262,395,47
9,T_0210,47110,23253,146,6616,10951,440,413,36,3846,291,300,46
10,T_0211,85734,46257,248,18952,16128,1096,463,91,7884,711,398,66
11,T_0212,38636,17914,139,5212,8329,428,329,27,2715,241,311,33
12,T_0213,29466,13866,160,4632,5561,251,377,26,2261,169,326,13
13,T_0214,83441,42545,280,12596,19637,1084,622,90,6623,615,575,64
14,T_0215,58922,32548,280,11485,13925,805,435,54,4368,547,354,57
15,T_0216,48407,24928,219,10538,7898,494,392,36,4559,285,307,37
16,T_0217,36771,18211,148,6570,7542,339,404,44,2352,227,373,56
17,T_0218,40228,18959,127,6342,8356,436,333,47,2585,223,343,21
18,T_0219,130998,68045,591,20888,31068,1814,808,123,10469,1002,629,149
19,T_0220,63167,31968,242,10587,14745,723,506,67,3926,458,431,39
20,T_0221,147094,72295,494,17190,37426,1597,749,113,12308,1100,555,142
21,T_0222,39836,20291,184,6547,9446,469,309,37,2584,271,247,34
22,T_0223,87334,48278,473,16367,21925,1369,654,112,5461,814,706,48
23,T_0224,56189,26958,185,8682,12048,530,578,55,3815,296,493,55
24,T_0225,76239,38630,265,11754,17646,879,429,53,6270,589,358,60
25,T_0226,36809,17927,98,5799,7847,388,349,36,2813,211,261,14
26,T_0261,69146,39513,238,10104,20804,1019,247,43,5770,661,293,55
27,T_0262,81567,44954,334,14111,20276,1174,310,100,7372,683,286,60
28,T_0264,508576,318603,2875,91559,165308,11263,1388,1209,34101,6566,1721,497
29,T_0401,46335,24076,106,7901,9647,421,579,43,4302,259,541,46
30,T_0402,59960,29500,199,10304,11235,417,764,35,4679,289,1267,36
31,T_0403,80045,42982,295,10538,21207,1086,736,71,7252,720,734,70
32,T_0404,40470,18598,133,5033,8312,437,433,31,3289,234,472,43
33,T_0405,35308,16512,122,5965,5908,245,595,24,2815,125,581,21
34,T_0406,30832,13641,110,4009,5581,194,498,16,2377,154,535,33
35,T_0407,133169,68548,390,17606,30979,1172,1161,100,14259,832,1402,145
36,T_0408,52200,22175,112,8428,7629,316,674,32,3665,212,840,46
37,T_0409,37285,18222,100,4988,7564,329,453,28,3648,171,729,79
38,T_0410,68061,34598,240,8751,16291,705,835,60,6106,432,883,54
39,T_0411,34593,15892,62,5790,4707,225,721,10,3309,132,741,40
40,T_0412,35566,16273,79,6483,5443,251,339,23,2806,153,564,22
41,T_0413,32629,15837,121,4157,7172,251,542,25,2811,201,431,34
42,T_0414,77766,37763,228,9697,18071,633,935,50,6490,485,841,72
43,T_0415,72705,35324,241,11390,15089,727,703,46,5472,424,909,54
44,T_0416,37530,20047,157,6106,8419,346,643,31,3351,257,538,46
45,T_0417,27695,12428,91,3122,5709,244,461,17,2103,138,422,20
46,T_0418,69371,30571,138,10968,9977,464,1087,37,5993,277,1249,63
47,T_0419,55913,28229,190,7723,11985,423,810,37,5603,344,849,63
48,T_0461,288036,174683,1379,47231,86895,4317,952,198,28408,2792,1063,286
49,T_0462,79024,41102,276,9652,21596,850,451,55,6944,583,293,98
50,T_0463,161212,96749,946,27928,48899,2582,545,111,12844,1571,656,138
51,T_0464,95043,52188,222,13206,25533,1017,452,54,10205,689,328,76
52,T_0601,90290,44940,501,21722,11726,828,1221,68,5607,461,2386,69
53,T_0602,83425,42839,645,23608,9031,859,1244,58,4641,458,1941,77
54,T_0603,64413,26391,247,11522,7170,490,1096,36,3960,278,1284,63
55,T_0604,57011,25749,191,12103,6387,426,1115,40,3851,243,1161,45
56,T_0605,38548,22472,204,15799,2583,318,445,19,1641,146,1176,27
57,T_0606,56837,26011,201,11882,6614,554,1007,35,3984,257,1219,63
58,T_0607,80849,42109,383,23596,8264,794,931,47,5676,358,1687,74
59,T_0608,72649,36800,558,18139,9178,923,872,58,4528,395,1794,97
60,T_0609,113453,58552,797,31049,12892,1342,1630,77,6419,718,3058,105
61,T_0610,45433,21568,242,10815,5251,585,512,32,3020,295,630,72
62,T_0611,85839,44761,572,25667,8814,704,968,47,5358,436,1762,95
63,T_0612,51615,24031,193,12539,4688,421,805,28,3789,236,1078,43
64,T_0613,30094,14576,149,6701,3945,278,423,11,2075,141,695,40
65,T_0614,96067,52043,614,24332,15736,1367,870,75,6446,763,1324,106
66,T_0615,49504,25145,281,13718,5189,442,663,33,2953,240,1410,62
67,T_0616,48187,26303,200,12707,6460,530,667,32,4150,286,996,60
68,T_0617,59203,31131,390,14956,8978,885,526,50,3946,455,680,69
69,T_0618,72743,34177,237,17350,7858,722,1123,45,4531,320,1670,77
70,T_0619,33451,16109,178,6369,5237,334,615,35,2361,177,632,49
71,T_0620,89104,42365,337,24612,8179,686,1222,61,4497,379,2046,72
72,T_0661,45725,26096,359,10493,9188,756,242,25,3975,415,418,64
73,T_0662,55623,29004,249,10676,11340,729,270,26,4809,356,341,51
74,T_0663,279104,172570,2649,70192,66613,6203,940,233,19608,3130,1763,251
75,T_0664,54080,29400,310,12572,9966,815,308,30,4327,438,385,64
76,T_0801,52460,25192,216,6472,12157,547,466,29,4377,308,386,36
77,T_0802,45302,21115,144,4698,11005,380,328,32,3823,255,248,26
78,T_0803,48016,23792,182,5455,12050,464,444,41,4253,273,432,43
79,T_0804,69517,34216,310,9992,16396,626,464,25,5255,391,454,58
80,T_0805,36879,17852,113,4284,9207,347,264,21,2992,207,237,35
81,T_0806,40395,18525,135,4377,9450,327,428,27,3055,195,366,38
82,T_0807,28868,13571,132,3709,6501,248,327,28,2125,117,249,31
83,T_0808,44725,22233,212,5645,11413,514,296,30,3300,321,303,33
84,T_0809,72916,37239,337,8102,20090,876,533,44,5939,523,483,52
85,T_0810,65696,30824,212,8195,14588,633,512,61,5473,377,449,75
86,T_0811,79155,37795,308,9439,19105,834,526,37,6285,491,370,72
87,T_0812,30782,15368,128,4870,6717,305,287,17,2407,252,269,18
88,T_0861,99462,54937,646,14467,27534,1446,413,64,8835,733,339,84
89,T_0862,93140,56907,473,12938,31514,1495,251,55,8507,901,341,91
90,T_1001,91367,52112,491,28180,11403,1392,726,56,7906,593,787,104
91,T_1002,84719,42494,252,17555,12878,724,1049,37,7242,409,1928,89
92,T_1003,41366,21289,154,9343,6034,535,428,16,3677,193,709,34
