,teryt_code,eligible_voters,issued_ballots,Braun,Duda,Jarubas,Komorowski,KorwinMikke,Kowalski,Kukiz,Ogorek,Palikot,Tanajno,Wilk
0,T_0201,71126,31256,295,9449,296,11379,1131,151,6942,786,409,39,124
1,T_0202,84530,37809,212,11763,313,14513,1116,197,7748,919,535,50,134
2,T_0203,70842,34494,188,12079,274,11537,837,144,7635,954,421,49,149
3,T_0204,28487,10812,61,3660,251,3711,307,47,2251,254,132,10,44
4,T_0205,41953,18110,146,6205,281,6115,502,62,3909,441,201,30,75
5,T_0206,52408,22922,124,5467,217,10333,635,85,4724,568,446,45,111
6,T_0207,36469,15680,75,4739,132,6328,313,77,3184,432,177,21,60
7,T_0208,134514,57521,397,17133,742,22301,1675,253,12029,1461,832,70,205
8,T_0209,43350,19355,121,6711,259,6452,584,89,4241,447,214,26,61
9,T_0210,45638,19590,92,5657,177,7918,503,87,4079,617,232,23,63
10,T_0211,84488,43759,252,16300,292,12082,1005,160,11691,1054,509,43,157
11,T_0212,37935,15184,106,4542,224,5632,413,57,3443,405,184,13,52
12,T_0213,29590,12769,72,4736,199,4566,270,56,2168,380,139,14,48
13,T_0214,84989,38010,307,10995,375,15064,1250,153,7889,911,491,56,161
14,T_0215,59684,29857,253,9849,264,10058,885,128,7074,592,344,52,126
15,T_0216,49132,23974,125,10038,202,6201,685,141,5549,564,214,27,88
16,T_0217,36463,16092,77,5762,216,5328,386,78,3413,410,203,27,45
17,T_0218,41780,18318,169,5918,214,6326,587,60,4168,393,211,30,84
18,T_0219,128679,59317,402,17547,488,22797,2163,268,12623,1408,866,108,223
19,T_0220,65772,30289,279,9894,334,11034,980,162,6120,639,436,50,134
20,T_0221,46469,19797,123,5150,206,8232,650,79,4220,500,365,21,74
21,T_0222,39739,17556,121,5787,155,6570,452,81,3479,473,214,27,51
22,T_0223,100374,52136,432,15638,518,19010,1796,196,11801,929,875,138,326
23,T_0224,54723,23558,125,7732,337,8593,596,102,4986,536,285,34,78
24,T_0225,74495,33119,204,10420,262,11527,890,131,7884,886,440,47,111
25,T_0226,36372,15712,94,5082,188,5481,449,49,3564,424,195,19,50
26,T_0261,66222,31605,184,7943,213,13834,854,97,6467,930,663,49,155
27,T_0262,79152,37821,270,11651,219,13442,1080,148,8935,995,624,44,142
28,T_0264,500161,275933,3391,71792,1539,110040,11000,1171,59593,6080,5942,1120,1782
29,T_0265,92642,39705,239,9711,286,17189,1190,142,8449,1200,714,63,132
30,T_0401,45838,20177,124,6717,359,7299,472,96,3984,589,240,32,81
31,T_0402,60819,26300,131,8910,530,9040,670,119,5635,642,243,31,97
32,T_0403,86094,39596,252,10086,400,15768,1479,170,9024,1155,663,77,221
33,T_0404,40345,16576,78,5145,262,6465,442,94,3212,487,178,18,72
34,T_0405,35975,14537,59,5344,306,4640,329,63,2983,479,160,17,50
35,T_0406,31343,12158,57,3991,289,4555,391,84,2175,324,131,18,53
36,T_0407,131942,57562,306,16713,798,21773,1662,254,12496,1870,893,74,229
37,T_0408,52627,19810,88,7470,756,6135,530,88,3672,617,197,28,61
38,T_0409,37286,15577,71,4482,328,5948,491,87,3236,550,192,23,67
39,T_0410,68148,28912,163,8071,502,12243,925,142,5251,922,368,35,83
40,T_0411,34393,13190,57,4936,348,3998,323,54,2642,502,143,9,64
41,T_0412,35508,13532,65,5469,256,4388,304,56,2367,320,140,12,59
42,T_0413,32423,13332,61,3792,246,5947,305,52,2208,444,163,9,39
43,T_0414,78149,32677,162,9262,516,13539,1074,182,6289,880,371,50,137
44,T_0415,77901,33562,184,10725,494,11986,1128,180,7194,787,412,62,144
45,T_0416,37859,16668,88,5561,322,6360,508,66,2856,545,172,15,61
46,T_0417,27469,10834,35,3011,223,4254,335,55,2322,333,112,21,46
47,T_0418,70337,25522,124,9116,584,8387,616,105,5015,856,341,33,110
48,T_0419,55974,23687,138,7000,485,9422,745,99,4433,772,277,29,98
49,T_0461,278843,139959,1059,37668,830,57886,4330,540,29498,3732,2522,300,698
50,T_0462,74274,33413,159,8883,240,14872,1018,147,6161,961,507,33,143
51,T_0463,156848,81465,681,23082,470,33224,2694,376,16116,1913,1532,218,450
52,T_0464,91427,40587,236,10561,302,16087,970,181,9504,1439,774,63,163
53,T_0601,90570,42468,492,18479,1171,10255,1332,366,8342,1079,403,59,185
54,T_0602,83362,40276,467,19979,1096,6432,1387,364,8169,779,1135,43,183
55,T_0603,64601,25737,181,11074,1095,5539,697,257,5595,636,346,35,85
56,T_0604,55504,23105,171,10409,671,5391,609,137,4584,533,310,20,83
57,T_0605,38431,20378,207,12998,527,2260,581,158,2857,394,196,14,60
58,T_0606,55413,23822,180,10178,730,5413,742,269,5068,572,407,24,83
59,T_0607,79449,37665,378,18488,1479,7199,1021,403,6966,844,443,44,111
60,T_0608,71728,35362,330,16359,1234,6878,1161,440,7113,737,570,42,153
61,T_0609,118973,59223,685,26714,2057,11065,1957,920,13091,923,987,87,268
62,T_0610,45506,21975,285,9459,440,3905,688,366,5886,389,300,37,83
63,T_0611,85574,41860,438,22001,998,7702,1181,315,7612,794,321,60,170
64,T_0612,50585,21817,192,10134,789,4424,511,230,4303,572,372,26,58
65,T_0613,29560,13267,133,5774,388,3137,335,141,2739,280,183,13,57
66,T_0614,95465,48515,385,20534,939,12419,1648,433,9805,934,758,82,217
67,T_0615,49028,23035,249,11158,839,4575,601,249,4382,486,239,23,95
68,T_0616,47061,23348,191,10674,700,5077,712,154,4451,547,351,33,79
69,T_0617,58584,29244,321,12397,686,5694,883,321,7355,591,561,54,154
70,T_0618,71293,31736,223,14238,1039,6032,739,253,7800,693,358,34,107
71,T_0619,33024,14557,153,5552,450,4035,458,132,2917,427,253,27,50
72,T_0620,89469,40363,398,20487,1115,6785,1092,309,8459,808,453,48,169
73,T_0661,45711,23194,343,7813,322,7064,897,229,5304,625,323,31,130
74,T_0662,53561,25391,220,8975,365,7085,783,186,6219,782,451,40,103
75,T_0663,271581,151220,1927,53913,1536,44639,5353,1966,32481,2625,4137,334,905
76,T_0664,52838,25634,331,9602,269,7060,682,210,6181,613,426,31,110
77,T_0801,54582,23085,166,6297,291,9035,855,95,5019,646,363,39,96
78,T_0802,44713,17518,74,4329,225,7357,493,81,3551,638,310,25,70
79,T_0803,47586,20184,123,5103,310,8701,575,107,3930,738,331,36,90
80,T_0804,69026,28905,241,8822,360,11316,894,151,5587,770,416,31,116
81,T_0805,36887,14866,86,3802,190,6491,475,59,2899,448,194,18,79
82,T_0806,40103,15264,81,4247,267,6423,438,61,2907,502,177,21,45
83,T_0807,28899,11839,59,3405,166,4651,401,76,2393,390,147,18,33
84,T_0808,44369,18963,124,5349,197,7777,726,110,3669,511,255,30,65
85,T_0809,59880,25988,148,6201,333,11124,1017,135,5420,779,417,41,121
86,T_0810,64912,25989,163,7005,325,10369,749,121,5739,812,365,40,89
87,T_0811,78225,31837,222,8463,301,12829,1084,126,6943,934,479,34,118
88,T_0812,30947,12952,125,4179,150,4997,447,64,2345,286,184,19,52
89,T_0861,97420,45747,359,12207,332,18082,1634,226,10312,1261,721,94,193
90,T_0862,107000,55729,370,13079,461,24582,2184,222,11117,1665,1212,144,321
91,T_1001,91387,48440,424,21796,532,9527,1482,377,11920,1244,491,67,240
92,T_1002,82470,35598,230,14502,622,10670,840,206,6685,982,419,36,151
93,T_1003,41255,19724,157,7529,387,5330,631,83,4510,570,252,28,111
94,T_1004,43290,17997,77,7681,480,5180,488,110,2959,569,196,15,65
95,T_1005,65728,30942,214,12635,952,7663,1080,207,6584,872,309,39,138
96,T_1006,55955,30541,265,11722,356,9342,1006,158,6169,646,434,70,150
97,T_1007,62962,32305,275,17385,809,5834,668,149,5701,731,310,34,120
98,T_1008,96806,50094,457,15841,552,17534,1846,303,10623,1298,860,105,266
