,teryt_code,eligible_voters,issued_ballots,Biedron,Bosak,Duda,Holownia,Jakubiak,KosiniakKamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
0,T_0201,68554,40920,852,2759,17053,6726,52,633,29,50,12732,52,97
1,T_0202,78876,46170,1002,2824,20403,6336,55,687,46,82,14770,46,89
2,T_0203,67357,41897,980,2499,18568,5969,42,736,44,57,13000,42,82
3,T_0204,27089,14532,292,906,7307,1918,21,378,12,14,3722,10,22
4,T_0205,39708,23150,479,1528,11139,2607,28,717,27,22,6708,15,44
5,T_0206,51306,31294,713,1564,9898,5177,50,570,27,46,13331,48,57
6,T_0207,34163,19974,418,1096,8278,2755,19,349,19,31,6977,20,44
7,T_0208,127323,73338,1548,4240,30301,10238,95,1574,71,120,25372,86,148
8,T_0209,42292,25786,470,1726,12585,3012,37,583,24,36,7286,27,47
9,T_0210,42803,24980,534,1278,9978,4397,35,471,17,43,8241,26,34
10,T_0211,80840,51312,1182,3699,24706,6010,102,854,56,72,14616,49,123
11,T_0212,36031,19966,470,1073,8349,3135,41,478,35,34,6388,17,29
12,T_0213,28966,17218,329,1026,8346,2138,17,437,16,19,4912,19,37
13,T_0214,82925,50531,1012,3296,20738,8267,79,1087,39,74,16059,61,105
14,T_0215,58842,38754,901,2784,16446,5447,61,701,47,50,12374,30,63
15,T_0216,47773,28871,577,2142,15285,3737,49,617,24,46,6356,24,56
16,T_0217,35190,21338,381,1119,10819,2604,34,451,11,25,5945,29,52
17,T_0218,42697,26680,465,2124,11913,3166,41,610,32,34,8289,33,70
18,T_0219,122236,74408,1659,4772,30175,10191,105,1292,76,102,26132,90,169
19,T_0220,66749,42199,881,2867,18463,5503,70,916,32,77,13428,45,83
20,T_0221,43648,25368,611,1414,9184,4136,33,467,17,40,9518,15,60
21,T_0222,37919,22806,486,1489,10543,3007,31,444,25,24,6720,32,50
22,T_0223,114949,81721,1879,5879,28331,12421,163,1735,62,154,31210,128,211
23,T_0224,51698,29659,526,1508,14355,3358,50,887,26,47,8971,30,42
24,T_0225,69729,41744,936,2546,17001,6963,73,671,38,52,13453,51,81
25,T_0226,34114,20086,370,993,9129,2866,45,415,17,29,6203,17,48
26,T_0261,61184,38685,1082,1945,12048,5198,62,596,47,68,17654,58,73
27,T_0262,73001,45499,1092,2849,17842,5918,63,758,45,77,16876,54,97
28,T_0264,503769,353039,13898,25592,99770,51028,714,6381,362,760,154972,946,1346
29,T_0265,82943,47414,1220,2256,16048,6822,56,715,30,71,20142,63,83
30,T_0401,44064,26941,535,1733,12662,3313,33,732,29,37,7922,23,53
31,T_0402,60584,35241,514,2021,16956,5210,60,1295,40,47,9112,30,70
32,T_0403,90096,58479,1421,3540,19107,11444,82,1279,58,81,21507,71,151
33,T_0404,38753,21830,452,1313,9278,3579,37,595,17,20,6568,16,42
34,T_0405,35185,20051,393,1180,10221,2845,32,601,16,28,4735,25,33
35,T_0406,30786,16616,325,1169,8072,2350,20,543,18,21,4101,20,29
36,T_0407,124492,73773,1635,4406,29504,10838,107,1941,64,92,25274,87,130
37,T_0408,51702,27512,522,1499,14192,3375,29,1651,30,28,6152,26,63
38,T_0409,36292,21041,479,1293,9578,3046,31,851,13,23,5670,21,50
39,T_0410,65792,38212,763,2136,16013,6631,54,1093,48,39,11452,30,73
40,T_0411,33043,18714,303,857,10820,2165,31,645,16,20,3874,17,36
41,T_0412,34325,19058,369,939,9864,2355,25,610,23,19,4823,23,32
42,T_0413,31263,17614,336,867,7924,2936,24,458,13,21,5011,21,37
43,T_0414,75224,42829,826,2519,18399,7086,66,1135,31,78,12670,29,81
44,T_0415,81313,50341,1061,3506,19818,8583,75,1213,41,76,16046,43,107
45,T_0416,37661,22709,403,1474,11201,3458,38,610,24,28,5495,28,45
46,T_0417,26399,14365,266,1041,6254,1796,21,475,14,22,4446,20,46
47,T_0418,69088,38111,737,1867,19821,4705,50,1339,30,53,9568,33,68
48,T_0419,54403,31808,617,1857,14225,5141,40,988,45,35,8877,36,68
49,T_0461,258368,170814,4776,9768,53669,29368,215,2955,159,273,70006,241,433
50,T_0462,68083,39978,1130,2443,14031,5887,40,798,41,51,15538,48,88
51,T_0463,148917,100749,2940,6619,31228,15439,129,1685,96,145,42726,132,235
52,T_0464,84171,50694,1447,2485,17353,7047,71,742,46,72,21388,62,113
53,T_0601,88236,53475,681,4355,32136,6069,113,1865,96,79,8009,52,169
54,T_0602,81457,49821,648,4706,32327,3835,97,1720,90,70,6362,34,126
55,T_0603,62714,33621,427,2422,21198,3474,64,1111,79,39,4902,33,81
56,T_0604,52007,28238,335,1753,17759,2737,53,1002,59,20,4539,16,56
57,T_0605,37018,24119,259,1734,18226,1310,42,588,116,16,1946,11,39
58,T_0606,52726,29767,533,2235,18038,2534,49,1214,77,27,5284,31,87
59,T_0607,75944,46200,765,3329,29492,3972,93,1609,83,55,6876,25,99
60,T_0608,70445,44225,611,3860,27380,4168,93,1529,80,76,6419,33,105
61,T_0609,122230,79647,1169,7393,45622,8426,198,3058,145,126,13668,66,212
62,T_0610,44411,27455,319,2943,16119,2889,48,769,55,34,4330,29,61
63,T_0611,83026,53254,511,4288,35830,4723,102,1429,107,59,6188,30,114
64,T_0612,48188,28551,405,2092,18107,2595,53,1147,35,35,4127,17,61
65,T_0613,28224,16515,224,1341,9732,1836,31,653,36,40,2601,15,30
66,T_0614,91564,58989,1147,4760,31611,6473,140,1530,121,84,13292,84,147
67,T_0615,47351,28728,335,2295,18466,3030,57,873,64,39,3567,16,70
68,T_0616,44706,28770,480,1885,17517,3191,48,832,50,31,4742,35,59
69,T_0617,56541,35603,663,2822,19634,3916,67,953,71,48,7529,41,82
70,T_0618,68120,38468,434,3032,24962,2996,77,1498,58,57,5542,19,81
71,T_0619,31831,18632,344,1280,9794,2518,43,760,37,21,3816,20,40
72,T_0620,87292,51487,601,3901,34324,4256,110,1780,107,71,6558,31,108
73,T_0661,44122,28292,601,2221,13308,4269,64,665,55,42,7083,26,73
74,T_0662,49050,29398,655,2089,13348,3799,58,639,67,54,8723,35,60
75,T_0663,262007,174164,4263,14413,71730,22346,335,3836,526,274,57134,295,533
76,T_0664,50502,30176,600,2254,14574,3625,60,696,54,33,8334,33,68
77,T_0801,54571,33513,777,2296,11262,5581,60,683,22,70,12712,46,62
78,T_0802,42577,24595,480,1353,8361,5683,27,504,14,33,8212,15,42
79,T_0803,45954,27338,566,1523,9645,5120,41,696,16,42,9717,38,56
80,T_0804,65718,39524,630,2024,15034,7952,47,786,31,45,12963,36,70
81,T_0805,35605,20926,473,1326,6870,3784,25,425,16,34,7963,31,25
82,T_0806,38407,21551,411,1147,8390,3679,30,563,12,35,7272,25,44
83,T_0807,27376,15674,304,1073,6292,2519,24,406,16,34,5110,19,26
84,T_0808,43255,26181,562,1805,9220,4749,55,626,23,34,9067,34,54
85,T_0809,58412,35757,712,2415,11979,6674,57,700,29,54,13108,39,52
86,T_0810,60755,34670,811,1929,14019,6122,43,727,26,75,10882,46,60
87,T_0811,74117,42926,883,2554,15075,9074,63,746,37,50,14404,47,64
88,T_0812,30288,17644,404,1063,8360,2486,34,442,24,16,4824,20,39
89,T_0861,91547,58702,1428,3828,18331,8803,73,912,58,113,25086,67,140
90,T_0862,104944,73087,1972,4407,19056,12364,107,1367,81,121,33574,109,179
91,T_1001,88016,58227,1179,4877,33460,6649,157,1216,70,92,10422,96,156
92,T_1002,77525,46738,951,2549,25424,4686,54,1149,32,54,11923,54,89
93,T_1003,40380,26167,502,1785,13398,3424,58,763,28,33,6244,28,56
94,T_1004,41223,24496,378,1374,14637,2543,38,717,24,37,4780,24,44
95,T_1005,63265,40527,726,2883,23074,4499,72,1656,29,60,7541,30,117
96,T_1006,57003,40213,868,2901,18029,5675,74,895,41,65,11694,62,90
97,T_1007,60327,40641,441,2607,26973,4477,61,1151,50,52,5010,40,70
98,T_1008,93812,62051,1601,3664,24956,8927,103,1304,134,89,21329,106,135
99,T_1009,41675,25954,469,1630,16140,2807,51,682,25,33,4290,14,52
100,T_1010,72958,47517,666,3236,30518,4880,89,1399,54,54,6674,39,99
101,T_1011,33760,20889,329,1029,11799,2675,37,897,22,25,4098,18,39
102,T_1012,90583,55494,1109,3240,31031,6132,90,1440,63,87,12348,54,137
103,T_1013,38593,24089,318,1639,14424,2477,54,973,30,28,4097,19,55
104,T_1014,93573,58178,1126,3525,33070,6626,92,2039,60,73,11761,67,151
105,T_1015,30338,20377,253,1406,13240,2187,46,760,11,26,2479,21,38
106,T_1016,90966,59379,1130,3961,31607,7059,89,1700,75,53,13860,64,136
107,T_1017,61130,38750,675,2347,21040,5155,69,1361,25,44,8093,39,82
108,T_1018,33557,20403,329,1502,10951,2801,33,777,22,21,4072,13,35
109,T_1019,51683,33265,787,2027,16534,4654,56,727,35,58,8407,53,72
110,T_1020,130589,87003,2137,5065,36318,12596,132,1912,64,119,28788,120,207
111,T_1021,24405,16030,258,981,8649,2033,29,637,20,24,3366,20,36
112,T_1061,522350,349039,11259,19790,107557,50967,545,5837,315,607,152376,632,869
113,T_1062,56716,36829,944,2190,16078,5360,72,672,48,50,11453,52,69
114,T_1063,36591,25207,587,1551,10278,4005,42,581,45,40,8104,38,67
115,T_1201,82771,56429,697,4423,35473,5336,113,1985,54,58,8640,51,121
116,T_1202,72797,45819,539,4365,28629,4145,67,1851,53,43,6352,26,91
117,T_1203,97642,63610,1439,4412,27663,9017,107,1448,59,97,19662,71,171
118,T_1204,47058,26442,243,1854,18518,1731,44,1436,14,15,2675,18,50
119,T_1205,86329,53033,634,4164,32537,5215,72,1524,65,65,8967,41,107
120,T_1206,217961,150090,2664,11473,74488,19525,283,4703,140,176,37330,212,435
121,T_1207,99826,66461,583,5203,48046,4358,91,1753,54,55,6784,39,157
122,T_1208,39891,24105,393,1488,14950,2117,68,1221,30,18,3937,25,60
123,T_1209,98333,67847,763,6024,41649,6745,149,1719,70,64,10976,66,190
124,T_1210,165575,112338,1007,9032,80110,7686,185,2365,123,75,12479,54,194
125,T_1211,149487,90345,964,7946,58003,8116,145,1694,96,91,13405,79,188
126,T_1212,88579,58630,1231,4189,29616,7238,111,1469,37,68,14791,81,140
127,T_1213,120157,80934,1503,5922,38342,10417,130,2197,71,99,22715,96,178
128,T_1214,34882,20718,251,1280,13414,1674,44,1265,18,24,2775,26,31
129,T_1215,66552,41944,515,3799,25732,3808,53,966,39,59,7619,35,96
130,T_1216,158228,98011,1060,8078,64369,8320,143,4215,102,86,12404,78,224
131,T_1217,56469,36934,482,2695,20874,4039,56,646,37,38,8243,37,72
132,T_1218,124865,81857,1094,6274,43893,10597,118,2116,84,115,17912,83,201
133,T_1219,99191,68376,1089,5582,32399,9281,129,2870,82,84,17132,72,181
134,T_1261,606178,428441,15292,32690,137775,65841,929,11866,417,678,164340,1081,1868
135,T_1262,63724,42593,697,3493,22116,4303,91,903,56,33,11011,41,121
136,T_1263,86573,54655,1090,4217,23856,6525,89,2271,62,75,16801,59,139
137,T_1401,26594,17686,184,988,11884,1515,36,478,17,27,2539,14,33
138,T_1402,70546,42740,755,2684,23786,4153,194,1611,33,48,9565,39,78
139,T_1403,84867,58769,574,4307,38391,5709,137,1593,72,55,7844,46,146
140,T_1404,36289,21769,346,1137,12636,2193,26,662,16,32,4712,21,39
141,T_1405,73006,52349,1175,3162,19658,8076,126,1242,58,85,18843,79,123
142,T_1406,78084,51060,769,3318,27764,5762,135,2749,51,63,10482,46,124
143,T_1407,49227,31827,430,2145,19518,2786,58,826,40,41,6035,24,66
144,T_1408,90166,65081,1516,3609,23893,9208,169,1300,90,131,25252,106,174
145,T_1409,28006,15932,207,991,10339,1405,21,642,14,11,2307,21,29
146,T_1410,25147,15413,206,1219,10237,1205,41,609,25,22,1828,11,39
147,T_1411,35843,21964,251,1377,14064,1924,39,721,21,12,3543,21,46
148,T_1412,118907,82161,1384,5615,40832,12003,192,2065,118,103,19964,102,251
149,T_1413,56572,33529,454,2197,19190,3453,72,1064,37,32,6941,28,66
150,T_1414,62147,40732,746,2410,18894,5561,91,1009,39,55,11848,61,97
151,T_1415,69907,41568,386,3160,27293,4135,75,1278,47,70,5069,22,86
152,T_1416,57827,36469,473,2411,23356,3294,70,1016,28,41,5804,28,65
153,T_1417,95597,68996,1180,4809,31668,9970,156,1511,103,84,19693,85,194
154,T_1418,139530,102281,2385,6158,35102,15339,249,2079,101,148,40932,179,245
155,T_1419,87889,52474,787,3203,30657,5448,105,2723,27,66,9461,35,105
156,T_1420,69724,40830,522,2329,23452,4242,92,1323,55,49,8746,33,84
157,T_1421,125563,93358,2249,5423,33046,13954,206,1898,140,174,36589,197,254
158,T_1422,40926,24098,327,1643,15008,2054,63,850,25,24,4067,22,41
159,T_1423,34325,22330,210,1425,16202,1457,35,800,19,16,2244,10,45
160,T_1424,40949,25292,461,1549,14703,2412,62,1155,25,26,4892,17,54
161,T_1425,119598,76404,961,5346,49835,6943,137,1955,61,93,11182,55,114
162,T_1426,64258,42158,496,3558,29316,3021,77,1283,55,39,4321,27,78
163,T_1427,40895,23918,322,1373,14146,2756,40,815,25,27,4414,16,45
164,T_1428,65495,42009,729,2760,21490,5098,75,1171,42,46,10568,45,110
165,T_1429,43964,28790,318,1883,18571,2494,62,1103,43,44,4297,27,62
166,T_1430,31374,19184,254,1631,12757,1541,44,399,10,17,2584,17,31
167,T_1432,90717,66293,1457,4186,25188,9471,132,1336,78,106,24530,124,170
168,T_1433,53097,34336,433,2503,21228,3542,55,916,61,43,5590,27,67
169,T_1434,185964,130629,2351,9543,62107,18529,320,2549,173,234,34898,180,350
170,T_1435,58794,38430,474,3062,22303,4237,64,1097,44,43,7096,23,70
171,T_1436,29088,17613,238,1065,11944,1489,29,642,20,12,2268,14,26
172,T_1437,30947,18156,277,814,10756,1912,31,864,15,14,3471,15,31
173,T_1438,58288,38612,767,2477,18361,5130,102,835,46,62,10803,47,118
174,T_1461,39716,25240,420,2039,12330,3452,55,541,29,39,6337,26,66
175,T_1462,91792,60030,1330,3646,24639,7504,110,1445,57,78,21115,101,110
176,T_1463,158298,103896,1969,7899,49401,12113,188,1942,104,158,30263,162,214
177,T_1464,58736,39744,763,3415,19332,4676,88,1080,71,58,10268,59,121
178,T_1465,1378929,1013730,35930,57180,275418,138496,2441,18195,1154,1757,486876,2973,2961
179,T_1498,379,369,15,72,50,65,6,17,0,1,140,1,2
180,T_1499,374372,26884,14316,27316,64904,48775,598,3274,224,564,149735,942,476
181,T_1601,69283,41336,800,2704,19032,5744,82,973,41,66,11953,54,86
182,T_1602,36389,20498,319,1278,11213,2052,35,419,31,31,5135,19,43
183,T_1603,71799,39008,816,2466,13876,7436,64,771,43,47,13537,62,93
184,T_1604,51506,28088,431,1810,12084,4119,51,749,30,40,8814,41,65
185,T_1605,49729,24839,427,1674,8709,5612,34,586,32,27,7821,28,51
186,T_1606,33759,20273,368,1304,9498,2816,35,550,20,26,5674,18,32
187,T_1607,108902,61928,1056,3402,30791,8474,89,1297,39,74,17073,49,111
188,T_1608,51615,27554,397,1558,12449,5548,53,821,33,38,6712,30,71
189,T_1609,97962,51555,831,3045,18135,10271,70,1521,63,96,17570,70,107
190,T_1610,43176,23311,377,1468,11306,3832,31,493,22,29,5828,21,43
191,T_1611,59975,30146,487,1940,11985,6084,49,645,34,35,8937,33,71
192,T_1661,98295,65341,1730,4012,17474,10621,109,1321,52,113,30071,111,146
193,T_1801,18401,10328,213,787,5053,1320,14,366,7,14,2590,17,26
194,T_1802,52216,31942,301,2750,23180,2160,49,611,36,20,2956,16,59
195,T_1803,106202,68634,746,6183,44315,5862,120,1757,92,51,9787,54,143
196,T_1804,95841,57893,606,4984,38489,4559,68,1655,46,54,7960,35,86
197,T_1805,91300,55135,702,4652,36715,3989,104,1347,64,42,7813,46,94
198,T_1806,49375,29812,300,2893,20837,2149,63,715,24,35,2926,18,69
199,T_1807,89997,56378,897,5096,36210,5091,106,1331,53,49,7809,42,144
