,teryt_code,eligible_voters,issued_ballots,Bartoszewicz,Biejat,Braun,Holownia,Jakubiak,Maciak,Mentzen,Nawrocki,Senyszyn,Stanowski,Trzaskowski,Woch,Zandberg
0,T_0201,65950,40863,166,1371,2790,1692,231,90,6700,11585,374,452,13643,42,1521
1,T_0202,72535,43661,222,1580,2770,1729,255,70,6064,12960,387,483,15332,29,1537
2,T_0203,63792,41221,181,1562,2240,1924,276,77,5867,12546,352,455,13793,33,1744
3,T_0204,25134,14208,58,589,1059,554,113,34,2435,4572,131,133,3900,12,541
4,T_0205,36841,22083,104,809,1554,912,133,43,3246,7266,184,222,6678,26,799
5,T_0206,48363,30166,172,1329,1686,1330,212,56,3579,6598,308,336,13235,25,1160
6,T_0207,31309,18757,62,838,1077,812,104,33,2571,5232,171,174,6900,14,679
7,T_0208,117776,69610,355,2545,4677,2976,475,130,9006,19451,600,685,26119,65,2229
8,T_0209,41471,26166,128,775,1652,1165,185,67,4480,8406,256,286,7644,22,962
9,T_0210,40168,23677,111,938,1285,990,148,49,3305,6593,256,247,8811,14,825
10,T_0211,77231,50986,206,1753,2963,2155,331,87,7679,16626,447,632,15784,38,2080
11,T_0212,33440,19105,101,718,1411,749,156,37,2455,5528,187,183,6769,9,697
12,T_0213,27887,16838,48,618,1071,802,115,46,2985,5192,186,144,4879,21,679
13,T_0214,81448,51777,245,2462,2539,2660,396,117,8083,13844,491,593,17898,45,2181
14,T_0215,57918,39111,224,1538,2577,1758,278,90,5982,11008,427,477,12741,42,1822
15,T_0216,45500,28780,135,935,2066,1214,191,52,4926,10562,223,354,6838,18,1111
16,T_0217,33742,21235,67,650,1307,875,140,53,3366,7221,167,242,6277,17,759
17,T_0218,44440,29617,121,1162,1748,1355,222,53,5148,8386,363,347,9290,29,1256
18,T_0219,114466,71980,370,2730,4043,3035,441,134,9864,20117,680,755,26664,51,2757
19,T_0220,67195,45316,205,1867,2794,2058,373,71,7045,13066,475,521,14468,46,2099
20,T_0221,40607,23850,118,989,1556,1128,160,58,3031,5577,258,282,9694,21,855
21,T_0222,36180,22585,129,931,1516,871,158,53,3318,7045,225,232,7088,16,889
22,T_0223,130408,96767,510,4818,4985,5678,784,150,14518,20501,1306,1410,36483,82,5135
23,T_0224,47735,27439,128,934,1792,1149,151,66,3980,8960,254,255,8694,27,890
