,teryt_code,eligible_voters,issued_ballots,Kaczynski,Tusk
0,T_0201,70084,31609,14543,16767
1,T_0202,88368,40626,19729,20498
2,T_0203,71536,35491,18530,16590
3,T_0204,28517,11526,6486,4901
4,T_0205,42512,18343,9664,8499
5,T_0206,53114,24483,8971,15261
6,T_0207,37884,17108,7714,9212
7,T_0208,140538,63627,29333,33615
8,T_0209,41821,17888,9672,8066
9,T_0210,47162,20899,9697,10988
10,T_0211,85742,42242,22772,19126
11,T_0212,38697,15821,7351,8277
12,T_0213,28904,12990,6828,5987
13,T_0214,81040,36910,17961,18588
14,T_0215,56848,29365,15804,13343
15,T_0216,47149,21819,12773,8849
16,T_0217,36399,16807,9410,7263
17,T_0218,38672,16245,8803,7295
18,T_0219,130874,62328,30491,31199
19,T_0220,60420,27363,13853,13266
20,T_0221,153698,69312,28823,39693
21,T_0222,39594,18530,9201,9143
22,T_0223,77407,38916,20792,17805
23,T_0224,56123,25047,12964,11810
24,T_0225,76940,35345,15454,19530
25,T_0226,36990,16020,8046,7805
26,T_0261,71398,37203,13986,22809
27,T_0262,83525,41667,19344,21959
28,T_0264,514697,305613,124894,177849
29,T_0401,44765,19502,11076,8143
30,T_0402,58215,25605,15837,9498
31,T_0403,71399,32479,16768,15336
32,T_0404,40217,16092,8717,7158
33,T_0405,34335,14106,9108,4830
34,T_0406,29695,10970,6561,4299
35,T_0407,132163,55899,27812,27178
36,T_0408,51124,19335,12662,6391
37,T_0409,36569,15439,9360,5836
38,T_0410,66371,29890,14949,14634
39,T_0411,34220,12297,8241,3843
40,T_0412,34985,13622,8756,4724
41,T_0413,31720,13188,7338,5677
42,T_0414,76527,32397,16535,15486
43,T_0415,65970,28158,16926,10990
44,T_0416,36067,16672,9621,6821
45,T_0417,27415,10834,5637,5035
46,T_0418,67551,23871,15437,8090
47,T_0419,54833,23760,12947,10356
48,T_0461,297177,166404,77962,86293
49,T_0462,80240,37039,15718,20913
50,T_0463,164000,93042,42984,49154
51,T_0464,96872,47018,21837,24556
52,T_0601,88776,42399,30987,10999
53,T_0602,81849,40924,32075,8518
54,T_0603,58352,23456,17257,5981
55,T_0604,57709,24592,18123,6243
56,T_0605,38192,22364,19598,2615
57,T_0606,63037,27045,19685,7069
58,T_0607,80370,41226,31651,9168
59,T_0608,71910,35813,26234,9196
60,T_0609,106811,53702,42491,10759
61,T_0610,43618,21143,15646,5311
62,T_0611,83828,42263,32320,9517
63,T_0612,51071,22553,17287,5018
64,T_0613,29744,13914,10322,3465
65,T_0614,95340,49325,32319,16533
66,T_0615,49009,24680,19075,5339
67,T_0616,47952,23641,16495,6844
68,T_0617,58549,29783,19822,9709
69,T_0618,72181,32232,24121,7825
70,T_0619,33453,15061,9855,5028
71,T_0620,87495,41706,34504,6885
72,T_0661,44839,24243,14416,9559
73,T_0662,56060,27255,15797,11141
74,T_0663,281566,169338,94097,73699
75,T_0664,53689,27417,17424,9707
76,T_0801,49650,21846,10492,11143
77,T_0802,44923,18190,6916,11066
78,T_0803,47361,20329,8539,11526
79,T_0804,68934,31525,14295,16936
80,T_0805,36238,15704,6105,9382
81,T_0806,39859,15393,6845,8366
82,T_0807,28138,11916,5647,6109
83,T_0808,43743,19457,8107,11167
84,T_0809,68707,31330,12398,18610
85,T_0810,65878,26871,11395,15178
86,T_0811,79177,32608,12967,19294
87,T_0812,29663,13197,6382,6684
88,T_0861,99742,51601,23281,27829
89,T_0862,93961,53474,19240,33683
90,T_1001,88920,45623,32217,12843
91,T_1002,86232,36892,24137,12254
92,T_1003,40594,18453,12408,5851
93,T_1004,44242,18506,12896,5423
94,T_1005,66820,30897,21459,9049
95,T_1006,51001,26708,17032,9405
96,T_1007,61997,32248,24821,7078
97,T_1008,97263,51325,27806,22901
98,T_1009,42402,18556,13789,4549
99,T_1010,70483,33824,26711,6758
100,T_1011,34517,14199,10255,3720
101,T_1012,95179,41806,28424,12897
102,T_1013,39759,17098,12541,4378
103,T_1014,97507,46702,31972,14129
104,T_1015,29843,14527,11576,2774
105,T_1016,97814,49243,31016,17567
106,T_1017,62479,29125,19186,9540
107,T_1018,33339,14990,9941,4845
108,T_1019,53797,26665,16144,10232
109,T_1020,130266,64298,36715,26816
110,T_1021,24492,11686,8362,3179
111,T_1061,628658,347359,153929,188875
112,T_1062,64185,34964,20144,14341
113,T_1063,38748,20579,10604,9714
114,T_1201,76106,43261,30170,12760
115,T_1202,68241,37220,26410,10518
116,T_1203,103920,53261,27200,25447
117,T_1204,45506,22785,18749,3887
118,T_1205,83472,42594,29723,12485
119,T_1206,188018,102149,63312,38105
120,T_1207,89117,49831,38494,10962
121,T_1208,41319,17112,12454,4469
122,T_1209,86509,49420,33594,15462
123,T_1210,145032,84997,66287,18190
124,T_1211,136289,70309,45136,24714
125,T_1212,92864,45720,27764,17445
126,T_1213,122311,69245,39093,29511
127,T_1214,34468,14137,10935,3081
128,T_1215,62721,34518,23051,11187
129,T_1216,144151,78128,59692,17881
130,T_1217,52523,28921,16453,12280
131,T_1218,119352,66912,41108,25283
132,T_1219,79357,44044,26023,17719
133,T_1261,598865,374154,165936,205296
134,T_1262,65548,39583,24061,15181
135,T_1263,95222,52953,29043,23423
136,T_1401,25895,12442,9521,2813
137,T_1402,72408,32650,21444,10817
138,T_1403,81944,43440,32252,10821
139,T_1404,37723,16506,11621,4671
140,T_1405,61796,34887,18111,16500
141,T_1406,77386,37263,26980,9921
142,T_1407,50925,24458,17925,6286
143,T_1408,74123,43419,21890,21119
144,T_1409,30574,11555,8583,2844
145,T_1410,26430,13274,10669,2467
146,T_1411,37272,16843,13015,3645
147,T_1412,108743,58055,35170,22087
148,T_1413,57961,24790,16829,7666
