,teryt_code,eligible_voters,issued_ballots,Kaczynski,Komorowski
0,T_0201,71006,34864,13546,20954
1,T_0202,86899,42353,16706,25164
2,T_0203,70533,37264,18253,18508
3,T_0204,28822,12489,5539,6828
4,T_0205,42336,20232,9042,10980
5,T_0206,55518,29318,9060,19950
6,T_0207,37213,18539,6702,11566
7,T_0208,140876,69709,26226,42755
8,T_0209,42696,20581,9313,10999
9,T_0210,46768,22656,8426,13964
10,T_0211,84867,45113,24653,19975
11,T_0212,38535,17843,6830,10790
12,T_0213,29390,14061,6351,7537
13,T_0214,82461,41404,16010,24911
14,T_0215,58361,32085,14281,17441
15,T_0216,47923,24155,13862,10040
16,T_0217,36661,18472,8617,9665
17,T_0218,40098,18999,8275,10521
18,T_0219,129757,66112,26426,38840
19,T_0220,62856,31797,13648,17796
20,T_0221,145695,70719,22536,47204
21,T_0222,39772,20190,8509,11449
22,T_0223,86972,47847,20573,26845
23,T_0224,56182,26811,11371,15111
24,T_0225,75667,37797,14999,22298
25,T_0226,36706,17400,7348,9863
26,T_0261,68974,38642,12499,25638
27,T_0262,80863,43172,17257,25466
28,T_0264,499152,306750,107396,195702
29,T_0401,46750,24287,10861,13115
30,T_0402,60362,30094,14299,15383
31,T_0403,79944,41546,14122,26936
32,T_0404,40262,17867,6844,10786
33,T_0405,35344,16458,8543,7698
34,T_0406,30712,13369,5919,7263
35,T_0407,132504,65568,23742,40945
36,T_0408,52444,23028,11975,10721
37,T_0409,37354,17524,7233,9999
38,T_0410,67783,33641,12437,20832
39,T_0411,34851,16026,8502,7277
40,T_0412,35566,16567,9017,7357
41,T_0413,32664,15359,5779,9398
42,T_0414,77842,36899,13445,23025
43,T_0415,72371,34773,15093,19301
44,T_0416,37870,19758,8552,10963
45,T_0417,27593,12454,4738,7568
46,T_0418,69869,31339,16021,14906
47,T_0419,55871,27201,10921,15887
48,T_0461,285000,164932,56672,106301
49,T_0462,78460,40445,12580,27393
50,T_0463,158812,93430,33860,58605
51,T_0464,92899,50835,17031,33139
52,T_0601,90379,48537,30407,17585
53,T_0602,83643,45376,31800,13168
54,T_0603,64458,28284,17309,10643
55,T_0604,57009,27014,17261,9457
56,T_0605,38742,24156,19854,4096
57,T_0606,56913,27548,17250,9997
58,T_0607,80603,44618,31633,12463
59,T_0608,72729,39516,25765,13274
60,T_0609,112903,62196,43421,18047
61,T_0610,45399,22838,15046,7552
62,T_0611,85650,48925,35125,13321
63,T_0612,51684,26354,18505,7507
64,T_0613,30252,15999,9807,5997
65,T_0614,96344,55877,33152,22078
66,T_0615,49375,27543,19093,8146
67,T_0616,48155,27580,17617,9590
68,T_0617,58766,32048,19521,12157
69,T_0618,73133,36438,24082,11997
70,T_0619,34271,17395,9034,8143
71,T_0620,89695,45991,33237,12347
72,T_0661,45186,26756,13604,12842
73,T_0662,54972,29379,13880,15123
74,T_0663,276097,167556,83261,82422
75,T_0664,54237,29706,15567,13830
76,T_0801,52295,24364,8319,15723
77,T_0802,45163,20774,6505,13995
78,T_0803,48769,23631,7349,16037
79,T_0804,69401,33008,12549,20105
80,T_0805,36741,17330,5493,11641
81,T_0806,40657,18184,5931,12062
82,T_0807,28863,13290,4829,8296
83,T_0808,45126,22156,7134,14771
84,T_0809,72589,36007,10620,24989
85,T_0810,65247,29731,10824,18561
86,T_0811,78562,36235,11851,23953
87,T_0812,31451,15778,6404,9171
88,T_0861,98552,52992,17759,34603
89,T_0862,91598,54575,15415,38496
