,teryt_code,eligible_voters,issued_ballots,Duda,Komorowski
0,T_0201,70988,34683,16050,18129
1,T_0202,84242,41684,18623,22545
2,T_0203,70562,38462,20053,17907
3,T_0204,28499,12521,6167,6164
4,T_0205,41770,19975,9789,9906
5,T_0206,52940,26267,9344,16542
6,T_0207,36372,17694,7609,9821
7,T_0208,135304,65351,28943,35608
8,T_0209,43191,21616,10964,10331
9,T_0210,45653,21868,9244,12303
10,T_0211,84125,47270,28504,18160
11,T_0212,37817,17029,7555,9266
12,T_0213,29635,15062,7439,7415
13,T_0214,84847,43211,18335,24136
14,T_0215,59602,33374,16763,16203
15,T_0216,48886,26246,16653,9291
16,T_0217,36432,18544,9595,8723
17,T_0218,41739,20973,10168,10502
18,T_0219,128200,66081,28863,36372
19,T_0220,65942,34897,16358,18038
20,T_0221,46392,22320,8693,13241
21,T_0222,39767,20158,9722,10181
22,T_0223,100414,59158,26814,31451
23,T_0224,54674,26305,12534,13434
24,T_0225,74119,36163,17674,17868
25,T_0226,36326,17167,8218,8760
26,T_0261,66154,35433,12995,21900
27,T_0262,78830,41782,19225,21987
28,T_0264,502829,308125,124803,178384
29,T_0265,92218,45129,16572,27813
30,T_0401,47163,25024,12145,12543
31,T_0402,60708,30119,14920,14744
32,T_0403,85981,45864,17643,27566
33,T_0404,40183,19358,8262,10836
34,T_0405,35953,17087,9097,7796
35,T_0406,31201,14331,6669,7505
36,T_0407,131278,67785,29021,37754
37,T_0408,52449,23887,12808,10726
38,T_0409,37225,18338,8149,9954
39,T_0410,67985,34337,13428,20431
40,T_0411,34241,16548,9275,7067
41,T_0412,35278,16447,8866,7354
42,T_0413,32311,15586,6073,9342
43,T_0414,77884,37910,15525,21931
44,T_0415,77862,39514,18449,20503
45,T_0416,37877,19944,9194,10513
46,T_0417,27388,12612,5258,7159
47,T_0418,70023,31604,16716,14416
48,T_0419,55814,27911,11778,15703
49,T_0461,278713,160312,61587,96502
50,T_0462,74155,38812,14674,23555
51,T_0463,156518,92568,37854,53289
52,T_0464,90798,47488,18662,27988
53,T_0601,90120,46985,30073,16245
54,T_0602,82952,44355,33252,10613
55,T_0603,64412,29025,19289,9347
56,T_0604,55244,25296,16758,8290
57,T_0605,38368,22892,19188,3495
58,T_0606,55127,26642,17428,8879
59,T_0607,79025,42036,29834,11602
60,T_0608,71535,39403,27540,11295
61,T_0609,118653,66899,47089,18886
62,T_0610,45254,24419,17473,6605
63,T_0611,85190,47876,34855,12496
64,T_0612,50440,25298,17527,7449
65,T_0613,29449,14939,9694,5061
66,T_0614,95074,54438,34092,19579
67,T_0615,48732,26292,18351,7608
68,T_0616,46938,26591,17707,8461
69,T_0617,58153,32148,21654,9951
70,T_0618,70631,34450,24257,9721
71,T_0619,33038,16305,9366,6698
72,T_0620,89084,45173,33574,11164
73,T_0661,45277,25477,13439,11640
74,T_0662,53187,27815,15275,12114
75,T_0663,270521,165794,90730,72560
76,T_0664,52743,28047,16067,11618
77,T_0801,54424,26288,10570,15341
78,T_0802,44505,20193,7648,12179
79,T_0803,47358,22942,8577,14027
80,T_0804,68868,32950,14184,18325
81,T_0805,36712,17423,6342,10880
82,T_0806,39925,18196,7264,10717
83,T_0807,29227,13850,6003,7634
84,T_0808,44267,22025,8697,13032
85,T_0809,59593,29056,10367,18173
86,T_0810,64753,29848,12570,16758
87,T_0811,77868,35404,14453,20443
88,T_0812,30918,15080,6800,8083
89,T_0861,96895,50680,20363,29591
90,T_0862,106694,62158,21643,39581
91,T_1001,91134,54358,38155,15319
92,T_1002,82057,42456,24689,17184
93,T_1003,41566,22482,13116,9023
94,T_1004,43174,21561,12880,8392
95,T_1005,65642,36036,22102,13366
96,T_1006,55798,34396,18762,15147
97,T_1007,62599,37147,27047,9557
98,T_1008,96441,56666,26616,29151
99,T_1009,42653,22940,15732,6856
100,T_1010,73178,41837,30607,10635
101,T_1011,34673,17935,10553,7125
102,T_1012,94310,50203,31156,18369
103,T_1013,39866,21175,13704,7194
104,T_1014,97225,52008,30533,20705
105,T_1015,30703,17417,12532,4663
106,T_1016,95210,54356,31127,22424
107,T_1017,62658,33661,19094,14100
108,T_1018,33993,17614,9839,7501
109,T_1019,54058,29908,16178,13289
110,T_1020,133389,76880,37046,38642
111,T_1021,25076,14285,8474,5573
112,T_1061,562835,335514,128818,201473
113,T_1062,60371,35201,18256,16349
114,T_1063,38644,23019,11309,11322
115,T_1201,81953,49863,35580,13755
116,T_1202,73168,40934,28840,11625
117,T_1203,102150,57814,29460,27475
118,T_1204,47752,23760,18427,5083
119,T_1205,87043,47198,31883,14800
120,T_1206,210108,125687,76041,47926
121,T_1207,97479,58522,46490,11482
122,T_1208,40883,20958,14375,6340
123,T_1209,96368,58576,41830,15991
124,T_1210,161890,100217,78602,20637
125,T_1211,148532,77759,54766,22029
126,T_1212,92121,52491,31187,20478
127,T_1213,123668,73394,39795,32517
128,T_1214,35480,17513,11864,5414
129,T_1215,66532,37557,25517,11574
130,T_1216,156451,87686,65247,21513
131,T_1217,55045,30310,19559,10457
132,T_1218,125646,72615,42791,28709
133,T_1219,92342,55302,32917,21692
134,T_1261,596651,378687,176990,196246
135,T_1262,65657,40375,24916,14994
136,T_1263,91528,51330,28025,22445
137,T_1401,27094,15219,11018,4007
138,T_1402,73056,37532,21972,15031
139,T_1403,85494,52494,38734,13117
140,T_1404,37843,19225,12205,6733
141,T_1405,69405,44522,21034,22849
142,T_1406,79620,46005,28262,17103
143,T_1407,51169,28806,20217,8181
144,T_1408,85905,55192,26605,27812
145,T_1409,29515,13952,9353,4450
146,T_1410,26229,13952,9759,4014
147,T_1411,37336,20106,13888,6024
148,T_1412,117301,71639,41797,28727
149,T_1413,58526,30044,18420,11292
150,T_1414,63010,35498,19076,15905
151,T_1415,69706,35969,25456,10121
152,T_1416,59700,33132,23703,9077
153,T_1417,96573,62985,35517,26573
154,T_1418,130932,85959,38936,45821
155,T_1419,88070,44646,29716,14333
156,T_1420,71214,34698,21544,12735
157,T_1421,123504,82642,38421,43028
158,T_1422,42206,21569,14425,6899
159,T_1423,35306,20258,15201,4765
160,T_1424,41143,22383,14356,7695
161,T_1425,118899,66376,47527,18084
162,T_1426,64865,37328,28324,8592
163,T_1427,42547,21024,13630,7191
164,T_1428,67839,37620,22469,14690
165,T_1429,45698,26773,18861,7622
166,T_1430,32225,16887,12188,4452
167,T_1432,85728,56386,27545,28176
168,T_1433,54576,31077,21014,9713
169,T_1434,176041,111237,66269,43440
170,T_1435,58521,34176,22486,11275
171,T_1436,29770,15751,11644,3900
172,T_1437,32276,15630,9489,5969
173,T_1438,59800,34403,18509,15406
174,T_1461,41639,23788,14096,9371
175,T_1462,98157,56732,29128,26811
176,T_1463,169861,100500,54225,44825
177,T_1464,61223,37158,21357,15233
178,T_1465,1360512,931220,371864,544914
179,T_1499,257062,132380,88607,69800
180,T_1601,72529,35875,18316,17040
181,T_1602,38546,18579,10277,8067
182,T_1603,76641,35738,12971,22137
183,T_1604,54479,25361,11174,13829
184,T_1605,52425,21521,7115,14036
185,T_1606,34522,17688,8244,9199
186,T_1607,115233,54806,27328,26682
187,T_1608,53583,23990,10345,13212
188,T_1609,108394,46506,15700,30087
189,T_1610,45682,21210,10056,10882
