,teryt_code,eligible_voters,issued_ballots,Duda,Trzaskowski
0,T_0201,67800,42238,20966,21281
1,T_0202,77836,48353,24383,23959
2,T_0203,66323,43970,22722,21157
3,T_0204,26736,15692,8957,6758
4,T_0205,39507,24506,13358,11179
5,T_0206,54592,36278,13131,23225
6,T_0207,33809,20896,9920,10946
7,T_0208,129045,80179,37276,43032
8,T_0209,41869,27258,15259,11950
9,T_0210,43150,26778,12096,14626
10,T_0211,79505,52898,29704,23127
11,T_0212,35812,21242,10206,11028
12,T_0213,28856,18348,10153,8219
13,T_0214,81819,52853,25524,27461
14,T_0215,58184,39995,19825,20178
15,T_0216,46926,30239,18597,11527
16,T_0217,35011,22948,13199,9830
17,T_0218,42361,27979,14656,13331
18,T_0219,120298,77535,36334,41242
19,T_0220,65963,44907,22627,22278
20,T_0221,43390,26738,11265,15507
21,T_0222,37493,23924,12847,11032
22,T_0223,114486,84465,35366,49142
23,T_0224,51235,31465,17141,14401
24,T_0225,69163,42919,20352,22514
25,T_0226,33719,21045,10788,10226
26,T_0261,60866,40401,14403,26042
27,T_0262,72273,46816,21190,25640
28,T_0264,501319,364567,121958,243387
29,T_0265,81030,49609,19628,29884
30,T_0401,45431,29625,16198,13459
31,T_0402,60724,38372,21478,16839
32,T_0403,89345,61671,24536,37128
33,T_0404,38321,23294,11618,11632
34,T_0405,35036,21583,12907,8661
35,T_0406,30558,18077,10350,7692
36,T_0407,124249,78525,36641,41865
37,T_0408,51610,30168,18164,11998
38,T_0409,36264,22445,11926,10472
39,T_0410,65229,40733,20058,20617
40,T_0411,33286,20860,13477,7399
41,T_0412,34170,20935,12569,8357
42,T_0413,31132,18997,9882,9101
43,T_0414,75066,46146,23411,22667
44,T_0415,80713,52883,25117,27798
45,T_0416,38000,24492,13980,10472
46,T_0417,26062,15437,7935,7480
47,T_0418,69407,43026,25230,17791
48,T_0419,54278,34241,17762,16418
49,T_0461,255625,177645,66131,111726
50,T_0462,67400,42706,17782,24856
51,T_0463,147733,103739,38332,65567
52,T_0464,83294,53744,21244,32477
53,T_0601,87609,54858,38924,16352
54,T_0602,80984,52665,39532,13073
55,T_0603,62527,36482,26523,10045
56,T_0604,51809,30140,21601,8577
57,T_0605,36801,25808,21795,4088
58,T_0606,52360,31644,22100,9739
59,T_0607,75402,48960,35542,13354
60,T_0608,70086,46847,33693,13015
61,T_0609,121756,83380,56890,26464
62,T_0610,44143,28986,20528,8465
63,T_0611,82375,57240,44231,12887
64,T_0612,47984,30605,22414,8182
65,T_0613,28358,17963,12228,5680
66,T_0614,91520,62447,38844,23619
67,T_0615,47193,30486,22736,7599
68,T_0616,44301,30538,21319,9204
69,T_0617,56029,37208,24088,13218
70,T_0618,68062,41111,30349,10885
71,T_0619,32637,20788,12612,8147
72,T_0620,87992,55998,42139,13982
73,T_0661,43771,28751,16160,12580
74,T_0662,48686,30411,16196,14199
75,T_0663,259924,178061,87087,91502
76,T_0664,49350,31700,17922,13774
77,T_0801,54187,35507,14092,21299
78,T_0802,42336,26095,10339,15811
79,T_0803,46410,29464,12079,17516
80,T_0804,65374,41669,18506,23153
81,T_0805,35798,22717,8756,13929
82,T_0806,38733,23487,10585,12861
83,T_0807,27433,17081,7968,9064
84,T_0808,43548,27971,11450,16458
85,T_0809,58070,37662,14924,22683
86,T_0810,60031,36380,16843,19530
87,T_0811,73286,44449,18415,26008
88,T_0812,30574,19173,10168,8978
89,T_0861,90649,60685,22330,38237
90,T_0862,103880,74491,23134,51322
91,T_1001,87411,61130,41128,19750
92,T_1002,76663,50124,30888,19243
