,teryt_code,eligible_voters,issued_ballots,Nawrocki,Trzaskowski
0,T_0201,65527,42992,21717,20946
1,T_0202,71928,46612,22827,23370
2,T_0203,63088,43782,22223,21203
3,T_0204,24781,15208,8839,6255
4,T_0205,36460,23843,12902,10747
5,T_0206,49549,33661,12516,20869
6,T_0207,31147,20213,9497,10532
7,T_0208,117682,76282,35713,39876
8,T_0209,41196,28018,15599,12195
9,T_0210,40149,25967,11886,13871
10,T_0211,76486,54554,29889,24233
11,T_0212,33018,20586,9863,10546
12,T_0213,27618,18118,9907,8061
13,T_0214,80749,55213,25898,28859
14,T_0215,57545,41348,20384,20647
15,T_0216,45065,30809,19085,11462
16,T_0217,33514,22859,12761,9911
17,T_0218,44322,31612,16137,15189
18,T_0219,113174,76842,35417,40725
19,T_0220,66971,48397,24365,23580
20,T_0221,40172,25659,10668,14733
21,T_0222,35943,24357,12997,11141
22,T_0223,131387,103677,41671,61048
23,T_0224,47298,29780,15835,13680
24,T_0225,65433,42813,21312,21144
25,T_0226,31312,20224,10337,9733
26,T_0261,56433,39497,13834,25399
27,T_0262,66601,45586,20461,24758
28,T_0264,510438,401584,130794,266655
29,T_0265,72421,47185,17884,28937
30,T_0401,44950,30821,16606,13937
31,T_0402,57537,37338,21125,15924
32,T_0403,93310,67598,26727,40276
33,T_0404,36426,23093,11695,11216
34,T_0405,33181,21143,12631,8331
35,T_0406,29690,18450,10681,7631
36,T_0407,114937,75658,35513,39496
37,T_0408,48024,29651,17978,11398
38,T_0409,33801,21426,11437,9751
39,T_0410,62944,41367,19978,21023
40,T_0411,30415,19403,12605,6643
41,T_0412,32260,20191,11916,8126
42,T_0413,29290,18426,9613,8666
43,T_0414,71187,45395,23308,21689
44,T_0415,83196,57787,27457,29826
45,T_0416,35957,23699,13929,9545
46,T_0417,24399,14935,7784,7041
47,T_0418,65492,42011,24817,16804
48,T_0419,51891,34129,17653,16131
49,T_0461,241446,176614,62363,112947
50,T_0462,62101,41288,16232,24753
51,T_0463,143940,107472,38563,67978
52,T_0464,75575,51190,20049,30728
53,T_0601,82225,55352,39914,14960
54,T_0602,74673,50690,38313,11994
55,T_0603,57708,35930,26459,9220
56,T_0604,45816,28301,20078,8007
57,T_0605,33739,24772,20735,3874
58,T_0606,47441,30258,20635,9415
59,T_0607,69213,46568,33617,12534
60,T_0608,66134,46627,33660,12550
61,T_0609,123544,90787,60739,29176
62,T_0610,42301,29970,21834,7882
63,T_0611,76888,55928,43799,11686
64,T_0612,44055,29540,21331,7941
65,T_0613,25623,17066,11851,5080
66,T_0614,86115,61654,37940,23156
67,T_0615,43428,29820,22526,7065
68,T_0616,40832,29817,20566,9008
69,T_0617,53710,37864,23842,13673
70,T_0618,61084,39376,28621,10472
71,T_0619,28634,18717,11446,7102
72,T_0620,80168,53195,40329,12478
73,T_0661,40716,29091,16931,11933
74,T_0662,44001,29160,15610,13359
75,T_0663,255018,190228,92136,96429
76,T_0664,44705,30448,17207,13059
77,T_0801,54467,36891,15661,20892
78,T_0802,39855,25113,10433,14462
79,T_0803,42269,27504,11513,15756
80,T_0804,62097,40851,18434,22058
81,T_0805,35120,22431,9179,13058
82,T_0806,35488,22134,10295,11716
83,T_0807,26035,16839,8344,8339
84,T_0808,40967,26888,11974,14668
85,T_0809,56478,37906,15278,22277
86,T_0810,55603,34934,16425,18193
87,T_0811,68337,42877,18257,24293
88,T_0812,28378,18308,9759,8408
89,T_0861,83571,58340,22231,35700
90,T_0862,102390,76472,24199,51657
91,T_1001,82933,60560,40664,19263
