,teryt_code,eligible_voters,issued_ballots,SLDUP,AWSP,UW,SAMOOBRONA,PIS,PSL,PO,ARS,PWN,LPR,MN,PUG,PPS,NMNGSL
0,T_0201,67938,28762,13378,895,1211,2820,2446,2249,2404,110,0,1884,0,0,0,0
1,T_0203,69731,32207,16594,1523,1543,2990,1863,1325,2810,76,0,2033,0,0,0,0
2,T_0205,41257,17742,8061,849,254,2262,1174,1807,1467,45,0,1054,0,0,0,0
3,T_0206,51182,21281,11054,930,705,1638,1595,1149,2269,82,0,956,0,0,0,0
4,T_0207,37466,15809,8647,744,572,1283,948,523,1507,59,0,770,0,0,0,0
5,T_0209,40225,16867,7776,427,341,2413,668,2044,1218,98,0,1039,0,0,0,0
6,T_0210,46292,19978,11461,641,286,1924,1086,791,1645,145,0,1119,0,0,0,0
7,T_0211,84284,37791,19204,1449,1158,3094,2313,1510,5504,93,0,1931,0,0,0,0
8,T_0212,38037,15553,8370,673,362,1418,1056,922,1154,64,0,734,0,0,0,0
9,T_0216,45592,19414,9679,721,466,2366,879,1087,1903,88,0,1202,0,0,0,0
10,T_0225,75750,31647,16760,1317,660,2629,2196,1576,3641,193,0,1282,0,0,0,0
11,T_0226,35815,15153,7481,427,244,1704,721,1554,1336,73,0,898,0,0,0,0
12,T_0261,72129,33568,17940,1065,1601,1928,3157,1174,3938,104,0,1677,0,0,0,0
13,T_0262,82647,37152,19896,1713,1086,2451,2969,1360,3671,97,0,2756,0,0,0,0
14,T_0202,87361,39027,20984,1492,864,3380,1494,1876,4319,171,0,2511,0,0,0,0
15,T_0208,139247,61090,28009,2417,2362,6875,3186,4365,5939,403,0,4171,0,0,0,0
16,T_0219,128509,57898,25785,2908,2040,6313,2538,2350,8930,239,0,3784,0,0,0,0
17,T_0221,47969,20365,10659,676,376,2092,770,1455,2078,94,0,1040,0,0,0,0
18,T_0224,55601,24792,11894,854,733,3528,884,1830,2109,106,0,1527,0,0,0,0
19,T_0263,106507,44892,26907,1649,1330,3535,2131,1045,4306,281,0,2239,0,0,0,0
20,T_0204,27560,11419,4817,458,239,2224,463,1033,966,65,0,455,0,0,0,0
21,T_0213,27990,13244,5607,557,284,1888,366,1486,1595,46,0,683,0,0,0,0
22,T_0214,78216,32692,14489,1371,846,4161,1972,2004,3841,140,0,2322,0,0,0,0
23,T_0215,54578,24437,9038,1768,1013,2999,1622,1292,3364,91,0,2010,0,0,0,0
24,T_0217,35473,15563,6287,589,321,2680,536,1414,1577,57,0,1327,0,0,0,0
25,T_0218,36949,14594,6240,508,309,2129,659,1295,1466,60,0,1096,0,0,0,0
26,T_0220,56875,22810,8301,1157,683,3529,1402,2071,2998,112,0,1402,0,0,0,0
27,T_0222,38086,16792,7280,666,347,2191,684,1054,2725,77,0,893,0,0,0,0
28,T_0223,69908,29466,9264,1311,807,4887,1996,3323,3775,165,0,2543,0,0,0,0
29,T_0264,499220,252905,92651,13446,16104,13135,33274,4869,52351,1051,0,20182,0,0,0,0
30,T_0403,63932,26283,11715,1237,437,3576,1671,1668,2212,66,0,1827,0,49,0,0
31,T_0407,128223,59159,32020,3066,892,5724,2755,4829,3649,163,0,3131,0,71,0,0
32,T_0409,35646,17284,7955,558,330,2084,707,2741,791,70,0,839,0,21,0,0
33,T_0410,63336,28036,12505,1405,549,3048,1281,4134,1631,63,0,1637,0,73,0,0
34,T_0413,30431,14068,5740,437,209,1986,515,1793,1166,41,0,1277,0,25,0,0
35,T_0414,74280,29986,13146,1006,436,3647,1452,3611,2400,83,0,2140,0,68,0,0
36,T_0416,34739,16750,7156,660,205,2106,797,1804,1668,41,0,1171,0,68,0,0
37,T_0419,52887,24948,11953,1022,519,3086,1021,2923,1125,59,0,1534,0,57,0,0
38,T_0461,294650,145559,71296,7723,4225,7696,15220,3525,16262,331,0,14547,0,239,0,0
39,T_0401,43835,19542,8586,860,283,2305,1463,1946,1445,43,0,1468,0,38,41,0
40,T_0402,55852,24201,9049,834,362,3248,1027,3718,2704,63,0,1861,0,71,40,0
41,T_0404,38882,15899,6795,396,258,2388,660,1491,1020,46,0,1740,0,44,39,0
42,T_0405,33145,14159,5733,535,163,2434,523,1952,935,29,0,979,0,47,26,0
43,T_0406,28369,11142,3981,303,136,3246,424,1089,656,25,0,534,0,24,20,0
44,T_0408,49855,17495,7358,666,193,2533,837,2626,1224,65,0,898,0,47,38,0
45,T_0411,33743,15001,6857,426,129,2352,461,2551,473,27,0,575,0,74,96,0
46,T_0412,34228,12574,5185,469,118,1445,453,2257,1244,31,0,718,0,16,24,0
47,T_0415,59532,21787,8725,689,411,3082,1697,2236,1620,36,0,1878,0,50,41,0
48,T_0417,26542,11188,4644,398,148,2186,449,1117,1001,30,0,545,0,19,20,0
49,T_0418,65467,26627,10911,984,234,4482,895,4594,1163,71,0,1202,0,194,48,0
50,T_0462,78385,32985,17537,925,881,2538,3003,588,4079,96,0,1796,0,31,50,0
51,T_0463,158508,75384,32915,2483,4566,4286,8617,1410,10259,132,0,8404,0,52,57,0
52,T_0464,96472,44623,26151,3836,742,2752,2255,1322,3433,86,0,2225,0,52,126,0
53,T_0605,37307,19854,5014,1479,96,3273,671,4946,716,107,0,2777,0,0,69,0
54,T_0607,79119,37726,11442,1604,450,5918,2924,8107,2021,158,0,3272,0,0,211,0
55,T_0608,70564,31731,9881,1328,694,5069,1734,6627,1510,120,0,3212,0,0,108,0
56,T_0609,101102,45906,9755,1362,574,9468,2547,13583,2078,183,0,4330,0,0,114,0
57,T_0610,41155,17037,5851,831,216,2933,1050,3389,827,69,0,1168,0,0,36,0
58,T_0611,81889,39987,14452,1362,382,6037,1811,9724,1623,163,0,2553,0,0,80,0
59,T_0612,50509,21892,7111,584,176,3842,830,5736,1076,136,0,1400,0,0,33,0
60,T_0614,94149,43206,13354,1461,803,5496,4151,6275,6004,173,0,3763,0,0,144,0
61,T_0616,47775,23641,9495,398,195,2542,1441,6224,890,82,0,1376,0,0,35,0
62,T_0617,56927,25420,8402,1074,402,3673,2959,3275,2468,128,0,2159,0,0,47,0
63,T_0663,274882,143394,54057,8064,5470,9545,20769,7112,17630,390,0,17029,0,0,302,0
64,T_0601,87722,40166,11678,2026,384,7345,1457,9071,2380,121,0,3798,0,0,0,0
65,T_0602,79848,37984,10938,1634,504,5662,1916,8864,2094,153,0,4611,0,0,0,0
66,T_0603,57438,22988,8917,817,255,4010,695,3940,1244,157,0,1514,0,0,0,0
67,T_0604,57687,27194,8582,952,330,5194,1234,6018,749,149,0,2581,0,0,0,0
68,T_0606,63571,28005,9743,749,817,4242,1057,6432,1310,113,0,2128,0,0,0,0
69,T_0613,29621,14166,4427,373,123,2344,612,3587,579,51,0,1395,0,0,0,0
70,T_0615,48081,24086,6881,489,191,3711,1142,6928,1167,93,0,2479,0,0,0,0
71,T_0618,71042,34218,9733,848,375,5224,1135,9471,1643,91,0,3955,0,0,0,0
72,T_0619,32789,14359,5516,530,226,1839,522,2490,839,76,0,1438,0,0,0,0
73,T_0620,86070,39974,9131,1060,454,7611,2089,10373,1248,137,0,5744,0,0,0,0
74,T_0661,42912,21415,9295,1510,403,2229,1291,1869,1723,41,0,2404,0,0,0,0
75,T_0662,54689,25215,11682,1244,419,2134,2102,1537,3114,111,0,2022,0,0,0,0
76,T_0664,51654,26214,10854,837,591,2310,2493,2011,1958,61,0,4305,0,0,0,0
77,T_0801,46435,18081,8566,1012,525,2238,913,1113,1428,59,0,833,0,264,47,0
78,T_0802,44503,17034,9083,844,538,1988,538,815,1410,124,0,586,0,64,50,0
79,T_0803,45599,19657,10020,749,750,1886,667,1642,1681,80,0,920,0,232,51,0
80,T_0804,95306,40117,18262,2796,899,4136,2614,3023,3690,124,0,2363,0,63,130,0
81,T_0805,34471,13836,6612,528,356,1589,535,1292,1140,51,0,613,0,278,38,0
82,T_0806,38554,15557,7068,593,525,1906,636,2091,921,51,0,541,0,148,37,0
83,T_0807,27564,12586,3974,566,216,935,294,4628,637,35,0,466,0,40,19,0
84,T_0808,42293,18124,8803,1116,430,1674,943,1299,1669,49,0,1168,0,41,50,0
85,T_0809,64517,26350,13125,1565,647,2565,1026,1717,2409,124,0,1551,0,69,93,0
86,T_0810,64532,26446,13720,1163,707,2699,890,1616,2669,124,0,1369,0,27,76,0
87,T_0811,76923,29659,16424,1823,734,2595,1210,1180,2437,117,0,1431,0,50,80,0
88,T_0861,97667,45109,22151,2332,2093,3212,4589,1353,4834,103,0,2690,0,97,56,0
89,T_0862,91545,45238,22982,3608,2072,2534,2817,1613,5697,131,0,2447,0,61,72,0
90,T_1006,71862,31827,10949,1667,477,4739,1972,3815,3037,98,53,3515,0,0,78,0
91,T_1061,637877,312687,163974,17443,10306,17684,31144,4055,37530,682,275,21094,0,0,570,0
92,T_1001,83916,37178,14593,1325,730,6805,2512,2758,3637,253,32,2673,0,0,123,0
93,T_1007,60747,27989,8835,1607,288,4244,950,6012,1616,71,37,2699,0,0,61,0
94,T_1010,69183,29167,7865,938,258,6615,1107,5840,2020,96,39,2609,0,0,154,0
95,T_1012,94493,42441,18769,2398,551,5420,3151,4938,2511,111,53,1897,0,0,260,0
96,T_1013,38965,17120,5152,418,223,3283,748,4918,702,39,19,813,0,0,28,0
97,T_1015,29497,13560,3029,331,116,3100,527,4145,477,33,13,790,0,0,28,0
98,T_1016,96243,42274,16005,2834,844,5607,2673,5256,3789,138,49,2808,0,0,208,0
99,T_1062,64002,29595,14035,1282,594,2445,2283,1264,3675,131,16,2753,0,0,163,0
100,T_1063,37403,17612,8674,589,376,1313,1478,1269,1915,79,10,1241,0,0,16,0
101,T_1002,85994,39725,16794,1138,659,7002,1974,5527,2079,327,0,1879,0,0,142,0
102,T_1003,40003,16743,6361,537,203,2942,1036,2290,1255,86,0,1275,0,0,55,0
103,T_1004,43944,19684,6550,628,222,5208,596,2772,1197,65,0,1016,0,0,94,0
104,T_1005,65731,30784,9977,1043,318,4465,1406,8145,1774,85,0,1948,0,0,68,0
105,T_1008,96417,44046,18660,1480,934,4632,3765,2266,5529,124,0,4562,0,0,218,0
106,T_1009,41711,18490,6714,526,200,4560,815,2914,891,66,0,782,0,0,39,0
107,T_1011,34316,15188,5076,405,162,3263,495,3313,701,74,0,714,0,0,49,0
108,T_1014,95329,45793,16462,1650,625,8889,1994,6737,2467,164,0,4245,0,0,135,0
109,T_1017,61548,30751,11067,841,360,6037,1369,5016,2549,125,0,1683,0,0,85,0
110,T_1018,32800,16614,6021,633,206,2736,595,3515,816,58,0,1167,0,0,30,0
111,T_1019,52306,25112,11471,1280,580,3280,1535,1735,2014,100,0,2083,0,0,71,0
112,T_1020,125773,55321,24463,2949,944,7390,4037,2946,5395,160,0,4178,0,0,144,0
113,T_1203,101341,49919,24503,2657,1164,3292,3726,1835,6555,458,0,3321,0,0,0,0
114,T_1209,81049,36314,6722,3788,845,3295,3807,3723,5999,153,0,6051,0,0,0,0
115,T_1213,117394,59830,23866,4319,1816,4119,4715,5548,7649,301,0,4480,0,0,0,0
116,T_1215,60185,27780,5470,3717,842,2479,3028,3120,3206,91,0,3933,0,0,0,0
117,T_1218,115295,55587,15949,3242,1499,5013,6159,5969,7173,241,0,7277,0,0,0,0
118,T_1206,176849,78309,20593,3561,1870,9127,8543,9451,12696,211,0,8119,0,0,0,0
119,T_1208,41020,18877,6491,416,278,3991,661,3656,1604,113,0,760,0,0,0,0
120,T_1212,95785,47027,24444,1896,971,5167,2433,2896,3907,174,0,3093,0,0,0,0
121,T_1261,574453,304265,94514,13184,22201,11579,57906,6165,60526,577,0,29947,0,0,0,0
122,T_1205,80447,37368,12173,2875,383,3727,2492,4685,5635,195,0,3286,0,0,0,0
123,T_1207,84329,40605,6000,4162,351,3219,4100,6993,9046,598,0,3863,0,0,0,0
124,T_1210,136996,69134,13787,11116,805,5535,6819,8078,11470,497,0,6947,0,0,0,0
125,T_1211,128271,55211,9273,5095,1910,4482,7487,3903,10553,304,0,9059,0,0,0,0
126,T_1217,50581,23552,3713,4448,957,1423,3335,2049,4074,147,0,2389,0,0,0,0
127,T_1262,63113,34841,12689,3954,645,1342,4634,1132,6521,114,0,2732,0,0,0,0
128,T_1201,71304,34390,7516,2157,652,3819,3187,6739,4011,97,0,4463,0,0,0,0
129,T_1202,65078,30444,6467,1865,754,2674,2818,4824,4849,109,0,4061,0,0,0,0
130,T_1204,43257,19157,4465,848,190,2360,1020,5208,2094,43,0,1856,0,0,0,0
131,T_1214,33793,14433,3203,259,266,2568,364,5707,695,35,0,647,0,0,0,0
132,T_1216,130655,60162,11299,4119,875,6428,5053,11910,7311,185,0,9045,0,0,0,0
133,T_1219,74700,33119,7845,5113,725,2622,3410,3084,4839,135,0,3713,0,0,0,0
134,T_1263,94012,47200,17026,3439,1557,2262,6251,1890,7355,134,0,5659,0,0,0,0
135,T_1402,70532,31204,13857,1505,538,3784,1970,4201,2411,79,0,1496,0,0,43,0
136,T_1404,37020,15898,5670,509,190,2490,813,3559,846,86,0,919,0,0,27,0
137,T_1413,56823,24801,9613,2034,261,2753,1052,4823,1292,84,0,1381,0,0,39,0
138,T_1419,78395,31170,10382,1233,316,5165,1503,7845,1240,179,0,1365,0,0,69,0
139,T_1420,68896,25548,8629,1291,385,4048,1339,4464,2365,120,0,1464,0,0,37,0
140,T_1422,41571,17821,6250,913,167,2270,1043,3359,1206,74,0,1477,0,0,37,0
141,T_1427,41514,16842,6301,649,207,2532,682,3589,1064,70,0,833,0,0,31,0
142,T_1428,63936,25787,8248,1617,546,3101,2333,4879,2054,112,0,1435,0,0,61,0
143,T_1437,31708,13349,4484,724,66,1903,631,3486,570,51,0,685,0,0,28,0
144,T_1438,57899,23096,9873,870,437,2110,2489,1992,2501,96,0,1626,0,0,46,0
145,T_1462,100842,47840,23825,2349,2022,3744,5587,2115,4466,101,0,2055,0,0,135,0
146,T_1401,25316,10360,2279,749,106,1548,449,3043,974,39,0,660,0,10,0,0
147,T_1406,83203,35322,9755,1442,340,5936,2799,8807,2053,104,0,2531,0,25,0,0
148,T_1407,49407,20569,6409,714,206,3432,1415,4207,1904,50,0,1401,0,12,0,0
149,T_1409,30853,14107,5392,330,100,2211,236,4152,335,88,0,610,0,9,0,0
150,T_1423,35329,15739,3594,908,249,3463,534,3294,1143,70,0,1581,0,18,0,0
151,T_1425,104781,43062,12639,1962,491,6139,2412,8416,4967,267,0,3427,0,52,0,0
152,T_1430,31391,13233,3888,749,166,1430,760,2120,2428,53,0,892,0,16,0,0
153,T_1436,28933,11511,3388,417,111,1900,302,3435,494,177,0,702,0,14,0,0
154,T_1463,178055,83767,34269,5724,2007,6073,10079,5482,10961,296,0,6488,0,81,0,0
155,T_1403,79156,35518,8707,1121,490,6027,3032,8313,2884,165,0,3348,0,0,19,0
156,T_1410,26303,13641,3549,475,95,2996,742,3569,438,44,0,1105,0,0,6,0
157,T_1411,36952,17161,5144,416,164,1900,609,5481,1333,53,0,1296,0,0,19,0
158,T_1412,115376,51148,15214,2545,1092,5120,6247,7163,6687,239,0,4962,0,0,125,0
159,T_1415,61474,24371,5559,2206,215,2824,930,7726,869,99,0,2748,0,0,35,0
160,T_1416,58581,24851,7127,1791,421,2989,1936,5291,1279,160,0,2860,0,0,23,0
161,T_1424,38311,16414,5096,331,185,1501,1144,5354,1151,33,0,904,0,0,13,0
162,T_1426,58937,29054,6031,1363,220,7037,1574,8055,1101,107,0,2404,0,0,29,0
163,T_1429,46815,24865,5890,884,256,4420,1568,7118,1011,148,0,2551,0,0,16,0
164,T_1433,53612,22987,5803,700,204,4672,1824,5043,1131,112,0,2557,0,0,15,0
165,T_1435,52770,22385,6484,691,706,1849,2127,6002,1640,92,0,1785,0,0,28,0
166,T_1461,41611,19419,8373,1436,386,1420,1543,1955,1768,66,0,1922,0,0,20,0
167,T_1464,56870,29980,12962,1814,674,2522,3609,2187,2966,96,0,2416,0,0,31,0
168,T_1431,1297124,724428,263243,27566,45670,22039,153436,11412,134464,1340,310,47655,0,0,1147,0
169,T_1499,41817,26795,6819,1931,2626,359,4990,498,4172,70,24,4676,0,0,64,0
170,T_1405,56964,24707,8672,811,829,1763,3278,1543,5314,66,23,1700,0,0,0,0
171,T_1408,68047,30893,11691,1296,844,2472,4732,1859,4376,79,19,2535,0,0,0,0
172,T_1414,56802,23439,9078,920,319,2352,2462,4047,1870,49,15,1359,0,0,0,0
173,T_1417,84868,41291,10227,1829,1128,3346,7569,5060,5500,177,49,5047,0,0,0,0
174,T_1418,88463,39284,12213,1801,1566,2782,6431,3512,6680,90,39,2943,0,0,0,0
175,T_1421,107771,52357,15475,2126,2222,3327,11382,2587,9629,267,52,3908,0,0,0,0
176,T_1432,67917,29718,8529,1235,1031,2556,5259,2358,5151,76,24,2528,0,0,0,0
177,T_1434,140684,61517,14330,4358,1296,5619,12041,5285,8564,214,61,7482,0,0,0,0
178,T_1601,71469,31506,12474,1144,803,4331,1815,2259,3244,125,89,3718,188,0,0,0
179,T_1602,39996,16490,6241,907,432,2912,843,1261,1547,64,36,999,322,0,0,0
180,T_1603,81253,31394,12261,1009,1065,1953,1647,620,3672,106,91,1837,5777,0,0,0
181,T_1604,54715,21346,7059,885,642,2531,1120,1682,2501,71,37,1618,2196,0,0,0
182,T_1605,54312,16650,5179,553,447,885,477,282,1489,69,96,472,5612,0,0,0
183,T_1606,33597,14862,6106,446,244,2011,614,1612,1476,72,51,1220,194,0,0,0
184,T_1607,115298,51459,19897,2164,1042,9094,2990,3508,6012,192,132,3576,606,0,0,0
185,T_1608,54069,21452,7403,591,614,2301,473,1298,2532,60,121,761,4151,0,0,0
186,T_1609,104333,33962,9554,843,623,2217,1110,992,3378,125,147,1487,11209,0,0,0
187,T_1610,47605,19301,5976,493,453,2774,755,1000,2047,143,209,1700,2731,0,0,0
188,T_1611,64495,21297,6636,730,375,1184,679,417,1712,75,58,827,7212,0,0,0
189,T_1661,98875,46912,21992,1622,2856,2043,4053,871,7593,171,94,2359,2142,0,0,0
190,T_1801,37865,15949,6343,1149,307,1624,1788,1321,1414,68,0,984,0,0,0,0
191,T_1802,48938,21294,5008,2505,206,3248,2269,2496,1241,118,0,2894,0,0,0,0
192,T_1804,91240,45229,11586,4112,611,5054,4311,9778,2718,278,0,4379,0,0,0,0
193,T_1805,93203,43678,12275,6790,538,6169,2632,5107,3082,143,0,4486,0,0,0,0
194,T_1807,81536,39806,10915,3677,465,5675,3075,4266,3102,172,0,6275,0,0,0,0
195,T_1809,42871,21686,5890,1544,238,2026,2386,6107,696,78,0,1283,0,0,0,0
196,T_1813,52428,22747,5758,2039,433,3394,1206,4548,967,117,0,2544,0,0,0,0
197,T_1814,58650,29872,7328,2722,301,2860,1436,8572,1389,92,0,3629,0,0,0,0
198,T_1817,72298,31163,12046,2325,592,3651,2229,2931,2584,178,0,2957,0,0,0,0
199,T_1861,38031,19697,7645,1374,573,1536,2257,872,1990,127,0,2750,0,0,0,0
200,T_1862,52694,25559,9834,2568,979,1482,2705,1584,1827,67,0,3396,0,0,0,0
201,T_1803,97019,47143,16516,2684,870,4554,3865,6866,3001,183,0,6270,0,0,0,0
202,T_1806,44497,20146,3961,4228,181,2654,822,3418,1214,277,0,2429,0,0,0,0
203,T_1808,51188,25667,4914,5900,218,2838,1274,3432,1226,77,0,4737,0,0,0,0
204,T_1810,56696,29744,5637,3310,211,2791,2433,5655,1698,142,0,6603,0,0,0,0
205,T_1811,99006,45942,14347,3179,615,5224,2609,7281,4192,123,0,6483,0,0,0,0
206,T_1812,49214,20831,6253,1646,172,2663,1712,2235,1432,116,0,3459,0,0,0,0
207,T_1815,51512,26328,3887,2717,185,2714,1253,8126,1875,347,0,3942,0,0,0,0
208,T_1816,123997,62744,13906,5863,570,7706,4805,8262,6098,361,0,12149,0,0,0,0
209,T_1818,85510,39130,14580,3768,469,3092,4333,2514,3260,207,0,5487,0,0,0,0
210,T_1819,46143,21391,4943,1486,230,2829,1415,4114,2360,175,0,2800,0,0,0,0
211,T_1820,41221,18272,7113,1134,172,1918,963,2616,1081,111,0,2210,0,0,0,0
212,T_1863,118041,67661,27087,5242,1561,2879,8997,2855,8584,254,0,8836,0,0,0,0
213,T_1864,38689,18627,9542,941,351,1260,1301,1249,1662,88,0,1718,0,0,0,0
214,T_2001,45767,17920,5632,1084,410,2460,1676,2673,1384,46,0,1848,0,41,11,0
215,T_2002,104224,45346,13543,2709,713,5783,6090,4013,3467,102,0,7031,0,156,52,0
216,T_2003,48834,23448,10742,1133,313,3067,2029,1457,1508,18,0,2344,0,36,21,0
217,T_2004,38009,15304,4191,313,232,1754,1448,4145,673,31,0,1598,0,45,23,0
218,T_2005,42666,19333,14259,295,286,1396,417,711,708,46,0,461,0,15,135,0
219,T_2006,30564,12623,2856,463,107,1938,703,3763,599,25,0,1486,0,51,20,0
220,T_2007,38190,15647,2383,650,125,3219,1279,4117,543,64,0,2478,0,62,18,0
221,T_2008,33800,13622,3769,943,146,2954,949,2127,653,37,0,1369,0,44,17,0
222,T_2009,16712,7290,4474,86,68,829,331,576,254,8,0,381,0,9,5,0
223,T_2010,39900,16745,6776,799,177,2600,981,2431,1035,31,0,1237,0,33,30,0
224,T_2011,59215,23972,6993,1173,440,4059,2082,3453,1676,50,0,3000,0,70,23,0
225,T_2012,26187,10525,2849,259,107,2806,680,1859,607,24,0,794,0,31,5,0
226,T_2013,46758,23383,4208,3716,181,3882,1929,3997,2079,20,0,2395,0,62,20,0
227,T_2014,34729,14693,4239,418,126,2228,1721,2837,827,16,0,1626,0,27,13,0
228,T_2061,216292,108448,45440,3534,3102,5590,17446,3228,13000,173,0,14316,0,325,73,0
229,T_2062,47105,20874,7999,1092,443,1668,2997,1245,2002,63,0,2684,0,51,11,0
