,teryt_code,eligible_voters,issued_ballots,PATRIOTYCZNY,PPP,LPR,PD,SD,PIS,SLD,PO,PPN,PSL,CENTRUM,PKM,OKO,GIP,SAMOOBRONA,IRP,DO,NOP,SPRACY,SR,MN,MNS
0,T_0201,70154,24559,389,181,1774,2137,585,4985,3308,5910,48,708,66,466,0,0,2562,0,267,42,0,0,0,0
1,T_0203,71771,27600,128,189,1588,1834,965,7899,3720,5562,109,699,104,411,0,0,3090,0,83,38,0,0,0,0
2,T_0205,42639,15079,173,90,1091,189,443,4494,1735,2603,41,913,125,186,0,0,2244,0,61,31,0,0,0,0
3,T_0206,52884,18358,231,148,1155,429,1124,3620,2467,5129,57,558,46,443,0,0,1856,0,78,38,0,0,0,0
4,T_0207,37966,12644,132,107,829,862,301,3473,1830,2202,37,406,42,135,0,0,1514,0,35,26,0,0,0,0
5,T_0209,41918,14565,110,110,1119,338,277,2730,1663,2279,48,1641,45,154,0,0,3318,0,51,35,0,0,0,0
6,T_0210,47287,16911,125,122,1529,486,460,3706,2640,3397,52,811,54,260,0,0,2313,0,97,65,0,0,0,0
7,T_0211,85891,33357,141,216,1572,1811,896,8511,5411,8901,81,994,104,412,0,0,2905,0,137,42,0,0,0,0
8,T_0212,38905,12566,114,78,1048,503,225,2480,2369,2279,37,865,23,160,0,0,1620,0,32,35,0,0,0,0
9,T_0216,47272,16816,97,120,804,590,308,4614,2089,3772,53,695,46,222,0,0,2534,0,60,33,0,0,0,0
10,T_0225,77193,27858,163,191,1506,504,1050,6312,3917,8189,125,456,43,390,0,0,3366,0,216,100,0,0,0,0
11,T_0226,36947,12538,84,97,1020,423,279,2499,1985,2356,109,615,36,169,0,0,2062,0,94,18,0,0,0,0
12,T_0261,71416,29762,484,178,1579,783,1099,6730,4843,9030,46,580,43,821,0,0,2377,0,80,56,0,0,0,0
13,T_0262,83413,33491,197,275,2934,1078,1317,8093,5258,7529,71,968,114,465,0,0,4061,0,80,39,0,0,0,0
14,T_0202,88565,32109,252,257,2900,568,837,6573,6003,7142,73,909,0,492,93,0,4718,0,0,108,0,0,0,0
15,T_0208,140578,50982,541,385,3093,779,1718,10179,5076,12387,157,7291,0,783,128,0,6333,0,0,86,0,0,0,0
16,T_0219,131061,47569,268,409,3608,876,2152,12268,5438,13098,142,992,0,829,86,0,5611,0,0,125,0,0,0,0
