,teryt_code,eligible_voters,issued_ballots,PPP,LPR,PIS,PO,PSL,SAMOOBRONA,MN,LID,PK,SPATRIOTYCZNA
0,T_0201,71083,34888,337,419,9306,15502,2176,566,0,5774,0,0
1,T_0203,71573,39237,354,422,11922,14988,1929,736,0,8068,0,0
2,T_0205,42572,19883,214,269,6749,7275,1701,380,0,2799,0,0
3,T_0206,52926,26701,298,253,5746,13279,1595,279,0,4553,0,0
4,T_0207,37722,18040,225,158,4704,8169,1082,233,0,3040,0,0
5,T_0209,42472,20356,250,238,5682,7661,3101,416,0,2410,0,0
6,T_0210,46962,22505,238,230,5609,9077,2136,345,0,4350,0,0
7,T_0211,86045,47753,335,387,16826,17356,2595,544,0,8802,0,0
8,T_0212,38736,17644,174,247,4342,7165,2302,279,0,2569,0,0
9,T_0216,47810,23763,241,238,8698,7256,1658,709,0,4358,0,0
10,T_0225,76840,38348,372,337,10308,17301,1684,466,0,6918,0,0
11,T_0226,36948,17121,188,255,4895,6859,1263,350,0,2889,0,0
12,T_0261,71606,41272,324,410,9345,21626,1704,354,0,6890,0,0
13,T_0262,82879,46210,371,673,13033,20306,1784,372,0,8958,0,0
14,T_0202,88031,43093,539,452,11665,19371,1972,714,0,7454,0,0
15,T_0208,140022,66704,677,766,16600,29711,8447,1089,0,7655,0,0
16,T_0219,131414,66544,866,735,18873,30784,3852,958,0,9049,0,0
17,T_0221,151721,75187,1011,617,16504,35799,4233,854,0,14607,0,0
18,T_0224,56504,26155,301,257,7501,10189,2559,703,0,3914,0,0
19,T_0204,28651,12057,154,166,3092,4543,1915,434,0,1359,0,0
20,T_0213,29087,14525,169,296,3550,5336,2337,360,0,1861,0,0
21,T_0214,82287,40616,419,399,11695,17839,3716,922,0,4855,0,0
22,T_0215,57582,30827,296,371,9905,14008,2105,424,0,3052,0,0
23,T_0217,36497,17141,244,193,5637,7552,1262,344,0,1534,0,0
24,T_0218,39638,17889,215,244,5284,7918,1344,311,0,2155,0,0
25,T_0220,61856,29990,307,315,9262,13142,2930,556,0,2761,0,0
26,T_0222,39977,19665,229,268,5343,9656,1055,356,0,2310,0,0
27,T_0223,82063,44320,350,565,13819,21203,3175,797,0,3444,0,0
28,T_0264,513959,338226,2312,3832,90382,194683,7094,1708,0,34464,0,0
29,T_0403,75447,38527,466,432,8867,17197,3382,789,0,6437,0,0
30,T_0407,132683,64621,1027,683,14486,25566,6506,1043,0,13475,0,0
31,T_0409,36784,16804,263,198,3702,5025,3306,536,0,3230,0,0
32,T_0410,67442,32730,403,371,6974,13617,3328,693,0,6400,0,0
33,T_0413,32179,14465,247,193,3394,4931,2362,532,0,2335,0,0
34,T_0414,76503,35082,493,483,7891,13532,4819,1062,0,5735,0,0
35,T_0416,36614,17965,254,183,4400,6276,2395,427,0,3352,0,0
36,T_0419,55316,26562,361,331,6004,8681,4303,726,0,5215,0,0
37,T_0461,293865,182980,1516,1608,45718,89880,6075,1346,0,33440,0,0
38,T_0401,45794,22030,311,211,6002,7563,2939,628,0,3864,0,0
39,T_0402,58808,26514,292,251,7142,7667,6118,695,0,3679,0,0
40,T_0404,40475,17871,257,218,4587,6327,2055,453,0,3487,0,0
41,T_0405,34776,14651,126,147,4146,4146,2462,961,0,2247,0,0
42,T_0406,30215,11724,157,147,3129,3163,2424,636,0,1705,0,0
43,T_0408,51657,19559,241,171,6329,5416,3232,695,0,2735,0,0
44,T_0411,34270,13592,310,129,3548,3444,2739,666,0,2246,0,0
45,T_0412,35198,13811,147,101,4304,4044,2549,378,0,1966,0,0
46,T_0415,68938,31045,344,263,8140,10765,5827,640,0,4236,0,0
47,T_0417,27593,11441,159,151,2423,4326,1707,489,0,1909,0,0
48,T_0418,68283,26128,327,240,7294,7409,4305,1159,0,4514,0,0
49,T_0462,79986,41209,412,311,9444,19007,1214,469,0,9625,0,0
50,T_0463,162374,98546,605,816,26371,48108,3316,637,0,17655,0,0
51,T_0464,96063,53490,498,302,12197,22839,3715,669,0,12160,0,0
52,T_0605,38494,20512,92,342,12728,2046,2795,442,0,1414,109,114
53,T_0607,80719,39447,314,779,17694,9260,5961,817,0,3076,261,249
54,T_0608,72239,34443,376,810,12943,7329,7569,758,0,3065,320,252
55,T_0609,109966,52904,387,927,22966,10212,11560,1335,0,3380,480,384
56,T_0610,44301,20504,180,344,9232,4204,2196,439,0,3030,209,136
57,T_0611,84822,40855,302,753,17445,8856,6834,1088,0,3994,226,245
58,T_0612,51105,22030,196,390,9102,4003,4619,727,0,1918,187,260
59,T_0614,95972,50564,424,1018,20588,15811,5696,928,0,4449,425,237
60,T_0616,47940,24457,203,324,9546,4961,4888,951,0,2697,194,108
61,T_0617,58955,30017,276,545,12404,9426,2976,398,0,2935,360,234
62,T_0663,280040,175980,1176,3370,63675,71744,7889,953,0,22722,2200,312
63,T_0601,89349,41228,406,794,16038,9069,9744,1282,0,2878,0,0
64,T_0602,82761,39605,346,1764,17310,8747,5843,1337,0,3429,0,0
65,T_0603,63842,24072,386,454,8091,4726,5087,1133,0,3279,0,0
66,T_0604,57403,22816,279,381,8047,4295,5829,1049,0,2357,0,0
67,T_0606,57079,25309,313,335,8540,5655,6663,1078,0,1986,0,0
68,T_0613,29970,13776,215,273,5306,2959,2645,381,0,1618,0,0
69,T_0615,49306,24237,264,400,10624,3912,6199,743,0,1544,0,0
70,T_0618,72311,30994,286,520,12146,6064,7826,1142,0,2295,0,0
71,T_0619,33411,14797,234,293,4689,4164,2398,875,0,1777,0,0
72,T_0620,88192,38938,373,697,18322,5600,8831,1463,0,2486,0,0
73,T_0661,45385,25811,262,532,9230,9721,2529,384,0,2839,0,0
74,T_0662,55730,29200,265,403,9195,10404,2015,359,0,6088,0,0
75,T_0664,53902,29182,293,525,11344,9375,2505,377,0,4341,0,0
76,T_0801,50990,23760,365,338,5439,10330,2183,617,0,3787,0,0
77,T_0802,45148,20485,307,272,3811,9819,1889,406,0,3416,0,0
78,T_0803,47376,22928,319,317,4299,9287,2714,391,0,4947,0,0
79,T_0804,69001,33518,500,680,7905,15432,3187,668,0,4336,0,0
80,T_0805,36551,17870,255,223,3511,8301,1949,267,0,2923,0,0
81,T_0806,40172,17791,306,227,3810,7632,2065,396,0,2823,0,0
82,T_0807,28489,12881,175,108,2503,6463,1299,285,0,1643,0,0
83,T_0808,44236,21384,298,358,4614,9308,2230,270,0,3826,0,0
84,T_0809,70507,35206,460,548,7050,16775,2911,712,0,5791,0,0
85,T_0810,66073,29754,471,403,6498,12183,2614,520,0,6322,0,0
86,T_0811,79084,36841,542,540,8515,16761,2488,583,0,6613,0,0
87,T_0812,30182,14261,228,167,4047,5835,1420,474,0,1664,0,0
88,T_0861,99763,56541,556,629,14383,26543,2507,573,0,10393,0,0
89,T_0862,93918,60317,437,854,12178,30865,3602,492,0,11039,0,0
90,T_1006,52266,29066,229,361,11219,9819,2372,495,0,3700,347,0
91,T_1021,24844,12410,113,174,4636,3267,2208,269,0,1293,138,0
92,T_1061,616669,388513,2863,4245,101861,180038,10815,5386,0,70132,6774,0
93,T_1001,90300,46899,699,685,21690,12591,3947,854,0,5358,0,0
94,T_1007,62557,31729,311,299,14378,5270,5955,1005,0,3699,0,0
95,T_1010,71173,33183,291,444,15584,6129,5898,1226,0,2648,0,0
96,T_1012,95369,42310,393,474,15856,12672,6184,708,0,4944,0,0
97,T_1013,40097,18802,199,165,7575,3706,4581,574,0,1606,0,0
98,T_1015,30057,14523,166,143,6072,2103,4136,565,0,932,0,0
99,T_1016,97962,51309,544,758,20107,15172,5546,1096,0,7021,0,0
100,T_1062,63695,37220,392,429,12757,14195,1889,409,0,6314,0,0
101,T_1063,38983,23002,251,288,6925,9694,1753,194,0,3533,0,0
102,T_1002,85763,39880,452,363,14216,10793,5103,1215,0,6167,447,0
103,T_1003,41001,19496,177,201,6888,5115,3147,512,0,2682,325,0
104,T_1004,43993,18897,176,187,6310,4554,3520,1163,0,2302,160,0
105,T_1005,67072,32734,274,295,12238,7267,6844,710,0,3823,466,0
106,T_1008,97562,55432,449,559,18089,21860,3832,657,0,7752,1071,0
107,T_1009,42759,18195,169,269,8289,3744,2020,680,0,2368,170,0
108,T_1011,34464,15090,126,188,4815,3003,3956,618,0,1686,221,0
109,T_1014,97619,47771,424,857,17032,12093,7780,1249,0,6558,610,0
110,T_1017,63120,30441,274,439,9036,7122,7319,1738,0,3427,270,0
111,T_1018,33582,15425,173,194,5100,4037,3204,413,0,1764,138,0
112,T_1019,54292,28044,240,341,9970,9231,2219,379,0,4470,642,0
113,T_1020,130885,70356,602,790,22401,27666,4786,1017,0,10640,1059,0
114,T_1203,104356,57935,635,775,17761,24472,2872,596,0,9477,0,0
115,T_1209,88917,47273,348,1224,23823,13357,4659,356,0,2348,0,0
116,T_1213,123585,71722,709,739,24977,26391,7430,551,0,9369,0,0
117,T_1215,63750,32475,291,452,14568,10378,3725,327,0,1627,0,0
118,T_1218,121114,65190,633,874,27019,22919,5428,755,0,5811,0,0
119,T_1206,193177,103216,2052,1239,44192,37543,7563,954,0,6417,817,0
120,T_1208,41486,17451,338,171,6399,3537,3773,434,0,2134,160,0
121,T_1212,93360,48843,689,459,17787,16643,3101,851,0,7841,464,0
122,T_1261,601803,401189,6270,5003,124892,208098,9056,1244,0,37892,3391,0
123,T_1205,84779,40756,300,441,17762,11637,4614,758,0,4086,0,0
124,T_1207,90885,47573,262,983,25035,10748,7102,446,0,1698,0,0
125,T_1210,149601,82663,567,1045,47735,17434,7743,1405,0,4380,0,0
126,T_1211,139438,66124,490,758,33516,20407,5760,620,0,2980,0,0
127,T_1217,53074,27439,146,236,11617,10213,3390,172,0,1184,0,0
128,T_1262,66349,40771,232,468,17295,15229,2027,252,0,4729,0,0
129,T_1201,77854,42417,375,773,20052,12309,4489,474,0,2874,0,0
130,T_1202,69514,36034,309,788,16989,10608,3983,369,0,1882,0,0
131,T_1204,46157,21172,138,240,10635,5437,2835,343,0,904,0,0
132,T_1214,34721,14408,125,171,5008,2427,4773,432,0,1078,0,0
133,T_1216,147573,74498,680,955,38525,17337,9807,937,0,3825,0,0
134,T_1219,82276,44715,450,546,17555,18670,3383,356,0,2778,0,0
135,T_1263,94847,55743,376,926,19627,23850,2329,323,0,7268,0,0
136,T_1402,73221,34555,313,343,11700,9602,6281,767,0,4821,0,0
137,T_1404,38060,17519,139,119,6182,3767,4873,359,0,1599,0,0
138,T_1413,58428,25659,214,204,8404,7114,5666,606,0,2734,0,0
139,T_1419,83067,34699,296,286,12727,6771,9911,837,0,2805,0,0
140,T_1420,70523,29340,258,454,10783,7002,6616,674,0,2799,0,0
141,T_1422,42215,18791,175,216,7249,3825,4755,458,0,1554,0,0
142,T_1427,42415,17826,178,168,6495,3825,3959,707,0,1892,0,0
143,T_1428,66484,32353,262,334,12819,9687,5306,503,0,2841,0,0
144,T_1437,32252,13430,94,114,4534,2338,3943,273,0,1717,0,0
145,T_1438,59560,30817,311,342,11008,12238,2748,387,0,3148,0,0
146,T_1462,102180,59479,471,468,17331,24521,6779,364,0,8618,0,0
147,T_1401,26285,12090,114,137,5378,2480,2443,596,0,616,0,0
148,T_1406,77985,40167,371,514,14393,8240,11431,1482,0,2840,0,0
149,T_1407,51293,24782,212,332,10738,7366,2996,873,0,1728,0,0
150,T_1409,30405,11670,89,141,3609,2081,3034,719,0,1569,0,0
151,T_1423,35743,17432,162,280,8591,2779,3244,752,0,1029,0,0
152,T_1425,112670,52766,524,802,25624,11756,8017,1259,0,3439,0,0
153,T_1430,32105,13625,104,210,6403,3374,1882,274,0,962,0,0
154,T_1436,29450,13017,122,193,4500,1874,4111,878,0,909,0,0
155,T_1463,179876,105594,944,1644,42449,40485,5631,751,0,12359,0,0
156,T_1403,82940,42303,332,653,19157,9163,6024,1269,0,4644,0,0
157,T_1410,26547,12270,85,185,4709,1942,3525,444,0,1061,0,0
158,T_1411,37538,17291,143,258,6877,3223,4198,454,0,1588,0,0
159,T_1412,111200,61790,506,961,22478,23410,7994,795,0,4429,0,0
160,T_1415,65462,27759,221,576,12901,4757,6169,1051,0,1198,0,0
161,T_1416,60023,27854,165,364,14136,4871,5104,488,0,2112,0,0
162,T_1424,39828,19504,143,169,7551,3520,5959,379,0,1251,0,0
163,T_1426,62366,29621,184,541,13382,4075,7609,1219,0,1768,0,0
164,T_1429,46727,24571,184,544,10254,4330,6547,590,0,1424,0,0
165,T_1433,54684,26549,225,720,11860,5410,4571,982,0,2034,0,0
166,T_1435,56127,28043,190,392,11834,6538,6373,435,0,1646,0,0
167,T_1461,43036,23780,190,388,10137,7963,2023,279,0,2352,0,0
168,T_1464,60364,35903,276,804,12785,12199,3709,301,0,5283,0,0
169,T_1465,1376401,1010853,4968,12387,273327,534267,24926,4252,0,132772,12330,0
170,T_1499,190637,149183,550,1877,43650,84675,1752,288,0,12300,1662,0
171,T_1405,63553,38068,327,529,12236,17720,3338,304,0,3178,0,0
172,T_1408,76863,48623,368,502,14763,24081,2851,342,0,5052,0,0
