,teryt_code,eligible_voters,issued_ballots,SAMOOBRONA,NP,PO,PJN,PPP,PSL,PRAWICA,PIS,RP,SLD,MN
0,T_0201,71456,30238,0,0,12516,517,161,1679,0,7125,3478,3119,0
1,T_0203,71451,35330,0,0,12281,726,226,1135,0,10617,3522,4890,0
2,T_0205,42612,17624,0,0,6288,231,108,1101,0,5242,1719,1977,0
3,T_0206,53265,23597,0,0,10155,303,140,1056,0,4401,2777,3490,0
4,T_0207,37033,16364,0,0,6575,191,79,837,0,3753,2072,1934,0
5,T_0209,43150,17483,0,0,6280,348,132,1332,0,4595,1927,1848,0
6,T_0210,46490,19743,0,0,7750,299,144,1271,0,4464,2400,2313,0
7,T_0211,85728,43053,0,0,11973,922,213,2464,0,13939,4355,6971,0
8,T_0212,38577,14959,0,0,5645,227,102,1284,0,3621,1665,1443,0
9,T_0216,48860,22006,0,0,6003,385,142,1494,0,7311,2085,3011,0
10,T_0225,76178,33080,0,0,13542,475,188,1422,0,8783,3405,3282,0
11,T_0226,36819,14993,0,0,5287,227,82,1079,0,3633,1640,2000,0
12,T_0261,69032,34719,0,0,16246,526,229,947,0,7164,4317,4098,0
13,T_0262,81338,40108,0,0,16142,972,204,884,0,10629,4537,5449,0
14,T_0202,86783,37488,0,0,15576,1089,295,1301,0,9184,5219,2865,0
15,T_0208,137836,59100,0,0,25600,787,356,5751,0,13107,6020,4228,0
16,T_0219,130822,58745,0,0,25072,1040,481,2728,0,14490,7082,4569,0
17,T_0221,145730,60924,0,0,27518,985,460,1695,0,12136,8142,6846,0
18,T_0224,56120,22274,0,0,8602,325,205,2357,0,5354,2390,1669,0
19,T_0204,28935,10171,0,98,3768,135,53,1162,0,2490,1003,713,0
20,T_0213,29591,12407,0,147,4771,179,72,950,0,3202,1135,1109,0
21,T_0214,84033,37318,0,653,16251,485,197,2657,0,8860,3418,2596,0
22,T_0215,59275,28744,0,502,12880,425,132,1534,0,7842,2486,1506,0
23,T_0217,36739,15570,0,188,5827,178,95,1954,0,4014,1265,1054,0
24,T_0218,40760,17029,0,339,7163,587,63,1423,0,3864,1449,1089,0
25,T_0220,64333,28360,0,420,13089,426,123,1909,0,7194,2429,1307,0
26,T_0222,39939,17119,0,254,7561,204,95,734,0,4623,1539,1051,0
27,T_0223,91866,46388,0,1079,21261,731,187,4009,0,11404,3813,1838,0
28,T_0264,505199,302314,0,8005,158298,4746,1203,5614,0,73818,29089,14491,0
29,T_0403,81759,38783,0,675,16210,809,230,3099,0,7251,4862,3287,0
30,T_0407,133897,59127,0,637,22760,817,361,4768,0,11028,7535,7364,0
31,T_0409,37217,15242,0,162,4789,241,206,2971,0,2618,1598,1520,0
32,T_0410,68381,29802,0,372,11354,609,166,3008,0,5561,2943,3458,0
33,T_0413,32678,12878,0,211,4581,183,96,1901,0,2664,1211,1139,0
34,T_0414,77826,31552,0,519,11360,542,200,4763,0,5994,3056,2795,0
35,T_0416,37612,16420,0,204,5739,215,103,2336,0,3627,1184,1774,0
36,T_0419,56182,24295,0,264,8247,328,141,3121,0,4473,2509,3368,0
37,T_0461,287027,160716,0,2865,73898,3185,756,4542,0,37416,19549,13296,0
38,T_0401,46280,20647,0,238,7176,317,127,1907,0,5351,2214,2109,0
39,T_0402,60334,25393,0,262,7594,304,125,5279,0,6629,2018,1718,0
40,T_0404,40591,16348,0,226,6291,217,82,1517,0,3708,1599,1742,0
41,T_0405,35694,13885,0,149,3815,327,75,1876,0,3927,1461,1434,0
42,T_0406,31184,10938,0,188,3528,138,294,1529,0,2620,1014,896,0
43,T_0408,52464,18626,0,205,4936,210,76,3814,0,4786,1620,1660,0
44,T_0411,34464,12210,0,152,2825,175,78,1905,0,3518,1132,1488,0
45,T_0412,35581,12746,0,134,3517,233,62,2383,0,3700,1136,862,0
46,T_0415,74511,31943,0,483,11861,673,145,3216,0,8194,3020,2591,0
47,T_0417,27800,10429,0,151,3753,137,48,1348,0,2099,1194,1080,0
48,T_0418,69947,24571,0,267,6705,313,272,3644,0,6407,2576,2592,0
49,T_0462,78001,36247,0,604,18574,412,240,1064,0,7367,3785,2802,0
50,T_0463,159935,89284,0,1830,41367,1789,334,2468,0,22556,8858,7827,0
51,T_0464,94381,46267,0,544,18739,642,220,1493,0,10187,6114,6452,0
52,T_0605,38576,19123,0,207,1479,568,46,2980,41,10545,992,1510,0
53,T_0607,80563,36945,0,427,7688,607,171,4743,120,16125,3345,1816,0
54,T_0608,72407,32295,0,481,5452,680,168,6986,110,11543,3617,1540,0
55,T_0609,115089,53153,0,910,8846,1155,263,11054,193,20263,5618,2407,0
56,T_0610,45547,19330,0,379,3642,513,119,2572,83,7010,2916,1094,0
57,T_0611,86017,38397,0,339,6674,638,179,6621,258,14916,2061,4532,0
58,T_0612,51482,20266,0,233,3309,353,119,3414,60,7157,2233,2203,0
59,T_0614,96474,47674,0,857,14031,896,201,4508,166,17416,4806,2879,0
60,T_0616,47698,23216,0,294,3815,281,124,4308,58,8486,1999,2661,0
61,T_0617,59253,27892,0,594,7497,626,200,2643,115,10225,3498,1445,0
62,T_0663,276983,160553,0,4058,53819,5607,704,7777,615,53857,23054,7712,0
63,T_0601,90852,40715,132,0,6747,668,195,8802,0,15256,3103,3382,0
64,T_0602,83682,38047,192,0,4812,571,130,7182,0,15733,5967,1595,0
65,T_0603,64815,22890,115,0,3820,477,164,3532,0,7727,2638,2593,0
66,T_0604,56602,20244,93,0,3330,306,114,4413,0,6833,2780,1126,0
67,T_0606,56591,22556,145,0,3807,432,127,5299,0,7550,2548,1337,0
68,T_0613,30048,12744,46,0,2353,517,57,2304,0,4520,1562,706,0
69,T_0615,49494,22437,52,0,2591,298,102,6669,0,9084,1543,952,0
70,T_0618,72629,28351,151,0,5139,509,127,6035,0,10282,2689,1834,0
71,T_0619,33361,13763,178,0,2873,225,86,2359,0,4411,1655,1171,0
72,T_0620,89511,36370,178,0,5302,739,201,5913,0,16360,3783,1708,0
73,T_0661,45960,24288,45,0,6886,807,203,1994,0,8641,2818,2095,0
74,T_0662,55080,27327,80,0,7677,602,126,1979,0,8040,3596,4049,0
