,teryt_code,eligible_voters,issued_ballots,PIS,PO,RAZEM,KORWIN,PSL,LEWICA,KUKIZ,NOWOCZESNA,BEZPARTYJNI,STONOGA,RSRP,ZDŚ,SAMOOBRONA,BRAUN,PRAWICA,MN,ODP
0,T_0201,70926,30895,10132,7818,1053,1822,1170,2865,2874,2137,0,0,0,0,0,0,0,0,0
1,T_0202,84099,37728,12334,10498,1317,1511,821,3712,3264,2679,349,0,0,0,0,0,0,0,0
2,T_0203,70579,35645,13833,8954,1270,1161,707,3739,2781,2208,0,0,0,0,0,0,0,0,0
3,T_0204,28362,10763,3472,3158,330,351,930,600,963,446,0,71,0,0,0,14,0,0,0
4,T_0205,42026,18172,6572,3706,574,756,1413,1607,1900,1103,0,0,0,0,0,0,0,0,0
5,T_0206,52362,23638,5862,7359,1012,987,1393,2017,2036,2230,0,0,0,0,0,0,0,0,0
6,T_0207,36143,16037,4847,5205,578,597,336,1442,1455,972,0,0,0,0,0,0,0,0,0
7,T_0208,134249,58721,18367,17735,1871,2429,2976,4883,5032,2995,434,0,0,0,0,0,0,0,0
8,T_0209,43338,19184,6816,4025,671,835,1431,1378,1924,1441,0,0,0,0,0,0,0,0,0
9,T_0210,45544,19365,5892,4941,805,841,762,2387,1951,1193,0,0,0,0,0,0,0,0,0
10,T_0211,84262,45072,19595,8472,1315,1707,1199,4632,4371,2561,0,0,0,0,0,0,0,0,0
11,T_0212,37828,15018,4654,3613,588,630,986,1457,1707,813,0,0,0,0,0,0,0,0,0
12,T_0213,29574,12895,4951,3129,371,420,791,932,990,688,0,105,0,0,0,28,0,0,0
13,T_0214,84752,38570,11906,11751,1456,1832,1447,2427,3339,2696,0,260,0,0,0,91,0,0,0
14,T_0215,59742,30522,10736,8833,942,1404,744,1781,2818,2073,0,213,0,0,0,90,0,0,0
15,T_0216,49038,23964,10561,3797,717,1065,1574,2222,2129,949,0,0,0,0,0,0,0,0,0
16,T_0217,36276,16088,6035,4010,437,485,1295,899,1499,721,0,85,0,0,0,31,0,0,0
17,T_0218,41774,18441,6103,5139,618,752,899,1073,1881,1209,0,92,0,0,0,58,0,0,0
18,T_0219,128366,60869,18601,17514,1917,2866,1293,4921,5632,5143,1039,0,0,0,0,0,0,0,0
19,T_0220,65796,30671,10351,8422,1140,1428,1524,1637,2655,2360,0,172,0,0,0,82,0,0,0
20,T_0221,46301,19907,5272,7252,719,997,628,1626,1460,1107,142,0,0,0,0,0,0,0,0
21,T_0222,39438,17385,6075,5259,575,649,486,1077,1530,950,0,85,0,0,0,36,0,0,0
22,T_0223,101457,55432,17260,15015,2042,2717,2208,2565,5203,6638,0,354,0,0,0,121,0,0,0
23,T_0224,54640,23044,7737,6651,688,679,1316,1544,2125,1220,237,0,0,0,0,0,0,0,0
24,T_0225,74143,32683,11396,7551,1279,1340,714,3970,3557,1778,0,0,0,0,0,0,0,0,0
25,T_0226,36422,15101,5046,3958,581,667,659,1368,1265,982,0,0,0,0,0,0,0,0,0
26,T_0261,65949,33240,8824,10353,1202,1320,785,3751,2589,3793,0,0,0,0,0,0,0,0,0
27,T_0262,78856,39685,13340,10308,1358,1699,757,4463,3690,3346,0,0,0,0,0,0,0,0,0
28,T_0264,500890,303459,86434,94866,14148,17303,3280,18941,24848,37975,0,1342,0,0,0,718,0,0,0
29,T_0265,91890,41588,10618,16774,1472,1593,414,3831,3121,2400,339,0,0,0,0,0,0,0,0
30,T_0401,45984,20810,7440,4744,658,628,1363,2292,1730,1048,0,85,0,0,44,0,0,0,0
31,T_0402,60782,26523,9047,4734,658,721,3957,1874,3277,1090,0,86,0,0,27,0,0,0,0
32,T_0403,86346,41885,11197,11987,1633,2165,2283,3447,3763,3989,0,318,0,0,0,0,0,0,0
33,T_0404,40303,16613,4998,4579,572,610,1161,1456,1486,996,0,100,0,0,42,0,0,0,0
34,T_0405,36044,14742,5351,2782,443,457,1719,1356,1447,507,0,80,0,0,62,0,0,0,0
35,T_0406,31294,11754,3955,2620,409,509,1086,938,1043,549,0,72,0,0,169,0,0,0,0
36,T_0407,131651,58557,17758,16434,2089,2025,3905,6485,4452,3067,0,377,0,0,0,0,0,0,0
37,T_0408,52547,20242,6869,2965,544,617,4556,1594,1369,548,0,128,0,0,40,0,0,0,0
38,T_0409,37207,15522,4539,3491,506,613,2180,1508,1292,661,0,86,0,0,0,0,0,0,0
39,T_0410,67988,29705,8336,7439,1021,1366,2683,3718,2116,1505,0,203,0,0,0,0,0,0,0
40,T_0411,34224,13097,5301,2093,417,368,1200,1496,1088,462,0,59,0,0,27,0,0,0,0
41,T_0412,35342,13409,5285,2643,368,402,1556,1017,1029,548,0,49,0,0,15,0,0,0,0
42,T_0413,32392,13061,3979,3641,441,377,1352,1101,964,611,0,110,0,0,0,0,0,0,0
43,T_0414,77695,32202,9365,8420,1171,1572,3420,2382,2702,1690,0,234,0,0,0,0,0,0,0
44,T_0415,78190,35411,11591,9167,1311,1458,1947,2900,2941,2668,0,243,0,0,64,0,0,0,0
45,T_0416,37948,16556,5522,3738,528,632,1986,1059,1355,971,0,123,0,0,0,0,0,0,0
46,T_0417,27437,10531,3040,2493,400,462,866,1086,1117,565,0,56,0,0,37,0,0,0,0
47,T_0418,70138,26353,10199,4306,876,751,2452,3348,2037,987,0,114,0,0,106,0,0,0,0
48,T_0419,56091,23648,7057,5808,783,903,2126,2430,1744,1698,0,140,0,0,0,0,0,0,0
49,T_0461,276759,153627,45271,49990,5890,7349,2766,15453,10692,13142,0,952,0,0,0,0,0,0,0
50,T_0462,73733,34417,9805,11532,1306,1605,745,3954,2520,2007,0,138,0,0,47,0,0,0,0
51,T_0463,155767,87066,26177,26978,3411,4145,1078,9173,5512,8628,0,613,0,0,46,0,0,0,0
52,T_0464,90717,42794,12645,11796,1854,1401,790,6519,3563,2960,0,218,0,0,46,0,0,0,0
53,T_0601,90444,42216,19593,4686,874,1734,4763,4445,3572,1078,0,0,0,0,66,0,0,0,0
54,T_0602,83310,39985,21309,2951,716,1854,5782,1641,3697,1021,0,0,0,0,46,0,0,0,0
55,T_0603,64542,24464,10881,2771,719,929,3145,1152,3083,814,0,0,0,0,68,0,0,0,0
56,T_0604,55327,21791,10096,3015,466,772,3226,930,1952,503,0,0,0,0,68,0,0,0,0
57,T_0605,38370,20221,13515,1125,255,669,1668,700,1390,260,0,0,14,0,151,48,0,0,0
58,T_0606,55178,23773,10574,2393,500,1507,3327,1284,2107,1317,0,0,0,0,78,0,0,0,0
59,T_0607,79177,37930,19273,5302,836,1386,3852,1682,3453,771,0,0,26,0,62,70,0,0,0
60,T_0608,71582,34490,16533,4333,861,1718,3854,1596,3272,1090,0,0,59,0,34,113,0,0,0
61,T_0609,119143,61047,28737,6737,1513,3177,8423,2422,5633,2576,0,0,76,0,64,166,0,0,0
62,T_0610,45284,21449,10137,2549,634,1267,1705,952,2736,666,0,0,36,0,31,68,0,0,0
63,T_0611,85357,41085,22656,4574,773,1727,3924,1565,3051,1280,0,0,71,0,41,91,0,0,0
64,T_0612,50314,21283,10127,2465,581,748,2220,1442,2258,534,0,0,22,0,17,89,0,0,0
65,T_0613,29496,13097,6154,1427,310,533,1548,863,1299,555,0,0,0,0,16,0,0,0,0
66,T_0614,94962,50184,22546,9054,1511,2327,3285,2677,5122,2247,0,0,64,0,78,133,0,0,0
67,T_0615,48842,23109,11527,1798,463,882,4075,1044,1862,746,0,0,0,0,41,0,0,0,0
68,T_0616,46660,23027,10388,2780,601,824,3131,1230,2574,698,0,0,33,0,22,46,0,0,0
69,T_0617,58358,29804,14146,4726,943,1357,1872,1729,3032,1316,0,0,33,0,15,50,0,0,0
70,T_0618,70859,30758,14476,3613,621,1001,3466,1298,4398,815,0,0,0,0,52,0,0,0,0
71,T_0619,32949,14145,6166,2008,459,564,1716,1102,1152,487,0,0,0,0,25,0,0,0,0
72,T_0620,89370,39652,21378,3238,908,1458,4082,1630,4308,1301,0,0,0,0,89,0,0,0,0
73,T_0661,45660,24222,9535,4177,479,1247,1123,4165,2099,989,0,0,0,0,17,0,0,0,0
74,T_0662,53083,26171,10267,5118,890,1200,1313,2433,3088,1351,0,0,0,0,33,0,0,0,0
75,T_0663,269970,158213,63956,37247,4887,9176,3799,13177,12927,10720,0,0,165,0,65,479,0,0,0
76,T_0664,52588,26103,11166,4628,711,1154,1123,2174,2950,1768,0,0,0,0,29,0,0,0,0
77,T_0801,54579,23464,6621,6339,897,1393,1265,1973,2287,1796,0,129,0,0,0,0,0,0,0
78,T_0802,44576,17349,4428,4330,557,617,1645,1849,1472,1612,0,142,0,0,0,0,0,0,0
79,T_0803,47151,20013,5182,5399,848,694,1339,2538,1740,1325,0,144,0,0,0,0,0,0,0
80,T_0804,68590,29986,8913,7175,1017,1235,1616,2394,2404,3918,0,293,0,0,0,0,0,0,0
81,T_0805,36949,14708,3778,4651,534,674,685,1484,1347,921,0,72,0,0,0,0,0,0,0
82,T_0806,39911,15488,4281,4737,563,619,1109,1247,1290,909,0,93,0,0,0,0,0,0,0
83,T_0807,28521,11256,3428,2764,437,510,739,1252,933,639,0,72,0,0,0,0,0,0,0
84,T_0808,44237,19412,5436,5437,664,1125,1204,1632,1603,1506,0,130,0,0,0,0,0,0,0
85,T_0809,59716,26207,6344,7323,1095,1206,1587,2493,2382,2576,0,179,0,0,0,0,0,0,0
86,T_0810,64443,25542,7631,6650,916,1048,1538,2542,2268,1799,0,177,0,0,0,0,0,0,0
87,T_0811,77641,31141,8887,8326,1189,1604,1329,3431,2757,2369,0,207,0,0,0,0,0,0,0
88,T_0812,30826,12685,4261,3041,405,610,902,987,956,949,0,76,0,0,0,0,0,0,0
89,T_0861,96739,49188,13757,14325,2186,3018,940,4690,4593,4375,0,272,0,0,0,0,0,0,0
90,T_0862,106820,60859,14930,17179,2517,2921,1845,6183,4252,9892,0,272,0,0,0,0,0,0,0
91,T_1001,91257,49980,24715,5954,1577,2723,1571,3285,5991,2768,0,0,0,0,0,0,0,0,0
92,T_1002,82119,36588,15041,7877,1187,1093,2187,3058,3004,1647,0,232,0,0,64,58,0,0,0
93,T_1003,41176,20137,8079,3556,706,965,1571,1574,1863,1077,0,91,0,0,28,28,0,0,0
94,T_1004,43147,17693,7408,2870,502,650,1953,1372,1305,698,0,93,0,0,41,32,0,0,0
95,T_1005,65541,31723,13105,4302,928,1284,3467,3375,2884,1145,0,117,0,0,38,104,0,0,0
96,T_1006,56119,31249,12650,6732,1193,1405,1274,2428,2631,2279,0,0,0,0,0,0,0,0,0
