,teryt_code,eligible_voters,issued_ballots,PO,ZER,KONFEDERACJA,PSL,PRAWICA,PIS,LIROY,SLD,BIS,MN
0,T_0201,69098,38611,7803,0,2558,2741,0,16136,0,6716,2064,0
1,T_0202,80196,44428,11618,0,2473,4612,0,19113,0,4897,1114,0
2,T_0203,68354,41207,10657,0,2154,2066,0,18041,0,6799,1024,0
3,T_0204,27176,13696,3044,0,749,1090,0,6581,0,1518,496,0
4,T_0205,39924,21955,4623,0,1164,2208,0,10364,0,2865,376,0
5,T_0206,52104,30557,10095,0,1828,2313,0,9540,0,5851,525,0
6,T_0207,34348,18962,6017,0,988,881,0,7693,0,2782,304,0
7,T_0208,129757,71396,21975,0,3964,5528,0,29073,0,8176,1605,0
8,T_0209,42459,24469,4770,0,1454,2596,0,11620,0,2869,800,0
9,T_0210,43635,23763,5978,0,1438,1846,0,9315,0,4242,609,0
10,T_0211,81539,50840,10339,0,2926,2322,0,24646,0,7064,3037,0
11,T_0212,36318,18797,3901,0,1168,2533,0,7371,0,2988,472,0
12,T_0213,29020,16172,2903,0,888,2420,0,7371,0,1770,594,0
13,T_0214,83154,48158,12768,0,3252,4364,0,19193,0,5820,2139,0
14,T_0215,59018,37216,10171,0,2600,2518,0,15942,0,4239,1352,0
15,T_0216,47759,27672,4742,0,1704,1697,0,14858,0,3304,900,0
16,T_0217,35487,20124,5247,0,1093,1963,0,9521,0,1549,456,0
17,T_0218,42476,24717,6322,0,1728,1889,0,10807,0,2876,792,0
18,T_0219,123262,72362,22182,0,4501,3730,0,29401,0,10198,1450,0
19,T_0220,66445,40065,10643,0,2720,2706,0,16977,0,4622,1890,0
20,T_0221,44384,24058,8669,0,1220,1542,0,8700,0,3041,541,0
21,T_0222,38256,21216,5231,0,1343,1419,0,9542,0,2689,664,0
22,T_0223,112460,76973,24964,0,5603,5665,0,26958,0,9833,3266,0
23,T_0224,52182,27466,6697,0,1209,3441,0,12625,0,2536,504,0
24,T_0225,71395,39076,9075,0,2268,4003,0,15921,0,6104,1083,0
25,T_0226,34454,18655,4185,0,833,1511,0,8229,0,3284,284,0
26,T_0261,61948,38968,13449,0,2019,2083,0,12020,0,8474,588,0
27,T_0262,74607,44707,12557,0,2817,2206,0,17610,0,7719,1429,0
28,T_0264,508265,361845,133336,0,28799,18235,0,104023,0,65927,9375,0
29,T_0265,84261,47299,19671,0,1979,1675,0,15816,0,6109,1417,0
30,T_0401,46311,26379,5433,0,1618,2659,0,11807,0,3987,497,0
31,T_0402,60537,32837,4507,0,1526,9435,0,13888,0,2788,243,0
32,T_0403,88902,55102,18122,0,4468,4676,0,17866,0,8541,685,0
33,T_0404,39058,20525,5831,0,1352,2274,0,8038,0,2426,245,0
34,T_0405,35446,18489,3492,0,1129,2391,0,9103,0,1903,196,0
35,T_0406,30837,15264,3009,0,929,1939,0,7173,0,1769,200,0
36,T_0407,126695,72817,21452,0,4165,8189,0,26929,0,9650,1128,0
37,T_0408,51622,25334,3100,0,1215,5759,0,11775,0,2658,219,0
38,T_0409,36447,19811,3991,0,1092,3984,0,7929,0,2204,206,0
39,T_0410,66342,36388,8997,0,2612,4017,0,14339,0,5125,634,0
40,T_0411,33084,16941,2503,0,752,2038,0,9242,0,1865,195,0
41,T_0412,34326,17309,2725,0,977,2740,0,8509,0,1956,175,0
42,T_0413,31470,16279,4154,0,981,1749,0,6761,0,2004,326,0
43,T_0414,75318,40228,12292,0,2858,3849,0,15958,0,4021,423,0
44,T_0415,80658,46638,14044,0,3401,4020,0,18351,0,5709,476,0
45,T_0416,37344,20930,4954,0,1593,1958,0,9975,0,1872,183,0
46,T_0417,26536,13449,4090,0,876,1394,0,5286,0,1361,227,0
47,T_0418,69187,34791,5562,0,1787,3898,0,17414,0,4944,457,0
48,T_0419,54491,30228,8609,0,1692,3500,0,12385,0,2975,407,0
49,T_0461,261549,174644,60273,0,12945,9575,0,55408,0,33371,1930,0
50,T_0462,68777,39547,12082,0,2470,3106,0,13417,0,7632,395,0
51,T_0463,151161,100742,38697,0,7680,4828,0,31580,0,16405,898,0
52,T_0464,85539,50138,14451,0,2913,2744,0,17065,0,11673,807,0
53,T_0601,88744,50210,8860,0,2643,5326,0,30068,0,1962,524,0
54,T_0602,81667,46362,3583,0,3116,6510,0,29800,0,2519,320,0
55,T_0603,62907,30527,4730,0,1806,3297,0,18314,0,1517,265,0
56,T_0604,52628,25747,1945,0,1161,3193,0,15829,0,3049,199,0
57,T_0605,37088,22331,1331,0,1177,1460,0,17032,0,946,120,0
58,T_0606,53057,27530,3943,0,1636,2656,0,16648,0,1997,283,0
59,T_0607,76382,42777,5386,0,2095,5434,0,26351,0,2562,358,0
60,T_0608,70489,40991,4432,0,3679,4336,0,25045,0,2426,603,0
61,T_0609,121567,73886,10785,0,5275,9308,0,42433,0,4456,908,0
62,T_0610,44265,25338,4325,0,1933,2023,0,15061,0,1356,352,0
63,T_0611,83226,49604,4351,0,2941,5146,0,33301,0,2384,833,0
64,T_0612,48455,25417,3076,0,1495,2706,0,15665,0,1783,331,0
65,T_0613,28340,15413,1795,0,1008,2152,0,9023,0,972,238,0
66,T_0614,92349,56170,11348,0,4371,4477,0,29971,0,4634,789,0
