,teryt_code,eligible_voters,issued_ballots,BS,TD,LEWICA,PIS,KONFEDERACJA,PO,PJJ,DIP,NK,ANTYPARTIA,RNP,MN
0,T_0201,66394,46513,1903,5339,4146,15465,3425,14329,872,0,0,0,0,0
1,T_0202,74042,50876,869,6041,3797,17865,3582,16811,902,0,0,0,0,0
2,T_0203,64410,47426,961,4417,4120,17212,2851,16434,609,0,0,0,0,0
3,T_0204,25337,16538,706,2031,1623,6478,1123,3888,243,0,0,0,0,0
4,T_0205,37390,25660,644,2796,2507,10139,1529,7250,275,0,0,0,0,0
5,T_0206,50049,36111,848,4072,3485,9109,1964,15331,630,0,0,0,0,0
6,T_0207,31724,21888,526,2206,1982,7280,1168,7861,334,0,0,0,0,0
7,T_0208,120530,81951,1677,10190,5670,27173,4414,29877,1292,0,0,0,0,0
8,T_0209,41552,29867,912,3290,2171,11354,2184,8702,517,0,0,0,0,0
9,T_0210,40763,28308,1260,3302,3271,9010,1661,8826,361,0,0,0,0,0
10,T_0211,78054,58550,3746,5615,4640,22315,3708,16699,794,0,0,0,0,0
11,T_0212,33765,22443,632,3069,2275,7312,1233,6920,396,0,0,0,0,0
12,T_0213,27891,19347,649,2924,1827,7232,1385,4644,299,0,0,0,0,0
13,T_0214,80860,58762,1919,8872,5032,18404,4158,18145,1048,0,0,0,0,0
14,T_0215,57635,43406,1510,5620,3445,14353,3230,14016,687,0,0,0,0,0
15,T_0216,45795,32718,998,3960,2521,14044,2615,7359,497,0,0,0,0,0
16,T_0217,33826,24106,912,2540,1537,9372,1592,7227,419,0,0,0,0,0
17,T_0218,43265,32024,768,4401,2426,10818,2644,9921,410,0,0,0,0,0
18,T_0219,116272,83806,1354,9854,7813,27158,5623,29299,1241,0,0,0,0,0
19,T_0220,66784,50059,3142,6193,3895,16115,3390,15255,974,0,0,0,0,0
20,T_0221,41628,28390,439,3432,2236,8325,1597,11258,511,0,0,0,0,0
21,T_0222,36471,25768,1020,3052,1992,9449,1621,7560,480,0,0,0,0,0
22,T_0223,125656,102815,2688,15664,9058,25982,7786,38809,1602,0,0,0,0,0
23,T_0224,48465,32017,696,4242,2153,12572,1837,9350,421,0,0,0,0,0
24,T_0225,67305,47248,1483,4658,4709,16370,2920,15319,709,0,0,0,0,0
25,T_0226,31909,21623,491,2248,2291,7946,1261,6610,264,0,0,0,0,0
26,T_0261,58088,43126,974,4065,4932,10769,2191,19122,538,0,0,0,0,0
27,T_0262,69202,50445,1370,4921,4665,16318,3060,18778,700,0,0,0,0,0
28,T_0264,508558,412753,9098,55327,57254,88696,27203,167248,5023,0,0,0,0,0
29,T_0265,75920,52621,773,5456,4137,14704,2425,23593,701,0,0,0,0,0
30,T_0401,45563,32247,769,4108,3013,12450,2075,8502,338,87,0,0,0,0
31,T_0402,58336,40150,394,8622,2492,14528,2502,9171,1261,155,0,0,0,0
32,T_0403,92236,70796,1026,11979,6193,17958,5047,26349,1033,0,0,0,0,0
33,T_0404,37096,24817,377,3397,1952,8443,1623,7909,308,96,0,0,0,0
34,T_0405,33612,22658,298,3933,1975,9281,1625,4562,307,103,0,0,0,0
35,T_0406,29809,19620,296,3516,1685,7717,1445,4080,236,78,0,0,0,0
36,T_0407,118114,83763,1644,12049,6960,26913,4647,28563,1045,0,0,0,0,0
37,T_0408,48623,31143,428,6723,2584,12537,1978,5430,259,164,0,0,0,0
38,T_0409,34236,23624,533,3984,2455,8448,1488,5786,324,0,0,0,0,0
39,T_0410,63932,44419,901,6909,4392,14257,3037,13032,637,0,0,0,0,0
40,T_0411,30840,20553,372,3112,1912,9870,1315,3186,173,73,0,0,0,0
41,T_0412,32741,21454,273,3762,1739,8866,1316,4597,321,53,0,0,0,0
42,T_0413,29629,19597,412,2512,1674,6847,1226,6055,335,0,0,0,0,0
43,T_0414,72050,48833,796,7184,3591,16641,3467,15162,684,0,0,0,0,0
44,T_0415,82816,60633,782,10020,6040,18538,4343,18688,683,244,0,0,0,0
45,T_0416,36146,25202,493,3730,1822,10004,1942,5947,500,0,0,0,0,0
46,T_0417,24845,16016,221,3823,1234,5486,1146,3431,189,40,0,0,0,0
47,T_0418,66193,44366,844,6294,4872,18498,2846,8931,397,187,0,0,0,0
48,T_0419,52377,36944,671,5193,2827,12843,2401,11394,551,0,0,0,0,0
49,T_0461,246837,191307,2429,26886,23045,48692,11011,74626,2737,0,0,0,0,0
50,T_0462,64271,45937,482,6333,5502,12925,2614,16471,554,274,0,0,0,0
51,T_0463,146081,113896,1234,15038,15723,28363,6642,44041,1252,359,0,0,0,0
52,T_0464,78610,56314,988,5627,9750,15629,2762,19720,432,353,0,0,0,0
53,T_0601,83820,57829,1237,7485,3428,28691,4601,8673,2054,310,0,0,0,0
54,T_0602,76801,51968,697,8356,1601,28585,4079,5992,1568,243,0,0,0,0
55,T_0603,58779,36723,694,3722,1654,18845,3147,6371,1031,179,0,0,0,0
56,T_0604,47393,29540,573,3601,1554,15488,2205,4627,767,89,0,0,0,0
57,T_0605,34677,25127,212,2168,835,16752,2038,2072,596,76,0,0,0,0
58,T_0606,48826,31779,682,3105,3226,15443,2412,5293,724,126,0,0,0,0
59,T_0607,71159,48188,554,6947,2771,26117,3426,6089,1129,112,0,0,0,0
60,T_0608,67066,47538,844,7024,2231,23890,4474,6332,1375,243,0,0,0,0
61,T_0609,122273,90766,1574,15828,4525,41285,8690,14925,2210,299,0,0,0,0
62,T_0610,42619,30212,500,3322,1274,14582,2903,6011,735,208,0,0,0,0
63,T_0611,78700,57479,1346,7129,1943,30860,5203,7289,2133,191,0,0,0,0
64,T_0612,45208,29997,390,4404,1275,16105,2308,4195,489,88,0,0,0,0
65,T_0613,25977,17803,363,2817,926,8719,1382,2490,579,104,0,0,0,0
66,T_0614,87866,64601,1071,9584,3677,28212,5144,14244,1189,253,0,0,0,0
67,T_0615,44197,30872,912,4824,1278,16332,2420,3335,917,132,0,0,0,0
68,T_0616,42057,31136,444,5210,1612,15614,2271,4720,518,116,0,0,0,0
69,T_0617,54373,39250,574,6788,2164,17686,3132,7447,734,124,0,0,0,0
