nuts_3_name,nuts_3_code
Miasto Łódź,PL711
Łódzki,PL712
Piotrkowski,PL713
Sieradzki,PL714
Skierniewicki,PL715
Kielecki,PL721
Sandomiersko-jędrzejowski,PL722
Miasto Kraków,PL213
Krakowski,PL214
Tarnowski,PL217
Nowosądecki,PL218
Nowotarski,PL219
Oświęcimski,PL21A
Częstochowski,PL224
Bielski,PL225
Rybnicki,PL227
Bytomski,PL228
Gliwicki,PL229
Katowicki,PL22A
Sosnowiecki,PL22B
Tyski,PL22C
Bialski,PL811
Chełmsko-zamojski,PL812
Lubelski,PL814
Puławski,PL815
Krośnieński,PL821
Przemyski,PL822
Rzeszowski,PL823
Tarnobrzeski,PL824
Białostocki,PL841
Łomżyński,PL842
Suwalski,PL843
Pilski,PL411
Koniński,PL414
Miasto Poznań,PL415
Kaliski,PL416
Leszczyński,PL417
Poznański,PL418
Miasto Szczecin,PL424
Koszaliński,PL426
Szczecinecko-pyrzycki,PL427
Szczeciński,PL428
Gorzowski,PL431
Zielonogórski,PL432
Miasto Wrocław,PL514
Jeleniogórski,PL515
Legnicko-głogowski,PL516
Wałbrzyski,PL517
Wrocławski,PL518
Nyski,PL523
Opolski,PL524
Bydgosko-toruński,PL613
Grudziądzki,PL616
Inowrocławski,PL617
Świecki,PL618
Włocławski,PL619
Elbląski,PL621
Olsztyński,PL622
Ełcki,PL623
Trójmiejski,PL633
Gdański,PL634
Słupski,PL636
Chojnicki,PL637
Starogardzki,PL638
Miasto Warszawa,PL911
Warszawski wschodni,PL912
Warszawski zachodni,PL913
Radomski,PL921
Ciechanowski,PL922
Płocki,PL923
Ostrołęcki,PL924
Siedlecki,PL925
Żyrardowski,PL926
